Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6407	275766	2.6407	275766	
2.6407	276098	2.6407	276098	
2.6407	276033	2.6407	276033	
2.6407	276016	2.6407	276016	
2.6407	276023	2.6407	276023	
2.6407	276008	2.6407	276008	
2.64071	275971	2.64071	275971	
2.64071	275965	2.64071	275965	
2.64071	275885	2.64071	275885	
2.64071	275865	2.64071	275865	
2.64071	275874	2.64071	275874	
2.64071	275805	2.64071	275805	
2.64071	275806	2.64071	275806	
2.64071	275816	2.64071	275816	
2.64071	275750	2.64071	275750	
2.64071	-8.03373E+6	2.64071	-8.03373E+6	
2.64072	275717	2.64072	275717	
2.64072	275731	2.64072	275731	
2.64072	275709	2.64072	275709	
2.64072	275696	2.64072	275696	
2.64072	275653	2.64072	275653	
2.64072	275665	2.64072	275665	
2.64072	275687	2.64072	275687	
2.64072	275662	2.64072	275662	
2.64072	275632	2.64072	275632	
2.64072	275613	2.64072	275613	
2.64073	-8.03383E+6	2.64073	-8.03383E+6	
2.64073	275648	2.64073	275648	
2.64073	275639	2.64073	275639	
2.64073	275612	2.64073	275612	
2.64073	275647	2.64073	275647	
2.64073	275672	2.64073	275672	
2.64073	275676	2.64073	275676	
2.64073	275724	2.64073	275724	
2.64073	275724	2.64073	275724	
2.64073	275761	2.64073	275761	
2.64074	275796	2.64074	275796	
2.64074	275831	2.64074	275831	
2.64074	275861	2.64074	275861	
2.64074	275928	2.64074	275928	
2.64074	275993	2.64074	275993	
2.64074	276096	2.64074	276096	
2.64074	276218	2.64074	276218	
2.64074	276319	2.64074	276319	
2.64074	276523	2.64074	276523	
2.64074	276702	2.64074	276702	
2.64075	276946	2.64075	276946	
2.64075	277269	2.64075	277269	
2.64075	277621	2.64075	277621	
2.64075	278058	2.64075	278058	
2.64075	278276	2.64075	278276	
2.64075	278449	2.64075	278449	
2.64075	278343	2.64075	278343	
2.64075	278081	2.64075	278081	
2.64075	277674	2.64075	277674	
2.64075	277358	2.64075	277358	
2.64076	277095	2.64076	277095	
2.64076	276841	2.64076	276841	
2.64076	276617	2.64076	276617	
2.64076	276507	2.64076	276507	
2.64076	276340	2.64076	276340	
2.64076	276253	2.64076	276253	
2.64076	276185	2.64076	276185	
2.64076	276071	2.64076	276071	
2.64076	276017	2.64076	276017	
2.64077	275967	2.64077	275967	
2.64077	275910	2.64077	275910	
2.64077	275880	2.64077	275880	
2.64077	275838	2.64077	275838	
2.64077	275795	2.64077	275795	
2.64077	275770	2.64077	275770	
2.64077	275822	2.64077	275822	
2.64077	275742	2.64077	275742	
2.64077	275711	2.64077	275711	
2.64077	275785	2.64077	275785	
2.64078	275734	2.64078	275734	
2.64078	275759	2.64078	275759	
2.64078	-8.03375E+6	2.64078	-8.03375E+6	
2.64078	275792	2.64078	275792	
2.64078	275793	2.64078	275793	
2.64078	275783	2.64078	275783	
2.64078	275738	2.64078	275738	
2.64078	275796	2.64078	275796	
2.64078	275716	2.64078	275716	
2.64078	275781	2.64078	275781	
2.64079	275833	2.64079	275833	
2.64079	275787	2.64079	275787	
2.64079	275828	2.64079	275828	
2.64079	275842	2.64079	275842	
2.64079	275896	2.64079	275896	
2.64079	275867	2.64079	275867	
2.64079	275875	2.64079	275875	
2.64079	275901	2.64079	275901	
2.64079	275933	2.64079	275933	
2.64079	275939	2.64079	275939	
2.6408	275952	2.6408	275952	
2.6408	275913	2.6408	275913	
2.6408	275987	2.6408	275987	
2.6408	276008	2.6408	276008	
2.6408	276031	2.6408	276031	
2.6408	276024	2.6408	276024	
