Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6407	4.73793E+6	2.6407	4.73793E+6	
2.6407	4.73859E+6	2.6407	4.73859E+6	
2.6407	4.73864E+6	2.6407	4.73864E+6	
2.6407	4.73866E+6	2.6407	4.73866E+6	
2.6407	4.73787E+6	2.6407	4.73787E+6	
2.6407	4.73788E+6	2.6407	4.73788E+6	
2.64071	4.73773E+6	2.64071	4.73773E+6	
2.64071	4.73762E+6	2.64071	4.73762E+6	
2.64071	4.73792E+6	2.64071	4.73792E+6	
2.64071	4.73785E+6	2.64071	4.73785E+6	
2.64071	4.73751E+6	2.64071	4.73751E+6	
2.64071	4.73757E+6	2.64071	4.73757E+6	
2.64071	4.73679E+6	2.64071	4.73679E+6	
2.64071	4.73717E+6	2.64071	4.73717E+6	
2.64071	4.73654E+6	2.64071	4.73654E+6	
2.64071	4.73746E+6	2.64071	4.73746E+6	
2.64072	4.73693E+6	2.64072	4.73693E+6	
2.64072	4.73632E+6	2.64072	4.73632E+6	
2.64072	4.73654E+6	2.64072	4.73654E+6	
2.64072	4.73702E+6	2.64072	4.73702E+6	
2.64072	4.73554E+6	2.64072	4.73554E+6	
2.64072	4.73632E+6	2.64072	4.73632E+6	
2.64072	4.73639E+6	2.64072	4.73639E+6	
2.64072	4.73555E+6	2.64072	4.73555E+6	
2.64072	4.7364E+6	2.64072	4.7364E+6	
2.64072	4.73549E+6	2.64072	4.73549E+6	
2.64073	4.73712E+6	2.64073	4.73712E+6	
2.64073	4.73661E+6	2.64073	4.73661E+6	
2.64073	4.73647E+6	2.64073	4.73647E+6	
2.64073	4.73585E+6	2.64073	4.73585E+6	
2.64073	4.73701E+6	2.64073	4.73701E+6	
2.64073	4.73735E+6	2.64073	4.73735E+6	
2.64073	4.73696E+6	2.64073	4.73696E+6	
2.64073	4.73743E+6	2.64073	4.73743E+6	
2.64073	4.73807E+6	2.64073	4.73807E+6	
2.64073	4.73812E+6	2.64073	4.73812E+6	
2.64074	4.73879E+6	2.64074	4.73879E+6	
2.64074	4.73941E+6	2.64074	4.73941E+6	
2.64074	4.73969E+6	2.64074	4.73969E+6	
2.64074	4.74021E+6	2.64074	4.74021E+6	
2.64074	4.74144E+6	2.64074	4.74144E+6	
2.64074	4.74283E+6	2.64074	4.74283E+6	
2.64074	4.74379E+6	2.64074	4.74379E+6	
2.64074	4.74467E+6	2.64074	4.74467E+6	
2.64074	4.74568E+6	2.64074	4.74568E+6	
2.64074	-2.32924E+8	2.64074	-2.32924E+8	
2.64075	4.74775E+6	2.64075	4.74775E+6	
2.64075	4.74821E+6	2.64075	4.74821E+6	
2.64075	4.74882E+6	2.64075	4.74882E+6	
2.64075	4.74889E+6	2.64075	4.74889E+6	
2.64075	4.74827E+6	2.64075	4.74827E+6	
2.64075	4.74737E+6	2.64075	4.74737E+6	
2.64075	4.74571E+6	2.64075	4.74571E+6	
2.64075	4.74572E+6	2.64075	4.74572E+6	
2.64075	4.74203E+6	2.64075	4.74203E+6	
2.64075	4.74186E+6	2.64075	4.74186E+6	
2.64076	4.74178E+6	2.64076	4.74178E+6	
2.64076	4.74037E+6	2.64076	4.74037E+6	
2.64076	4.73966E+6	2.64076	4.73966E+6	
2.64076	4.7393E+6	2.64076	4.7393E+6	
2.64076	4.73818E+6	2.64076	4.73818E+6	
2.64076	-2.32933E+8	2.64076	-2.32933E+8	
2.64076	4.738E+6	2.64076	4.738E+6	
2.64076	4.73791E+6	2.64076	4.73791E+6	
2.64076	4.73736E+6	2.64076	4.73736E+6	
2.64077	4.7366E+6	2.64077	4.7366E+6	
2.64077	4.73688E+6	2.64077	4.73688E+6	
2.64077	4.73703E+6	2.64077	4.73703E+6	
2.64077	4.73738E+6	2.64077	4.73738E+6	
2.64077	4.73803E+6	2.64077	4.73803E+6	
2.64077	4.73648E+6	2.64077	4.73648E+6	
2.64077	4.73721E+6	2.64077	4.73721E+6	
2.64077	4.73613E+6	2.64077	4.73613E+6	
2.64077	4.73632E+6	2.64077	4.73632E+6	
2.64077	4.73681E+6	2.64077	4.73681E+6	
2.64078	4.73603E+6	2.64078	4.73603E+6	
2.64078	4.73706E+6	2.64078	4.73706E+6	
2.64078	4.73689E+6	2.64078	4.73689E+6	
2.64078	4.73635E+6	2.64078	4.73635E+6	
2.64078	4.73747E+6	2.64078	4.73747E+6	
2.64078	4.73683E+6	2.64078	4.73683E+6	
2.64078	4.73729E+6	2.64078	4.73729E+6	
2.64078	4.73633E+6	2.64078	4.73633E+6	
2.64078	4.73695E+6	2.64078	4.73695E+6	
2.64078	4.73739E+6	2.64078	4.73739E+6	
2.64079	4.73799E+6	2.64079	4.73799E+6	
2.64079	4.73696E+6	2.64079	4.73696E+6	
2.64079	4.73705E+6	2.64079	4.73705E+6	
2.64079	4.73755E+6	2.64079	4.73755E+6	
2.64079	4.7369E+6	2.64079	4.7369E+6	
2.64079	4.73823E+6	2.64079	4.73823E+6	
2.64079	4.73906E+6	2.64079	4.73906E+6	
2.64079	4.73811E+6	2.64079	4.73811E+6	
2.64079	4.73814E+6	2.64079	4.73814E+6	
2.64079	4.73884E+6	2.64079	4.73884E+6	
2.6408	4.73835E+6	2.6408	4.73835E+6	
2.6408	4.73899E+6	2.6408	4.73899E+6	
2.6408	4.73884E+6	2.6408	4.73884E+6	
2.6408	4.7385E+6	2.6408	4.7385E+6	
2.6408	4.73851E+6	2.6408	4.73851E+6	
2.6408	4.73909E+6	2.6408	4.73909E+6	
