Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6407	1.46992E+6	2.6407	1.46992E+6	
2.6407	1.4705E+6	2.6407	1.4705E+6	
2.6407	1.47168E+6	2.6407	1.47168E+6	
2.6407	1.47085E+6	2.6407	1.47085E+6	
2.6407	1.47054E+6	2.6407	1.47054E+6	
2.6407	1.47128E+6	2.6407	1.47128E+6	
2.64071	1.47001E+6	2.64071	1.47001E+6	
2.64071	1.46965E+6	2.64071	1.46965E+6	
2.64071	1.47122E+6	2.64071	1.47122E+6	
2.64071	1.47024E+6	2.64071	1.47024E+6	
2.64071	1.47153E+6	2.64071	1.47153E+6	
2.64071	1.47061E+6	2.64071	1.47061E+6	
2.64071	1.47219E+6	2.64071	1.47219E+6	
2.64071	1.47305E+6	2.64071	1.47305E+6	
2.64071	1.47237E+6	2.64071	1.47237E+6	
2.64072	1.4722E+6	2.64072	1.4722E+6	
2.64072	1.47207E+6	2.64072	1.47207E+6	
2.64072	1.4756E+6	2.64072	1.4756E+6	
2.64072	1.47507E+6	2.64072	1.47507E+6	
2.64072	1.47608E+6	2.64072	1.47608E+6	
2.64072	1.47847E+6	2.64072	1.47847E+6	
2.64072	1.4784E+6	2.64072	1.4784E+6	
2.64072	1.4806E+6	2.64072	1.4806E+6	
2.64072	1.48222E+6	2.64072	1.48222E+6	
2.64072	1.48384E+6	2.64072	1.48384E+6	
2.64072	1.48284E+6	2.64072	1.48284E+6	
2.64073	1.48358E+6	2.64073	1.48358E+6	
2.64073	1.48335E+6	2.64073	1.48335E+6	
2.64073	1.48115E+6	2.64073	1.48115E+6	
2.64073	1.48037E+6	2.64073	1.48037E+6	
2.64073	1.47785E+6	2.64073	1.47785E+6	
2.64073	1.47766E+6	2.64073	1.47766E+6	
2.64073	1.47675E+6	2.64073	1.47675E+6	
2.64073	1.47576E+6	2.64073	1.47576E+6	
2.64073	1.47524E+6	2.64073	1.47524E+6	
2.64074	1.47482E+6	2.64074	1.47482E+6	
2.64074	1.47298E+6	2.64074	1.47298E+6	
2.64074	1.47283E+6	2.64074	1.47283E+6	
2.64074	1.47356E+6	2.64074	1.47356E+6	
2.64074	1.47145E+6	2.64074	1.47145E+6	
2.64074	1.47299E+6	2.64074	1.47299E+6	
2.64074	1.4711E+6	2.64074	1.4711E+6	
2.64074	1.47257E+6	2.64074	1.47257E+6	
2.64074	1.47082E+6	2.64074	1.47082E+6	
2.64074	1.47095E+6	2.64074	1.47095E+6	
2.64074	1.47102E+6	2.64074	1.47102E+6	
2.64075	1.47124E+6	2.64075	1.47124E+6	
2.64075	1.47171E+6	2.64075	1.47171E+6	
2.64075	1.47122E+6	2.64075	1.47122E+6	
2.64075	1.47213E+6	2.64075	1.47213E+6	
2.64075	1.47171E+6	2.64075	1.47171E+6	
