Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6404	2.01065E+6	2.6404	2.01065E+6	
2.6404	2.00977E+6	2.6404	2.00977E+6	
2.6404	2.00992E+6	2.6404	2.00992E+6	
2.64041	2.01036E+6	2.64041	2.01036E+6	
2.64041	2.00901E+6	2.64041	2.00901E+6	
2.64041	2.01147E+6	2.64041	2.01147E+6	
2.64041	2.00948E+6	2.64041	2.00948E+6	
2.64042	2.00931E+6	2.64042	2.00931E+6	
2.64042	2.00956E+6	2.64042	2.00956E+6	
2.64042	2.01153E+6	2.64042	2.01153E+6	
2.64043	2.01056E+6	2.64043	2.01056E+6	
2.64043	2.00906E+6	2.64043	2.00906E+6	
2.64043	2.00838E+6	2.64043	2.00838E+6	
2.64043	2.01025E+6	2.64043	2.01025E+6	
2.64044	2.00915E+6	2.64044	2.00915E+6	
2.64044	2.00918E+6	2.64044	2.00918E+6	
2.64044	2.01042E+6	2.64044	2.01042E+6	
2.64044	2.00853E+6	2.64044	2.00853E+6	
2.64045	2.00962E+6	2.64045	2.00962E+6	
2.64045	2.00966E+6	2.64045	2.00966E+6	
2.64045	2.00896E+6	2.64045	2.00896E+6	
2.64045	2.0093E+6	2.64045	2.0093E+6	
2.64046	2.00987E+6	2.64046	2.00987E+6	
2.64046	2.01011E+6	2.64046	2.01011E+6	
2.64046	2.01184E+6	2.64046	2.01184E+6	
2.64046	2.00922E+6	2.64046	2.00922E+6	
2.64046	2.00934E+6	2.64046	2.00934E+6	
2.64047	2.00755E+6	2.64047	2.00755E+6	
2.64047	2.00801E+6	2.64047	2.00801E+6	
2.64047	2.00713E+6	2.64047	2.00713E+6	
2.64047	2.01055E+6	2.64047	2.01055E+6	
2.64048	2.00871E+6	2.64048	2.00871E+6	
2.64048	2.00784E+6	2.64048	2.00784E+6	
2.64048	2.00846E+6	2.64048	2.00846E+6	
2.64048	2.00835E+6	2.64048	2.00835E+6	
2.64049	2.00967E+6	2.64049	2.00967E+6	
2.64049	2.00916E+6	2.64049	2.00916E+6	
2.64049	2.00941E+6	2.64049	2.00941E+6	
2.6405	2.00877E+6	2.6405	2.00877E+6	
2.6405	2.00813E+6	2.6405	2.00813E+6	
2.6405	2.00971E+6	2.6405	2.00971E+6	
2.6405	2.00796E+6	2.6405	2.00796E+6	
2.64051	2.01189E+6	2.64051	2.01189E+6	
2.64051	2.0088E+6	2.64051	2.0088E+6	
2.64051	2.00987E+6	2.64051	2.00987E+6	
2.64051	2.00762E+6	2.64051	2.00762E+6	
2.64052	2.00897E+6	2.64052	2.00897E+6	
2.64052	2.00695E+6	2.64052	2.00695E+6	
