Temps - Tracé 0	Amplitude - Tracé 0	
2.7	5.51758E+6	
2.70267	5.51987E+6	
2.70533	5.52113E+6	
2.708	5.52031E+6	
2.71067	5.52016E+6	
2.71333	5.52044E+6	
2.716	5.52086E+6	
2.71867	5.52017E+6	
2.72133	5.51753E+6	
2.724	5.51542E+6	
2.72667	5.509E+6	
2.72933	5.4998E+6	
2.732	5.50023E+6	
2.73467	5.51073E+6	
2.73733	5.51605E+6	
2.74	5.51801E+6	
2.74267	5.51846E+6	
2.74533	5.5192E+6	
2.748	5.52151E+6	
2.75067	5.51852E+6	
2.75333	5.5212E+6	
2.756	5.52254E+6	
2.75867	5.52279E+6	
2.76133	5.52116E+6	
2.764	5.52225E+6	
2.76667	5.5177E+6	
2.76933	5.52297E+6	
2.772	5.51861E+6	
2.77467	5.52143E+6	
2.77733	5.51699E+6	
2.78	5.51572E+6	
2.78267	5.51558E+6	
2.78533	5.50259E+6	
2.788	5.4948E+6	
2.79067	5.49292E+6	
2.79333	5.5061E+6	
2.796	5.51533E+6	
2.79867	5.51565E+6	
2.80133	5.51737E+6	
2.804	5.52153E+6	
2.80667	5.52215E+6	
2.80933	5.51974E+6	
2.812	5.52041E+6	
2.81467	5.52235E+6	
2.81733	5.5199E+6	
2.82	5.52028E+6	
2.82267	5.52167E+6	
2.82533	5.52113E+6	
2.828	5.52106E+6	
2.83067	5.52101E+6	
2.83333	5.51854E+6	
2.836	5.51864E+6	
2.83867	5.52008E+6	
2.84133	5.51728E+6	
2.844	5.51252E+6	
2.84667	5.51095E+6	
2.84933	5.51853E+6	
2.852	5.51724E+6	
2.85467	5.51813E+6	
2.85733	5.51997E+6	
2.86	5.52079E+6	
2.86267	5.52057E+6	
2.86533	5.52046E+6	
2.868	5.5177E+6	
2.87067	5.52214E+6	
2.87333	5.5234E+6	
2.876	5.52166E+6	
2.87867	5.52072E+6	
2.88133	5.52301E+6	
2.884	5.52102E+6	
2.88667	5.52215E+6	
2.88933	5.52362E+6	
2.892	5.51903E+6	
2.89467	5.52106E+6	
2.89733	5.51829E+6	
2.9	5.52069E+6	
2.90267	5.52242E+6	
2.90533	5.52062E+6	
2.908	5.51972E+6	
2.91067	5.52204E+6	
2.91333	5.52076E+6	
2.916	5.52071E+6	
2.91867	5.51578E+6	
2.92133	5.51498E+6	
2.924	5.50949E+6	
2.92667	5.51163E+6	
2.92933	5.51517E+6	
2.932	5.51679E+6	
2.93467	5.51908E+6	
2.93733	5.52003E+6	
2.94	5.52299E+6	
2.94267	5.52123E+6	
2.94533	5.5219E+6	
2.948	5.51669E+6	
2.95067	5.52172E+6	
2.95333	5.51967E+6	
2.956	5.51886E+6	
2.95867	5.51747E+6	
2.96133	5.51769E+6	
2.964	5.5156E+6	
2.96667	5.51492E+6	
2.96933	5.50859E+6	
2.972	5.49313E+6	
2.97467	5.49368E+6	
2.97733	5.50251E+6	
2.98	5.51105E+6	
2.98267	5.51437E+6	
2.98533	5.51699E+6	
2.988	5.5212E+6	
2.99067	5.52085E+6	
2.99333	5.5205E+6	
2.996	5.52414E+6	
2.99867	5.52147E+6	
3.00133	5.51988E+6	
3.004	5.51833E+6	
3.00667	5.51818E+6	
3.00933	5.52173E+6	
3.012	5.51867E+6	
3.01467	5.51667E+6	
3.01733	5.50478E+6	
3.02	5.50361E+6	
3.02267	5.50173E+6	
3.02533	5.51213E+6	
3.028	5.52057E+6	
3.03067	5.52007E+6	
3.03333	5.52102E+6	
3.036	5.51775E+6	
3.03867	5.52127E+6	
3.04133	5.51826E+6	
3.044	5.51931E+6	
3.04667	5.51991E+6	
3.04933	5.52302E+6	
3.052	5.52061E+6	
3.05467	5.51948E+6	
3.05733	5.52137E+6	
3.06	5.52093E+6	
3.06267	5.52114E+6	
3.06533	5.52066E+6	
3.068	5.52098E+6	
3.07067	5.52268E+6	
3.07333	5.5207E+6	
3.076	5.51808E+6	
3.07867	5.51949E+6	
3.08133	5.5229E+6	
3.084	5.52095E+6	
3.08667	5.52178E+6	
3.08933	5.52277E+6	
3.092	5.52049E+6	
3.09467	5.52131E+6	
3.09733	5.5216E+6	
3.1	5.52114E+6	
