Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	5.37146E+6	2.7	5.37146E+6	
2.701	5.36911E+6	2.701	5.36911E+6	
2.702	5.37274E+6	2.702	5.37274E+6	
2.703	5.3773E+6	2.703	5.3773E+6	
2.704	5.37539E+6	2.704	5.37539E+6	
2.705	5.37291E+6	2.705	5.37291E+6	
2.706	5.37354E+6	2.706	5.37354E+6	
2.707	5.38E+6	2.707	5.38E+6	
2.708	5.37346E+6	2.708	5.37346E+6	
2.709	5.36989E+6	2.709	5.36989E+6	
2.71	5.37193E+6	2.71	5.37193E+6	
2.711	5.37918E+6	2.711	5.37918E+6	
2.712	5.37477E+6	2.712	5.37477E+6	
2.713	5.37571E+6	2.713	5.37571E+6	
2.714	5.37202E+6	2.714	5.37202E+6	
2.715	5.37658E+6	2.715	5.37658E+6	
2.716	5.37299E+6	2.716	5.37299E+6	
2.717	5.37362E+6	2.717	5.37362E+6	
2.718	5.37583E+6	2.718	5.37583E+6	
2.719	5.38222E+6	2.719	5.38222E+6	
2.72	5.37597E+6	2.72	5.37597E+6	
2.721	5.37753E+6	2.721	5.37753E+6	
2.722	5.38153E+6	2.722	5.38153E+6	
2.723	5.37812E+6	2.723	5.37812E+6	
2.724	5.37475E+6	2.724	5.37475E+6	
2.725	5.38378E+6	2.725	5.38378E+6	
2.726	5.37802E+6	2.726	5.37802E+6	
2.727	5.37523E+6	2.727	5.37523E+6	
2.728	5.37414E+6	2.728	5.37414E+6	
2.729	5.37707E+6	2.729	5.37707E+6	
2.73	5.37538E+6	2.73	5.37538E+6	
2.731	5.37238E+6	2.731	5.37238E+6	
2.732	5.38101E+6	2.732	5.38101E+6	
2.733	5.37651E+6	2.733	5.37651E+6	
2.734	5.37497E+6	2.734	5.37497E+6	
2.735	5.37346E+6	2.735	5.37346E+6	
2.736	5.37394E+6	2.736	5.37394E+6	
2.737	5.37327E+6	2.737	5.37327E+6	
2.738	5.37404E+6	2.738	5.37404E+6	
2.739	5.37306E+6	2.739	5.37306E+6	
2.74	5.37901E+6	2.74	5.37901E+6	
2.741	5.37398E+6	2.741	5.37398E+6	
2.742	5.38026E+6	2.742	5.38026E+6	
2.743	5.36895E+6	2.743	5.36895E+6	
2.744	5.37053E+6	2.744	5.37053E+6	
2.745	5.37926E+6	2.745	5.37926E+6	
2.746	5.3777E+6	2.746	5.3777E+6	
2.747	5.37421E+6	2.747	5.37421E+6	
2.748	5.37915E+6	2.748	5.37915E+6	
2.749	5.37463E+6	2.749	5.37463E+6	
2.75	5.37454E+6	2.75	5.37454E+6	
2.751	5.37414E+6	2.751	5.37414E+6	
2.752	5.37167E+6	2.752	5.37167E+6	
2.753	5.37229E+6	2.753	5.37229E+6	
2.754	5.37625E+6	2.754	5.37625E+6	
2.755	5.37553E+6	2.755	5.37553E+6	
2.756	5.37389E+6	2.756	5.37389E+6	
2.757	5.37413E+6	2.757	5.37413E+6	
2.758	5.37828E+6	2.758	5.37828E+6	
2.759	5.3681E+6	2.759	5.3681E+6	
2.76	5.37753E+6	2.76	5.37753E+6	
2.761	5.37755E+6	2.761	5.37755E+6	
2.762	5.37565E+6	2.762	5.37565E+6	
2.763	5.37012E+6	2.763	5.37012E+6	
2.764	5.36958E+6	2.764	5.36958E+6	
2.765	5.37275E+6	2.765	5.37275E+6	
2.766	5.37278E+6	2.766	5.37278E+6	
2.767	5.37421E+6	2.767	5.37421E+6	
2.768	5.3715E+6	2.768	5.3715E+6	
2.769	5.36858E+6	2.769	5.36858E+6	
2.77	5.38076E+6	2.77	5.38076E+6	
2.771	5.36965E+6	2.771	5.36965E+6	
2.772	5.36841E+6	2.772	5.36841E+6	
2.773	5.37204E+6	2.773	5.37204E+6	
2.774	5.37117E+6	2.774	5.37117E+6	
2.775	5.37342E+6	2.775	5.37342E+6	
2.776	5.37568E+6	2.776	5.37568E+6	
2.777	5.37253E+6	2.777	5.37253E+6	
2.778	5.37264E+6	2.778	5.37264E+6	
2.779	5.36956E+6	2.779	5.36956E+6	
2.78	5.37373E+6	2.78	5.37373E+6	
2.781	5.37544E+6	2.781	5.37544E+6	
2.782	5.37202E+6	2.782	5.37202E+6	
2.783	5.37543E+6	2.783	5.37543E+6	
2.784	5.37831E+6	2.784	5.37831E+6	
2.785	5.37055E+6	2.785	5.37055E+6	
2.786	5.37379E+6	2.786	5.37379E+6	
2.787	5.37839E+6	2.787	5.37839E+6	
2.788	5.37334E+6	2.788	5.37334E+6	
2.789	5.37355E+6	2.789	5.37355E+6	
2.79	5.37323E+6	2.79	5.37323E+6	
2.791	5.37628E+6	2.791	5.37628E+6	
2.792	5.37341E+6	2.792	5.37341E+6	
2.793	5.37062E+6	2.793	5.37062E+6	
2.794	5.37604E+6	2.794	5.37604E+6	
2.795	5.37402E+6	2.795	5.37402E+6	
2.796	5.37501E+6	2.796	5.37501E+6	
2.797	5.37595E+6	2.797	5.37595E+6	
2.798	5.37317E+6	2.798	5.37317E+6	
2.799	5.37391E+6	2.799	5.37391E+6	
2.8	5.37225E+6	2.8	5.37225E+6	
2.801	5.37673E+6	2.801	5.37673E+6	
2.802	5.37122E+6	2.802	5.37122E+6	
2.803	5.3794E+6	2.803	5.3794E+6	
2.804	5.37335E+6	2.804	5.37335E+6	
2.805	5.37156E+6	2.805	5.37156E+6	
2.806	5.36977E+6	2.806	5.36977E+6	
2.807	5.37257E+6	2.807	5.37257E+6	
2.808	5.36554E+6	2.808	5.36554E+6	
2.809	5.37067E+6	2.809	5.37067E+6	
2.81	5.36831E+6	2.81	5.36831E+6	
2.811	5.36527E+6	2.811	5.36527E+6	
2.812	5.36295E+6	2.812	5.36295E+6	
2.813	5.35858E+6	2.813	5.35858E+6	
2.814	5.36198E+6	2.814	5.36198E+6	
2.815	5.35392E+6	2.815	5.35392E+6	
2.816	5.35184E+6	2.816	5.35184E+6	
2.817	5.34057E+6	2.817	5.34057E+6	
2.818	5.33413E+6	2.818	5.33413E+6	
2.819	5.31803E+6	2.819	5.31803E+6	
2.82	5.31039E+6	2.82	5.31039E+6	
2.821	5.30004E+6	2.821	5.30004E+6	
2.822	5.29982E+6	2.822	5.29982E+6	
2.823	5.29881E+6	2.823	5.29881E+6	
2.824	5.3047E+6	2.824	5.3047E+6	
2.825	5.30175E+6	2.825	5.30175E+6	
2.826	5.29707E+6	2.826	5.29707E+6	
2.827	5.30623E+6	2.827	5.30623E+6	
2.828	5.30941E+6	2.828	5.30941E+6	
2.829	5.31525E+6	2.829	5.31525E+6	
2.83	5.32108E+6	2.83	5.32108E+6	
2.831	5.32759E+6	2.831	5.32759E+6	
2.832	5.3303E+6	2.832	5.3303E+6	
2.833	5.33366E+6	2.833	5.33366E+6	
2.834	5.33979E+6	2.834	5.33979E+6	
2.835	5.34333E+6	2.835	5.34333E+6	
2.836	5.3555E+6	2.836	5.3555E+6	
2.837	5.35744E+6	2.837	5.35744E+6	
2.838	5.35649E+6	2.838	5.35649E+6	
2.839	5.36763E+6	2.839	5.36763E+6	
2.84	5.36544E+6	2.84	5.36544E+6	
2.841	5.36641E+6	2.841	5.36641E+6	
2.842	5.3742E+6	2.842	5.3742E+6	
2.843	5.37176E+6	2.843	5.37176E+6	
2.844	5.37098E+6	2.844	5.37098E+6	
2.845	5.37888E+6	2.845	5.37888E+6	
2.846	5.37053E+6	2.846	5.37053E+6	
2.847	5.37252E+6	2.847	5.37252E+6	
2.848	5.37183E+6	2.848	5.37183E+6	
2.849	5.36987E+6	2.849	5.36987E+6	
2.85	5.36817E+6	2.85	5.36817E+6	
2.851	5.37544E+6	2.851	5.37544E+6	
2.852	5.37482E+6	2.852	5.37482E+6	
2.853	5.37392E+6	2.853	5.37392E+6	
2.854	5.37529E+6	2.854	5.37529E+6	
2.855	5.36736E+6	2.855	5.36736E+6	
2.856	5.37139E+6	2.856	5.37139E+6	
2.857	5.37162E+6	2.857	5.37162E+6	
2.858	5.378E+6	2.858	5.378E+6	
2.859	5.37328E+6	2.859	5.37328E+6	
2.86	5.3758E+6	2.86	5.3758E+6	
2.861	5.37042E+6	2.861	5.37042E+6	
2.862	5.37396E+6	2.862	5.37396E+6	
2.863	5.37117E+6	2.863	5.37117E+6	
2.864	5.37352E+6	2.864	5.37352E+6	
2.865	5.37703E+6	2.865	5.37703E+6	
2.866	5.36841E+6	2.866	5.36841E+6	
2.867	5.37217E+6	2.867	5.37217E+6	
2.868	5.37198E+6	2.868	5.37198E+6	
2.869	5.37186E+6	2.869	5.37186E+6	
2.87	5.37734E+6	2.87	5.37734E+6	
2.871	5.37324E+6	2.871	5.37324E+6	
2.872	5.37208E+6	2.872	5.37208E+6	
2.873	5.37742E+6	2.873	5.37742E+6	
2.874	5.36946E+6	2.874	5.36946E+6	
2.875	5.37889E+6	2.875	5.37889E+6	
2.876	5.37701E+6	2.876	5.37701E+6	
2.877	5.37132E+6	2.877	5.37132E+6	
2.878	5.3711E+6	2.878	5.3711E+6	
2.879	5.37966E+6	2.879	5.37966E+6	
2.88	5.37697E+6	2.88	5.37697E+6	
2.881	5.37267E+6	2.881	5.37267E+6	
2.882	5.3744E+6	2.882	5.3744E+6	
2.883	5.38038E+6	2.883	5.38038E+6	
2.884	5.37639E+6	2.884	5.37639E+6	
2.885	5.37561E+6	2.885	5.37561E+6	
2.886	5.3749E+6	2.886	5.3749E+6	
2.887	5.37658E+6	2.887	5.37658E+6	
2.888	5.37501E+6	2.888	5.37501E+6	
2.889	5.37068E+6	2.889	5.37068E+6	
2.89	5.37169E+6	2.89	5.37169E+6	
2.891	5.36814E+6	2.891	5.36814E+6	
2.892	5.3756E+6	2.892	5.3756E+6	
2.893	5.37606E+6	2.893	5.37606E+6	
2.894	5.37363E+6	2.894	5.37363E+6	
2.895	5.37183E+6	2.895	5.37183E+6	
2.896	5.37527E+6	2.896	5.37527E+6	
2.897	5.36379E+6	2.897	5.36379E+6	
2.898	5.37187E+6	2.898	5.37187E+6	
2.899	5.37267E+6	2.899	5.37267E+6	
2.9	5.37531E+6	2.9	5.37531E+6	
2.901	5.36861E+6	2.901	5.36861E+6	
2.902	5.37851E+6	2.902	5.37851E+6	
