Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	5.072E+6	2.7	5.072E+6	
2.70117	5.07013E+6	2.70117	5.07013E+6	
2.70233	5.06577E+6	2.70233	5.06577E+6	
2.7035	5.06576E+6	2.7035	5.06576E+6	
2.70467	5.07127E+6	2.70467	5.07127E+6	
2.70583	5.07142E+6	2.70583	5.07142E+6	
2.707	5.06709E+6	2.707	5.06709E+6	
2.70817	5.06641E+6	2.70817	5.06641E+6	
2.70933	5.06912E+6	2.70933	5.06912E+6	
2.7105	5.07322E+6	2.7105	5.07322E+6	
2.71167	5.06945E+6	2.71167	5.06945E+6	
2.71283	5.06993E+6	2.71283	5.06993E+6	
2.714	5.07264E+6	2.714	5.07264E+6	
2.71517	5.06698E+6	2.71517	5.06698E+6	
2.71633	5.07646E+6	2.71633	5.07646E+6	
2.7175	5.06884E+6	2.7175	5.06884E+6	
2.71867	5.07035E+6	2.71867	5.07035E+6	
2.71983	5.06837E+6	2.71983	5.06837E+6	
2.721	5.06668E+6	2.721	5.06668E+6	
2.72217	5.06941E+6	2.72217	5.06941E+6	
2.72333	5.06838E+6	2.72333	5.06838E+6	
2.7245	5.06914E+6	2.7245	5.06914E+6	
2.72567	5.06963E+6	2.72567	5.06963E+6	
2.72683	5.07391E+6	2.72683	5.07391E+6	
2.728	5.0678E+6	2.728	5.0678E+6	
2.72917	5.06758E+6	2.72917	5.06758E+6	
2.73033	5.07056E+6	2.73033	5.07056E+6	
2.7315	5.06964E+6	2.7315	5.06964E+6	
2.73267	5.07148E+6	2.73267	5.07148E+6	
2.73383	5.0696E+6	2.73383	5.0696E+6	
2.735	5.06656E+6	2.735	5.06656E+6	
2.73617	5.07114E+6	2.73617	5.07114E+6	
2.73733	5.07189E+6	2.73733	5.07189E+6	
2.7385	5.06969E+6	2.7385	5.06969E+6	
2.73967	5.07392E+6	2.73967	5.07392E+6	
2.74083	5.06788E+6	2.74083	5.06788E+6	
2.742	5.0717E+6	2.742	5.0717E+6	
2.74317	5.06688E+6	2.74317	5.06688E+6	
2.74433	5.07235E+6	2.74433	5.07235E+6	
2.7455	5.07436E+6	2.7455	5.07436E+6	
2.74667	5.06844E+6	2.74667	5.06844E+6	
2.74783	5.06749E+6	2.74783	5.06749E+6	
2.749	5.06882E+6	2.749	5.06882E+6	
