Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.75	5.06622E+6	2.75	5.06622E+6	
2.75012	5.06628E+6	2.75012	5.06628E+6	
2.75023	5.06751E+6	2.75023	5.06751E+6	
2.75035	5.07206E+6	2.75035	5.07206E+6	
2.75047	5.07043E+6	2.75047	5.07043E+6	
2.75058	5.07513E+6	2.75058	5.07513E+6	
2.7507	5.06886E+6	2.7507	5.06886E+6	
2.75082	5.06911E+6	2.75082	5.06911E+6	
2.75093	5.06842E+6	2.75093	5.06842E+6	
2.75105	5.0713E+6	2.75105	5.0713E+6	
2.75117	5.06759E+6	2.75117	5.06759E+6	
2.75128	5.06922E+6	2.75128	5.06922E+6	
2.7514	5.06652E+6	2.7514	5.06652E+6	
2.75152	5.06799E+6	2.75152	5.06799E+6	
2.75163	5.07182E+6	2.75163	5.07182E+6	
2.75175	5.06974E+6	2.75175	5.06974E+6	
2.75187	5.07167E+6	2.75187	5.07167E+6	
2.75198	5.06496E+6	2.75198	5.06496E+6	
2.7521	5.06482E+6	2.7521	5.06482E+6	
2.75222	5.07216E+6	2.75222	5.07216E+6	
2.75233	5.07009E+6	2.75233	5.07009E+6	
2.75245	5.06704E+6	2.75245	5.06704E+6	
2.75257	5.07321E+6	2.75257	5.07321E+6	
2.75268	5.06345E+6	2.75268	5.06345E+6	
2.7528	5.07224E+6	2.7528	5.07224E+6	
2.75292	5.0687E+6	2.75292	5.0687E+6	
2.75303	5.06757E+6	2.75303	5.06757E+6	
2.75315	5.07123E+6	2.75315	5.07123E+6	
2.75327	5.06873E+6	2.75327	5.06873E+6	
2.75338	5.07008E+6	2.75338	5.07008E+6	
2.7535	5.06879E+6	2.7535	5.06879E+6	
2.75362	5.07007E+6	2.75362	5.07007E+6	
2.75373	5.0708E+6	2.75373	5.0708E+6	
2.75385	5.06621E+6	2.75385	5.06621E+6	
2.75397	5.0693E+6	2.75397	5.0693E+6	
2.75408	5.06263E+6	2.75408	5.06263E+6	
2.7542	5.0658E+6	2.7542	5.0658E+6	
2.75432	5.06752E+6	2.75432	5.06752E+6	
2.75443	5.0697E+6	2.75443	5.0697E+6	
2.75455	5.06667E+6	2.75455	5.06667E+6	
2.75467	5.06707E+6	2.75467	5.06707E+6	
2.75478	5.06456E+6	2.75478	5.06456E+6	
2.7549	5.06575E+6	2.7549	5.06575E+6	
2.75502	5.0621E+6	2.75502	5.0621E+6	
2.75513	5.06599E+6	2.75513	5.06599E+6	
2.75525	5.06393E+6	2.75525	5.06393E+6	
2.75537	5.06523E+6	2.75537	5.06523E+6	
2.75548	5.06364E+6	2.75548	5.06364E+6	
2.7556	5.06252E+6	2.7556	5.06252E+6	
2.75572	5.06554E+6	2.75572	5.06554E+6	
2.75583	5.06972E+6	2.75583	5.06972E+6	
2.75595	5.06364E+6	2.75595	5.06364E+6	
2.75607	5.06471E+6	2.75607	5.06471E+6	
2.75618	5.06375E+6	2.75618	5.06375E+6	
2.7563	5.05736E+6	2.7563	5.05736E+6	
2.75642	5.06039E+6	2.75642	5.06039E+6	
2.75653	5.06366E+6	2.75653	5.06366E+6	
2.75665	5.06611E+6	2.75665	5.06611E+6	
2.75677	5.06054E+6	2.75677	5.06054E+6	
2.75688	5.05721E+6	2.75688	5.05721E+6	
2.757	5.05942E+6	2.757	5.05942E+6	
2.75712	5.06107E+6	2.75712	5.06107E+6	
2.75723	5.06279E+6	2.75723	5.06279E+6	
2.75735	5.05384E+6	2.75735	5.05384E+6	
2.75747	5.06068E+6	2.75747	5.06068E+6	
2.75758	5.05799E+6	2.75758	5.05799E+6	
2.7577	5.05861E+6	2.7577	5.05861E+6	
2.75782	5.0534E+6	2.75782	5.0534E+6	
2.75793	5.05181E+6	2.75793	5.05181E+6	
2.75805	5.05457E+6	2.75805	5.05457E+6	
2.75817	5.04855E+6	2.75817	5.04855E+6	
2.75828	5.04899E+6	2.75828	5.04899E+6	
2.7584	5.05265E+6	2.7584	5.05265E+6	
2.75852	5.05338E+6	2.75852	5.05338E+6	
2.75863	5.04886E+6	2.75863	5.04886E+6	
2.75875	5.05199E+6	2.75875	5.05199E+6	
2.75887	5.05021E+6	2.75887	5.05021E+6	
2.75898	5.04565E+6	2.75898	5.04565E+6	
2.7591	5.04685E+6	2.7591	5.04685E+6	
2.75922	5.04736E+6	2.75922	5.04736E+6	
2.75933	5.04724E+6	2.75933	5.04724E+6	
2.75945	5.04931E+6	2.75945	5.04931E+6	
2.75957	5.05105E+6	2.75957	5.05105E+6	
2.75968	5.04607E+6	2.75968	5.04607E+6	
2.7598	5.04275E+6	2.7598	5.04275E+6	
2.75992	5.04647E+6	2.75992	5.04647E+6	
2.76003	5.04744E+6	2.76003	5.04744E+6	
2.76015	5.04284E+6	2.76015	5.04284E+6	
2.76027	5.0436E+6	2.76027	5.0436E+6	
2.76038	5.04351E+6	2.76038	5.04351E+6	
2.7605	5.0472E+6	2.7605	5.0472E+6	
2.76062	5.0405E+6	2.76062	5.0405E+6	
2.76073	5.04201E+6	2.76073	5.04201E+6	
2.76085	5.0409E+6	2.76085	5.0409E+6	
2.76097	5.04093E+6	2.76097	5.04093E+6	
2.76108	5.03841E+6	2.76108	5.03841E+6	
2.7612	5.0345E+6	2.7612	5.0345E+6	
2.76132	5.03352E+6	2.76132	5.03352E+6	
2.76143	5.03819E+6	2.76143	5.03819E+6	
2.76155	5.03474E+6	2.76155	5.03474E+6	
2.76167	5.02994E+6	2.76167	5.02994E+6	
2.76178	5.02858E+6	2.76178	5.02858E+6	
2.7619	5.03301E+6	2.7619	5.03301E+6	
2.76202	5.02788E+6	2.76202	5.02788E+6	
2.76213	5.03023E+6	2.76213	5.03023E+6	
2.76225	5.03135E+6	2.76225	5.03135E+6	
2.76237	5.02417E+6	2.76237	5.02417E+6	
2.76248	5.02655E+6	2.76248	5.02655E+6	
2.7626	5.02217E+6	2.7626	5.02217E+6	
2.76272	5.02131E+6	2.76272	5.02131E+6	
2.76283	5.02653E+6	2.76283	5.02653E+6	
2.76295	5.01882E+6	2.76295	5.01882E+6	
2.76307	5.01979E+6	2.76307	5.01979E+6	
2.76318	5.01649E+6	2.76318	5.01649E+6	
2.7633	5.01381E+6	2.7633	5.01381E+6	
2.76342	5.01512E+6	2.76342	5.01512E+6	
2.76353	5.017E+6	2.76353	5.017E+6	
2.76365	5.01202E+6	2.76365	5.01202E+6	
2.76377	5.01188E+6	2.76377	5.01188E+6	
2.76388	5.0138E+6	2.76388	5.0138E+6	
2.764	5.01707E+6	2.764	5.01707E+6	
2.76412	5.01176E+6	2.76412	5.01176E+6	
2.76423	5.01056E+6	2.76423	5.01056E+6	
2.76435	5.01255E+6	2.76435	5.01255E+6	
2.76447	5.0123E+6	2.76447	5.0123E+6	
2.76458	5.01265E+6	2.76458	5.01265E+6	
2.7647	5.01272E+6	2.7647	5.01272E+6	
