Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.6	4.99884E+6	2.6	4.99884E+6	
2.602	5.00151E+6	2.602	5.00151E+6	
2.604	5.00087E+6	2.604	5.00087E+6	
2.606	5.00763E+6	2.606	5.00763E+6	
2.608	4.99951E+6	2.608	4.99951E+6	
2.61	5.00334E+6	2.61	5.00334E+6	
2.612	5.0029E+6	2.612	5.0029E+6	
2.614	5.00188E+6	2.614	5.00188E+6	
2.616	5.0038E+6	2.616	5.0038E+6	
2.618	4.99581E+6	2.618	4.99581E+6	
2.62	5.00067E+6	2.62	5.00067E+6	
2.622	5.00387E+6	2.622	5.00387E+6	
2.624	4.99858E+6	2.624	4.99858E+6	
2.626	5.00401E+6	2.626	5.00401E+6	
2.628	5.00239E+6	2.628	5.00239E+6	
2.63	5.00576E+6	2.63	5.00576E+6	
2.632	5.00453E+6	2.632	5.00453E+6	
2.634	5.00136E+6	2.634	5.00136E+6	
2.636	5.00145E+6	2.636	5.00145E+6	
2.638	4.99988E+6	2.638	4.99988E+6	
2.64	4.99474E+6	2.64	4.99474E+6	
2.642	5.00294E+6	2.642	5.00294E+6	
2.644	5.00176E+6	2.644	5.00176E+6	
2.646	5.0021E+6	2.646	5.0021E+6	
2.648	4.99967E+6	2.648	4.99967E+6	
2.65	4.99826E+6	2.65	4.99826E+6	
2.652	4.99992E+6	2.652	4.99992E+6	
2.654	4.99624E+6	2.654	4.99624E+6	
2.656	5.00029E+6	2.656	5.00029E+6	
2.658	5.00133E+6	2.658	5.00133E+6	
2.66	4.99973E+6	2.66	4.99973E+6	
2.662	5.00142E+6	2.662	5.00142E+6	
2.664	4.99765E+6	2.664	4.99765E+6	
2.666	4.99635E+6	2.666	4.99635E+6	
2.668	5.00155E+6	2.668	5.00155E+6	
2.67	5.00289E+6	2.67	5.00289E+6	
2.672	4.99758E+6	2.672	4.99758E+6	
2.674	5.00238E+6	2.674	5.00238E+6	
2.676	4.99926E+6	2.676	4.99926E+6	
2.678	4.99655E+6	2.678	4.99655E+6	
2.68	5.00172E+6	2.68	5.00172E+6	
2.682	4.99559E+6	2.682	4.99559E+6	
2.684	4.99934E+6	2.684	4.99934E+6	
2.686	4.99743E+6	2.686	4.99743E+6	
2.688	5.00128E+6	2.688	5.00128E+6	
2.69	4.99605E+6	2.69	4.99605E+6	
2.692	5.0016E+6	2.692	5.0016E+6	
2.694	4.99857E+6	2.694	4.99857E+6	
2.696	4.9988E+6	2.696	4.9988E+6	
2.698	5.00134E+6	2.698	5.00134E+6	
2.7	4.99615E+6	2.7	4.99615E+6	
2.702	4.99823E+6	2.702	4.99823E+6	
2.704	4.99555E+6	2.704	4.99555E+6	
2.706	4.99459E+6	2.706	4.99459E+6	
2.708	4.9835E+6	2.708	4.9835E+6	
2.71	4.97543E+6	2.71	4.97543E+6	
2.712	4.9652E+6	2.712	4.9652E+6	
2.714	4.95009E+6	2.714	4.95009E+6	
2.716	4.94783E+6	2.716	4.94783E+6	
2.718	4.94632E+6	2.718	4.94632E+6	
2.72	4.954E+6	2.72	4.954E+6	
2.722	4.97061E+6	2.722	4.97061E+6	
2.724	4.97055E+6	2.724	4.97055E+6	
2.726	4.98543E+6	2.726	4.98543E+6	
2.728	4.98921E+6	2.728	4.98921E+6	
2.73	4.99025E+6	2.73	4.99025E+6	
2.732	4.99592E+6	2.732	4.99592E+6	
