Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.8	4.07158E+6	2.8	4.07158E+6	
2.8005	4.07086E+6	2.8005	4.07086E+6	
2.801	4.07102E+6	2.801	4.07102E+6	
2.8015	4.07085E+6	2.8015	4.07085E+6	
2.802	4.07162E+6	2.802	4.07162E+6	
2.8025	4.07107E+6	2.8025	4.07107E+6	
2.803	4.07022E+6	2.803	4.07022E+6	
2.8035	4.07041E+6	2.8035	4.07041E+6	
2.804	4.07154E+6	2.804	4.07154E+6	
2.8045	4.07349E+6	2.8045	4.07349E+6	
2.805	4.07397E+6	2.805	4.07397E+6	
2.8055	4.06934E+6	2.8055	4.06934E+6	
2.806	4.07206E+6	2.806	4.07206E+6	
2.8065	4.0701E+6	2.8065	4.0701E+6	
2.807	4.06953E+6	2.807	4.06953E+6	
2.8075	4.07237E+6	2.8075	4.07237E+6	
2.808	4.06973E+6	2.808	4.06973E+6	
2.8085	4.07221E+6	2.8085	4.07221E+6	
2.809	4.07448E+6	2.809	4.07448E+6	
2.8095	4.07075E+6	2.8095	4.07075E+6	
2.81	4.07464E+6	2.81	4.07464E+6	
2.8105	4.06876E+6	2.8105	4.06876E+6	
2.811	4.07114E+6	2.811	4.07114E+6	
2.8115	4.06905E+6	2.8115	4.06905E+6	
2.812	4.07117E+6	2.812	4.07117E+6	
2.8125	4.06862E+6	2.8125	4.06862E+6	
2.813	4.07028E+6	2.813	4.07028E+6	
2.8135	4.074E+6	2.8135	4.074E+6	
2.814	4.06896E+6	2.814	4.06896E+6	
2.8145	4.0713E+6	2.8145	4.0713E+6	
2.815	4.07104E+6	2.815	4.07104E+6	
2.8155	4.07048E+6	2.8155	4.07048E+6	
2.816	4.0691E+6	2.816	4.0691E+6	
2.8165	4.06968E+6	2.8165	4.06968E+6	
2.817	4.07054E+6	2.817	4.07054E+6	
2.8175	4.07099E+6	2.8175	4.07099E+6	
2.818	4.07432E+6	2.818	4.07432E+6	
2.8185	4.06983E+6	2.8185	4.06983E+6	
2.819	4.07053E+6	2.819	4.07053E+6	
2.8195	4.07122E+6	2.8195	4.07122E+6	
2.82	4.0704E+6	2.82	4.0704E+6	
2.8205	4.07159E+6	2.8205	4.07159E+6	
2.821	4.0736E+6	2.821	4.0736E+6	
2.8215	4.07499E+6	2.8215	4.07499E+6	
2.822	4.07129E+6	2.822	4.07129E+6	
2.8225	4.06998E+6	2.8225	4.06998E+6	
2.823	4.07066E+6	2.823	4.07066E+6	
2.8235	4.07194E+6	2.8235	4.07194E+6	
2.824	4.07084E+6	2.824	4.07084E+6	
2.8245	4.07425E+6	2.8245	4.07425E+6	
2.825	4.07342E+6	2.825	4.07342E+6	
2.8255	4.07277E+6	2.8255	4.07277E+6	
2.826	4.07314E+6	2.826	4.07314E+6	
2.8265	4.0715E+6	2.8265	4.0715E+6	
2.827	4.0723E+6	2.827	4.0723E+6	
2.8275	4.07287E+6	2.8275	4.07287E+6	
2.828	4.07382E+6	2.828	4.07382E+6	
2.8285	4.07119E+6	2.8285	4.07119E+6	
2.829	4.073E+6	2.829	4.073E+6	
2.8295	4.07152E+6	2.8295	4.07152E+6	
2.83	4.07035E+6	2.83	4.07035E+6	
2.8305	4.07339E+6	2.8305	4.07339E+6	
2.831	4.0679E+6	2.831	4.0679E+6	
2.8315	4.0704E+6	2.8315	4.0704E+6	
2.832	4.0679E+6	2.832	4.0679E+6	
2.8325	4.07175E+6	2.8325	4.07175E+6	
2.833	4.07336E+6	2.833	4.07336E+6	
2.8335	4.07068E+6	2.8335	4.07068E+6	
2.834	4.06998E+6	2.834	4.06998E+6	
2.8345	4.07229E+6	2.8345	4.07229E+6	
2.835	4.07383E+6	2.835	4.07383E+6	
2.8355	4.07274E+6	2.8355	4.07274E+6	
2.836	4.07078E+6	2.836	4.07078E+6	
2.8365	4.07113E+6	2.8365	4.07113E+6	
2.837	4.06972E+6	2.837	4.06972E+6	
2.8375	4.0708E+6	2.8375	4.0708E+6	
2.838	4.07218E+6	2.838	4.07218E+6	
2.8385	4.06854E+6	2.8385	4.06854E+6	
