Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	4.41841E+6	2.7	4.41841E+6	
2.70133	4.42307E+6	2.70133	4.42307E+6	
2.70267	4.4212E+6	2.70267	4.4212E+6	
2.704	4.42123E+6	2.704	4.42123E+6	
2.70533	4.42441E+6	2.70533	4.42441E+6	
2.70667	4.41566E+6	2.70667	4.41566E+6	
2.708	4.42011E+6	2.708	4.42011E+6	
2.70933	4.42148E+6	2.70933	4.42148E+6	
2.71067	4.41784E+6	2.71067	4.41784E+6	
2.712	4.42E+6	2.712	4.42E+6	
2.71333	4.41874E+6	2.71333	4.41874E+6	
2.71467	4.41961E+6	2.71467	4.41961E+6	
2.716	4.42194E+6	2.716	4.42194E+6	
2.71733	4.42304E+6	2.71733	4.42304E+6	
2.71867	4.4251E+6	2.71867	4.4251E+6	
2.72	4.41726E+6	2.72	4.41726E+6	
2.72133	4.42021E+6	2.72133	4.42021E+6	
2.72267	4.41747E+6	2.72267	4.41747E+6	
2.724	4.41695E+6	2.724	4.41695E+6	
2.72533	4.42112E+6	2.72533	4.42112E+6	
2.72667	4.42062E+6	2.72667	4.42062E+6	
2.728	4.4189E+6	2.728	4.4189E+6	
2.72933	4.41518E+6	2.72933	4.41518E+6	
2.73067	4.4202E+6	2.73067	4.4202E+6	
2.732	4.41444E+6	2.732	4.41444E+6	
2.73333	4.41763E+6	2.73333	4.41763E+6	
2.73467	4.42095E+6	2.73467	4.42095E+6	
2.736	4.41773E+6	2.736	4.41773E+6	
2.73733	4.4163E+6	2.73733	4.4163E+6	
2.73867	4.41943E+6	2.73867	4.41943E+6	
2.74	4.4188E+6	2.74	4.4188E+6	
2.74133	4.4206E+6	2.74133	4.4206E+6	
2.74267	4.41708E+6	2.74267	4.41708E+6	
2.744	4.41537E+6	2.744	4.41537E+6	
2.74533	4.41649E+6	2.74533	4.41649E+6	
2.74667	4.41328E+6	2.74667	4.41328E+6	
2.748	4.4167E+6	2.748	4.4167E+6	
2.74933	4.41547E+6	2.74933	4.41547E+6	
2.75067	4.42129E+6	2.75067	4.42129E+6	
2.752	4.41917E+6	2.752	4.41917E+6	
2.75333	4.41517E+6	2.75333	4.41517E+6	
2.75467	4.4198E+6	2.75467	4.4198E+6	
2.756	4.424E+6	2.756	4.424E+6	
2.75733	4.42268E+6	2.75733	4.42268E+6	
2.75867	4.41577E+6	2.75867	4.41577E+6	
2.76	4.4233E+6	2.76	4.4233E+6	
2.76133	4.41766E+6	2.76133	4.41766E+6	
2.76267	4.41956E+6	2.76267	4.41956E+6	
2.764	4.42232E+6	2.764	4.42232E+6	
2.76533	4.41644E+6	2.76533	4.41644E+6	
2.76667	4.41864E+6	2.76667	4.41864E+6	
2.768	4.4211E+6	2.768	4.4211E+6	
2.76933	4.41481E+6	2.76933	4.41481E+6	
2.77067	4.41856E+6	2.77067	4.41856E+6	
2.772	4.42029E+6	2.772	4.42029E+6	
2.77333	4.41761E+6	2.77333	4.41761E+6	
2.77467	4.42064E+6	2.77467	4.42064E+6	
2.776	4.41639E+6	2.776	4.41639E+6	
2.77733	4.41907E+6	2.77733	4.41907E+6	
2.77867	4.4209E+6	2.77867	4.4209E+6	
2.78	4.41518E+6	2.78	4.41518E+6	
2.78133	4.42127E+6	2.78133	4.42127E+6	
2.78267	4.41435E+6	2.78267	4.41435E+6	
2.784	4.41584E+6	2.784	4.41584E+6	
2.78533	4.41431E+6	2.78533	4.41431E+6	
2.78667	4.41247E+6	2.78667	4.41247E+6	
2.788	4.40637E+6	2.788	4.40637E+6	
2.78933	4.40091E+6	2.78933	4.40091E+6	
2.79067	4.39802E+6	2.79067	4.39802E+6	
2.792	4.39058E+6	2.792	4.39058E+6	
2.79333	4.38586E+6	2.79333	4.38586E+6	
2.79467	4.37282E+6	2.79467	4.37282E+6	
2.796	4.3747E+6	2.796	4.3747E+6	
2.79733	4.36938E+6	2.79733	4.36938E+6	
2.79867	4.37256E+6	2.79867	4.37256E+6	
2.8	4.37746E+6	2.8	4.37746E+6	
2.80133	4.37976E+6	2.80133	4.37976E+6	
2.80267	4.40357E+6	2.80267	4.40357E+6	
2.804	4.39651E+6	2.804	4.39651E+6	
2.80533	4.40593E+6	2.80533	4.40593E+6	
2.80667	4.40909E+6	2.80667	4.40909E+6	
2.808	4.41089E+6	2.808	4.41089E+6	
2.80933	4.41501E+6	2.80933	4.41501E+6	
2.81067	4.4173E+6	2.81067	4.4173E+6	
2.812	4.41732E+6	2.812	4.41732E+6	
2.81333	4.41927E+6	2.81333	4.41927E+6	
2.81467	4.41404E+6	2.81467	4.41404E+6	
2.816	4.41708E+6	2.816	4.41708E+6	
2.81733	4.42132E+6	2.81733	4.42132E+6	
2.81867	4.41733E+6	2.81867	4.41733E+6	
2.82	4.42313E+6	2.82	4.42313E+6	
2.82133	4.42035E+6	2.82133	4.42035E+6	
2.82267	4.42098E+6	2.82267	4.42098E+6	
2.824	4.42125E+6	2.824	4.42125E+6	
2.82533	4.41668E+6	2.82533	4.41668E+6	
2.82667	4.42078E+6	2.82667	4.42078E+6	
2.828	4.41945E+6	2.828	4.41945E+6	
2.82933	4.42143E+6	2.82933	4.42143E+6	
2.83067	4.42091E+6	2.83067	4.42091E+6	
2.832	4.421E+6	2.832	4.421E+6	
2.83333	4.41794E+6	2.83333	4.41794E+6	
2.83467	4.42237E+6	2.83467	4.42237E+6	
2.836	4.42143E+6	2.836	4.42143E+6	
2.83733	4.41824E+6	2.83733	4.41824E+6	
2.83867	4.4212E+6	2.83867	4.4212E+6	
2.84	4.41916E+6	2.84	4.41916E+6	
2.84133	4.41866E+6	2.84133	4.41866E+6	
2.84267	4.41858E+6	2.84267	4.41858E+6	
2.844	4.42111E+6	2.844	4.42111E+6	
2.84533	4.41769E+6	2.84533	4.41769E+6	
2.84667	4.42001E+6	2.84667	4.42001E+6	
2.848	4.42097E+6	2.848	4.42097E+6	
2.84933	4.42103E+6	2.84933	4.42103E+6	
2.85067	4.415E+6	2.85067	4.415E+6	
2.852	4.42132E+6	2.852	4.42132E+6	
2.85333	4.41698E+6	2.85333	4.41698E+6	
2.85467	4.41938E+6	2.85467	4.41938E+6	
2.856	4.42019E+6	2.856	4.42019E+6	
2.85733	4.42043E+6	2.85733	4.42043E+6	
2.85867	4.42111E+6	2.85867	4.42111E+6	
2.86	4.41789E+6	2.86	4.41789E+6	
2.86133	4.41924E+6	2.86133	4.41924E+6	
2.86267	4.41847E+6	2.86267	4.41847E+6	
2.864	4.42279E+6	2.864	4.42279E+6	
2.86533	4.4173E+6	2.86533	4.4173E+6	
2.86667	4.4177E+6	2.86667	4.4177E+6	
2.868	4.41068E+6	2.868	4.41068E+6	
2.86933	4.41765E+6	2.86933	4.41765E+6	
2.87067	4.4199E+6	2.87067	4.4199E+6	
2.872	4.41799E+6	2.872	4.41799E+6	
2.87333	4.41905E+6	2.87333	4.41905E+6	
2.87467	4.41734E+6	2.87467	4.41734E+6	
2.876	4.41837E+6	2.876	4.41837E+6	
2.87733	4.41882E+6	2.87733	4.41882E+6	
2.87867	4.41858E+6	2.87867	4.41858E+6	
2.88	4.41999E+6	2.88	4.41999E+6	
2.88133	4.41654E+6	2.88133	4.41654E+6	
2.88267	4.42054E+6	2.88267	4.42054E+6	
2.884	4.42029E+6	2.884	4.42029E+6	
2.88533	4.4197E+6	2.88533	4.4197E+6	
2.88667	4.4211E+6	2.88667	4.4211E+6	
2.888	4.41818E+6	2.888	4.41818E+6	
2.88933	4.41665E+6	2.88933	4.41665E+6	
2.89067	4.4149E+6	2.89067	4.4149E+6	
2.892	4.42108E+6	2.892	4.42108E+6	
2.89333	4.41877E+6	2.89333	4.41877E+6	
2.89467	4.41674E+6	2.89467	4.41674E+6	
2.896	4.41517E+6	2.896	4.41517E+6	
2.89733	4.42004E+6	2.89733	4.42004E+6	
2.89867	4.41998E+6	2.89867	4.41998E+6	
2.9	4.41667E+6	2.9	4.41667E+6	
2.90133	4.41808E+6	2.90133	4.41808E+6	
2.90267	4.41854E+6	2.90267	4.41854E+6	
2.904	4.41713E+6	2.904	4.41713E+6	
2.90533	4.41931E+6	2.90533	4.41931E+6	
2.90667	4.42012E+6	2.90667	4.42012E+6	
2.908	4.42244E+6	2.908	4.42244E+6	
2.90933	4.42203E+6	2.90933	4.42203E+6	
2.91067	4.42056E+6	2.91067	4.42056E+6	
2.912	4.4183E+6	2.912	4.4183E+6	
2.91333	4.42159E+6	2.91333	4.42159E+6	
2.91467	4.4197E+6	2.91467	4.4197E+6	
2.916	4.42178E+6	2.916	4.42178E+6	
2.91733	4.42087E+6	2.91733	4.42087E+6	
2.91867	4.42115E+6	2.91867	4.42115E+6	
2.92	4.4207E+6	2.92	4.4207E+6	
2.92133	4.41528E+6	2.92133	4.41528E+6	
2.92267	4.41844E+6	2.92267	4.41844E+6	
2.924	4.42168E+6	2.924	4.42168E+6	
2.92533	4.41869E+6	2.92533	4.41869E+6	
2.92667	4.41039E+6	2.92667	4.41039E+6	
2.928	4.42116E+6	2.928	4.42116E+6	
2.92933	4.42173E+6	2.92933	4.42173E+6	
2.93067	4.42455E+6	2.93067	4.42455E+6	
2.932	4.41958E+6	2.932	4.41958E+6	
2.93333	4.41949E+6	2.93333	4.41949E+6	
2.93467	4.42182E+6	2.93467	4.42182E+6	
2.936	4.41784E+6	2.936	4.41784E+6	
2.93733	4.42032E+6	2.93733	4.42032E+6	
2.93867	4.41764E+6	2.93867	4.41764E+6	
2.94	4.4186E+6	2.94	4.4186E+6	
2.94133	4.41431E+6	2.94133	4.41431E+6	
2.94267	4.41448E+6	2.94267	4.41448E+6	
2.944	4.41112E+6	2.944	4.41112E+6	
2.94533	4.40489E+6	2.94533	4.40489E+6	
2.94667	4.4007E+6	2.94667	4.4007E+6	
2.948	4.39155E+6	2.948	4.39155E+6	
2.94933	4.38245E+6	2.94933	4.38245E+6	
2.95067	4.38167E+6	2.95067	4.38167E+6	
2.952	4.37763E+6	2.952	4.37763E+6	
2.95333	4.37285E+6	2.95333	4.37285E+6	
2.95467	4.3754E+6	2.95467	4.3754E+6	
2.956	4.37561E+6	2.956	4.37561E+6	
2.95733	4.38065E+6	2.95733	4.38065E+6	
2.95867	4.38713E+6	2.95867	4.38713E+6	
2.96	4.39467E+6	2.96	4.39467E+6	
2.96133	4.39823E+6	2.96133	4.39823E+6	
2.96267	4.40464E+6	2.96267	4.40464E+6	
2.964	4.40521E+6	2.964	4.40521E+6	
2.96533	4.40846E+6	2.96533	4.40846E+6	
2.96667	4.41508E+6	2.96667	4.41508E+6	
2.968	4.42043E+6	2.968	4.42043E+6	
2.96933	4.41655E+6	2.96933	4.41655E+6	
2.97067	4.41772E+6	2.97067	4.41772E+6	
2.972	4.41552E+6	2.972	4.41552E+6	
2.97333	4.41578E+6	2.97333	4.41578E+6	
2.97467	4.419E+6	2.97467	4.419E+6	
2.976	4.41909E+6	2.976	4.41909E+6	
2.97733	4.41991E+6	2.97733	4.41991E+6	
2.97867	4.4193E+6	2.97867	4.4193E+6	
2.98	4.41906E+6	2.98	4.41906E+6	
2.98133	4.42267E+6	2.98133	4.42267E+6	
2.98267	4.41689E+6	2.98267	4.41689E+6	
2.984	4.42292E+6	2.984	4.42292E+6	
2.98533	4.42326E+6	2.98533	4.42326E+6	
2.98667	4.41547E+6	2.98667	4.41547E+6	
2.988	4.42052E+6	2.988	4.42052E+6	
2.98933	4.42094E+6	2.98933	4.42094E+6	
2.99067	4.42003E+6	2.99067	4.42003E+6	
2.992	4.42123E+6	2.992	4.42123E+6	
2.99333	4.4192E+6	2.99333	4.4192E+6	
2.99467	4.42081E+6	2.99467	4.42081E+6	
2.996	4.42253E+6	2.996	4.42253E+6	
2.99733	4.42317E+6	2.99733	4.42317E+6	
2.99867	4.41666E+6	2.99867	4.41666E+6	
3	4.4241E+6	3	4.4241E+6	
3.00133	4.42128E+6	3.00133	4.42128E+6	
3.00267	4.42093E+6	3.00267	4.42093E+6	
3.004	4.42251E+6	3.004	4.42251E+6	
3.00533	4.42076E+6	3.00533	4.42076E+6	
3.00667	4.41941E+6	3.00667	4.41941E+6	
3.008	4.42256E+6	3.008	4.42256E+6	
3.00933	4.42011E+6	3.00933	4.42011E+6	
3.01067	4.41695E+6	3.01067	4.41695E+6	
3.012	4.42253E+6	3.012	4.42253E+6	
3.01333	4.42134E+6	3.01333	4.42134E+6	
3.01467	4.41967E+6	3.01467	4.41967E+6	
3.016	4.41846E+6	3.016	4.41846E+6	
3.01733	4.4183E+6	3.01733	4.4183E+6	
3.01867	4.42091E+6	3.01867	4.42091E+6	
3.02	4.42299E+6	3.02	4.42299E+6	
3.02133	4.41778E+6	3.02133	4.41778E+6	
3.02267	4.41825E+6	3.02267	4.41825E+6	
3.024	4.41828E+6	3.024	4.41828E+6	
3.02533	4.42013E+6	3.02533	4.42013E+6	
3.02667	4.4205E+6	3.02667	4.4205E+6	
3.028	4.41877E+6	3.028	4.41877E+6	
3.02933	4.41897E+6	3.02933	4.41897E+6	
3.03067	4.42276E+6	3.03067	4.42276E+6	
3.032	4.42047E+6	3.032	4.42047E+6	
3.03333	4.41722E+6	3.03333	4.41722E+6	
3.03467	4.42056E+6	3.03467	4.42056E+6	
3.036	4.42158E+6	3.036	4.42158E+6	
3.03733	4.42021E+6	3.03733	4.42021E+6	
3.03867	4.42074E+6	3.03867	4.42074E+6	
3.04	4.42162E+6	3.04	4.42162E+6	
3.04133	4.4212E+6	3.04133	4.4212E+6	
3.04267	4.42445E+6	3.04267	4.42445E+6	
3.044	4.42097E+6	3.044	4.42097E+6	
3.04533	4.41997E+6	3.04533	4.41997E+6	
3.04667	4.4209E+6	3.04667	4.4209E+6	
3.048	4.42279E+6	3.048	4.42279E+6	
3.04933	4.42155E+6	3.04933	4.42155E+6	
3.05067	4.42421E+6	3.05067	4.42421E+6	
3.052	4.41814E+6	3.052	4.41814E+6	
3.05333	4.42325E+6	3.05333	4.42325E+6	
3.05467	4.42163E+6	3.05467	4.42163E+6	
3.056	4.41909E+6	3.056	4.41909E+6	
3.05733	4.42011E+6	3.05733	4.42011E+6	
3.05867	4.4218E+6	3.05867	4.4218E+6	
3.06	4.42302E+6	3.06	4.42302E+6	
3.06133	4.41874E+6	3.06133	4.41874E+6	
3.06267	4.41818E+6	3.06267	4.41818E+6	
3.064	4.42E+6	3.064	4.42E+6	
3.06533	4.41963E+6	3.06533	4.41963E+6	
3.06667	4.41953E+6	3.06667	4.41953E+6	
3.068	4.4215E+6	3.068	4.4215E+6	
3.06933	4.42458E+6	3.06933	4.42458E+6	
3.07067	4.41954E+6	3.07067	4.41954E+6	
3.072	4.42165E+6	3.072	4.42165E+6	
3.07333	4.4204E+6	3.07333	4.4204E+6	
3.07467	4.41926E+6	3.07467	4.41926E+6	
3.076	4.41846E+6	3.076	4.41846E+6	
3.07733	4.41876E+6	3.07733	4.41876E+6	
3.07867	4.41991E+6	3.07867	4.41991E+6	
3.08	4.42104E+6	3.08	4.42104E+6	
3.08133	4.42305E+6	3.08133	4.42305E+6	
3.08267	4.41802E+6	3.08267	4.41802E+6	
3.084	4.42096E+6	3.084	4.42096E+6	
3.08533	4.41859E+6	3.08533	4.41859E+6	
3.08667	4.41545E+6	3.08667	4.41545E+6	
3.088	4.41397E+6	3.088	4.41397E+6	
3.08933	4.41864E+6	3.08933	4.41864E+6	
3.09067	4.42302E+6	3.09067	4.42302E+6	
3.092	4.42146E+6	3.092	4.42146E+6	
3.09333	4.41858E+6	3.09333	4.41858E+6	
3.09467	4.42056E+6	3.09467	4.42056E+6	
3.096	4.42002E+6	3.096	4.42002E+6	
3.09733	4.41891E+6	3.09733	4.41891E+6	
3.09867	4.41994E+6	3.09867	4.41994E+6	
3.1	4.42506E+6	3.1	4.42506E+6	
