Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.924	4.09069E+6	2.924	4.09069E+6	
2.92413	4.09309E+6	2.92413	4.09309E+6	
2.92427	4.09152E+6	2.92427	4.09152E+6	
2.9244	4.09514E+6	2.9244	4.09514E+6	
2.92453	4.09235E+6	2.92453	4.09235E+6	
2.92467	4.09309E+6	2.92467	4.09309E+6	
2.9248	4.0927E+6	2.9248	4.0927E+6	
2.92493	4.09056E+6	2.92493	4.09056E+6	
2.92507	4.09125E+6	2.92507	4.09125E+6	
2.9252	4.09165E+6	2.9252	4.09165E+6	
2.92533	4.09247E+6	2.92533	4.09247E+6	
2.92547	4.09178E+6	2.92547	4.09178E+6	
2.9256	4.09362E+6	2.9256	4.09362E+6	
2.92573	4.09519E+6	2.92573	4.09519E+6	
2.92587	4.09264E+6	2.92587	4.09264E+6	
2.926	4.09151E+6	2.926	4.09151E+6	
2.92613	4.09105E+6	2.92613	4.09105E+6	
2.92627	4.09232E+6	2.92627	4.09232E+6	
2.9264	4.09139E+6	2.9264	4.09139E+6	
2.92653	4.09348E+6	2.92653	4.09348E+6	
2.92667	4.09226E+6	2.92667	4.09226E+6	
2.9268	4.09214E+6	2.9268	4.09214E+6	
2.92693	4.09121E+6	2.92693	4.09121E+6	
2.92707	4.09303E+6	2.92707	4.09303E+6	
2.9272	4.09328E+6	2.9272	4.09328E+6	
2.92733	4.09302E+6	2.92733	4.09302E+6	
2.92747	4.09286E+6	2.92747	4.09286E+6	
2.9276	4.09237E+6	2.9276	4.09237E+6	
2.92773	4.09283E+6	2.92773	4.09283E+6	
2.92787	4.09043E+6	2.92787	4.09043E+6	
2.928	4.08992E+6	2.928	4.08992E+6	
2.92813	4.09125E+6	2.92813	4.09125E+6	
2.92827	4.09208E+6	2.92827	4.09208E+6	
2.9284	4.09469E+6	2.9284	4.09469E+6	
2.92853	4.09287E+6	2.92853	4.09287E+6	
2.92867	4.09201E+6	2.92867	4.09201E+6	
2.9288	4.09118E+6	2.9288	4.09118E+6	
2.92893	4.09259E+6	2.92893	4.09259E+6	
2.92907	4.09237E+6	2.92907	4.09237E+6	
2.9292	4.09036E+6	2.9292	4.09036E+6	
2.92933	4.09216E+6	2.92933	4.09216E+6	
2.92947	4.09055E+6	2.92947	4.09055E+6	
2.9296	4.09303E+6	2.9296	4.09303E+6	
2.92973	4.09066E+6	2.92973	4.09066E+6	
2.92987	4.08946E+6	2.92987	4.08946E+6	
2.93	4.0923E+6	2.93	4.0923E+6	
2.93013	4.09005E+6	2.93013	4.09005E+6	
2.93027	4.09153E+6	2.93027	4.09153E+6	
2.9304	4.08929E+6	2.9304	4.08929E+6	
2.93053	4.08991E+6	2.93053	4.08991E+6	
2.93067	4.0912E+6	2.93067	4.0912E+6	
2.9308	4.09117E+6	2.9308	4.09117E+6	
2.93093	4.09235E+6	2.93093	4.09235E+6	
2.93107	4.09076E+6	2.93107	4.09076E+6	
2.9312	4.08956E+6	2.9312	4.08956E+6	
2.93133	4.08979E+6	2.93133	4.08979E+6	
2.93147	4.09013E+6	2.93147	4.09013E+6	
2.9316	4.09176E+6	2.9316	4.09176E+6	
2.93173	4.09184E+6	2.93173	4.09184E+6	
2.93187	4.09134E+6	2.93187	4.09134E+6	
2.932	4.08726E+6	2.932	4.08726E+6	
2.93213	4.09127E+6	2.93213	4.09127E+6	
2.93227	4.08817E+6	2.93227	4.08817E+6	
2.9324	4.08992E+6	2.9324	4.08992E+6	
2.93253	4.08827E+6	2.93253	4.08827E+6	
2.93267	4.08695E+6	2.93267	4.08695E+6	
2.9328	4.08787E+6	2.9328	4.08787E+6	
2.93293	4.0897E+6	2.93293	4.0897E+6	
2.93307	4.08756E+6	2.93307	4.08756E+6	
2.9332	4.08913E+6	2.9332	4.08913E+6	
2.93333	4.08595E+6	2.93333	4.08595E+6	
2.93347	4.08868E+6	2.93347	4.08868E+6	
2.9336	4.08808E+6	2.9336	4.08808E+6	
2.93373	4.08778E+6	2.93373	4.08778E+6	
2.93387	4.08915E+6	2.93387	4.08915E+6	
2.934	4.08723E+6	2.934	4.08723E+6	
2.93413	4.08814E+6	2.93413	4.08814E+6	
2.93427	4.08707E+6	2.93427	4.08707E+6	
2.9344	4.08668E+6	2.9344	4.08668E+6	
2.93453	4.08826E+6	2.93453	4.08826E+6	
2.93467	4.08954E+6	2.93467	4.08954E+6	
2.9348	4.08718E+6	2.9348	4.08718E+6	
2.93493	4.08316E+6	2.93493	4.08316E+6	
2.93507	4.0861E+6	2.93507	4.0861E+6	
2.9352	4.08356E+6	2.9352	4.08356E+6	
2.93533	4.08292E+6	2.93533	4.08292E+6	
2.93547	4.08461E+6	2.93547	4.08461E+6	
2.9356	4.08354E+6	2.9356	4.08354E+6	
2.93573	4.08492E+6	2.93573	4.08492E+6	
2.93587	4.08492E+6	2.93587	4.08492E+6	
2.936	4.08442E+6	2.936	4.08442E+6	
2.93613	4.08554E+6	2.93613	4.08554E+6	
2.93627	4.0831E+6	2.93627	4.0831E+6	
2.9364	4.08236E+6	2.9364	4.08236E+6	
2.93653	4.08303E+6	2.93653	4.08303E+6	
2.93667	4.08211E+6	2.93667	4.08211E+6	
2.9368	4.07901E+6	2.9368	4.07901E+6	
2.93693	4.07908E+6	2.93693	4.07908E+6	
2.93707	4.07957E+6	2.93707	4.07957E+6	
2.9372	4.07823E+6	2.9372	4.07823E+6	
2.93733	4.07795E+6	2.93733	4.07795E+6	
2.93747	4.07723E+6	2.93747	4.07723E+6	
2.9376	4.0777E+6	2.9376	4.0777E+6	
2.93773	4.07482E+6	2.93773	4.07482E+6	
2.93787	4.0766E+6	2.93787	4.0766E+6	
2.938	4.07541E+6	2.938	4.07541E+6	
2.93813	4.07344E+6	2.93813	4.07344E+6	
2.93827	4.07559E+6	2.93827	4.07559E+6	
2.9384	4.07244E+6	2.9384	4.07244E+6	
2.93853	4.07354E+6	2.93853	4.07354E+6	
2.93867	4.07345E+6	2.93867	4.07345E+6	
2.9388	4.0744E+6	2.9388	4.0744E+6	
2.93893	4.07329E+6	2.93893	4.07329E+6	
2.93907	4.07063E+6	2.93907	4.07063E+6	
2.9392	4.07073E+6	2.9392	4.07073E+6	
2.93933	4.06945E+6	2.93933	4.06945E+6	
2.93947	4.0717E+6	2.93947	4.0717E+6	
2.9396	4.0713E+6	2.9396	4.0713E+6	
2.93973	4.07062E+6	2.93973	4.07062E+6	
2.93987	4.08022E+6	2.93987	4.08022E+6	
2.94	4.07054E+6	2.94	4.07054E+6	
2.94013	4.06698E+6	2.94013	4.06698E+6	
2.94027	4.0695E+6	2.94027	4.0695E+6	
2.9404	4.06956E+6	2.9404	4.06956E+6	
2.94053	4.06746E+6	2.94053	4.06746E+6	
2.94067	4.06556E+6	2.94067	4.06556E+6	
2.9408	4.06539E+6	2.9408	4.06539E+6	
2.94093	4.06562E+6	2.94093	4.06562E+6	
2.94107	4.06546E+6	2.94107	4.06546E+6	
