Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.8	4.09406E+6	2.8	4.09406E+6	
2.80067	4.09718E+6	2.80067	4.09718E+6	
2.80133	4.09546E+6	2.80133	4.09546E+6	
2.802	4.0962E+6	2.802	4.0962E+6	
2.80267	4.09608E+6	2.80267	4.09608E+6	
2.80333	4.09507E+6	2.80333	4.09507E+6	
2.804	4.09617E+6	2.804	4.09617E+6	
2.80467	4.09483E+6	2.80467	4.09483E+6	
2.80533	4.0973E+6	2.80533	4.0973E+6	
2.806	4.09651E+6	2.806	4.09651E+6	
2.80667	4.09839E+6	2.80667	4.09839E+6	
2.80733	4.09578E+6	2.80733	4.09578E+6	
2.808	4.09417E+6	2.808	4.09417E+6	
2.80867	4.09527E+6	2.80867	4.09527E+6	
2.80933	4.0949E+6	2.80933	4.0949E+6	
2.81	4.09286E+6	2.81	4.09286E+6	
2.81067	4.0932E+6	2.81067	4.0932E+6	
2.81133	4.09495E+6	2.81133	4.09495E+6	
2.812	4.09399E+6	2.812	4.09399E+6	
2.81267	4.09238E+6	2.81267	4.09238E+6	
2.81333	4.09401E+6	2.81333	4.09401E+6	
2.814	4.09343E+6	2.814	4.09343E+6	
2.81467	4.09367E+6	2.81467	4.09367E+6	
2.81533	4.09085E+6	2.81533	4.09085E+6	
2.816	4.09091E+6	2.816	4.09091E+6	
2.81667	4.08866E+6	2.81667	4.08866E+6	
2.81733	4.09212E+6	2.81733	4.09212E+6	
2.818	4.0922E+6	2.818	4.0922E+6	
2.81867	4.08734E+6	2.81867	4.08734E+6	
2.81933	4.08553E+6	2.81933	4.08553E+6	
2.82	4.08741E+6	2.82	4.08741E+6	
2.82067	4.08224E+6	2.82067	4.08224E+6	
2.82133	4.08244E+6	2.82133	4.08244E+6	
2.822	4.07661E+6	2.822	4.07661E+6	
2.82267	4.0759E+6	2.82267	4.0759E+6	
2.82333	4.07197E+6	2.82333	4.07197E+6	
2.824	4.06972E+6	2.824	4.06972E+6	
2.82467	4.0653E+6	2.82467	4.0653E+6	
2.82533	4.06783E+6	2.82533	4.06783E+6	
2.826	4.06391E+6	2.826	4.06391E+6	
2.82667	4.06024E+6	2.82667	4.06024E+6	
2.82733	4.05755E+6	2.82733	4.05755E+6	
2.828	4.05472E+6	2.828	4.05472E+6	
2.82867	4.05533E+6	2.82867	4.05533E+6	
2.82933	4.05163E+6	2.82933	4.05163E+6	
2.83	4.07078E+6	2.83	4.07078E+6	
2.83067	4.05189E+6	2.83067	4.05189E+6	
2.83133	4.05319E+6	2.83133	4.05319E+6	
2.832	4.05607E+6	2.832	4.05607E+6	
2.83267	4.05511E+6	2.83267	4.05511E+6	
2.83333	4.05688E+6	2.83333	4.05688E+6	
2.834	4.05917E+6	2.834	4.05917E+6	
2.83467	4.05945E+6	2.83467	4.05945E+6	
2.83533	4.06519E+6	2.83533	4.06519E+6	
2.836	4.07103E+6	2.836	4.07103E+6	
2.83667	4.07408E+6	2.83667	4.07408E+6	
2.83733	4.07891E+6	2.83733	4.07891E+6	
2.838	4.0801E+6	2.838	4.0801E+6	
2.83867	4.08168E+6	2.83867	4.08168E+6	
2.83933	4.08601E+6	2.83933	4.08601E+6	
2.84	4.08657E+6	2.84	4.08657E+6	
2.84067	4.08858E+6	2.84067	4.08858E+6	
2.84133	4.09289E+6	2.84133	4.09289E+6	
2.842	4.09251E+6	2.842	4.09251E+6	
2.84267	4.09293E+6	2.84267	4.09293E+6	
2.84333	4.091E+6	2.84333	4.091E+6	
2.844	4.09224E+6	2.844	4.09224E+6	
2.84467	4.09536E+6	2.84467	4.09536E+6	
2.84533	4.09415E+6	2.84533	4.09415E+6	
2.846	4.09158E+6	2.846	4.09158E+6	
2.84667	4.09381E+6	2.84667	4.09381E+6	
2.84733	4.09496E+6	2.84733	4.09496E+6	
2.848	4.09443E+6	2.848	4.09443E+6	
2.84867	4.09464E+6	2.84867	4.09464E+6	
2.84933	4.09115E+6	2.84933	4.09115E+6	
2.85	4.09361E+6	2.85	4.09361E+6	
2.85067	4.09014E+6	2.85067	4.09014E+6	
2.85133	4.09703E+6	2.85133	4.09703E+6	
2.852	4.09425E+6	2.852	4.09425E+6	
2.85267	4.09231E+6	2.85267	4.09231E+6	
2.85333	4.09389E+6	2.85333	4.09389E+6	
2.854	4.09171E+6	2.854	4.09171E+6	
2.85467	4.09416E+6	2.85467	4.09416E+6	
2.85533	4.09207E+6	2.85533	4.09207E+6	
2.856	4.09406E+6	2.856	4.09406E+6	
2.85667	4.09436E+6	2.85667	4.09436E+6	
2.85733	4.09504E+6	2.85733	4.09504E+6	
2.858	4.09263E+6	2.858	4.09263E+6	
2.85867	4.09953E+6	2.85867	4.09953E+6	
2.85933	4.09428E+6	2.85933	4.09428E+6	
2.86	4.09737E+6	2.86	4.09737E+6	
2.86067	4.09581E+6	2.86067	4.09581E+6	
2.86133	4.09545E+6	2.86133	4.09545E+6	
2.862	4.09541E+6	2.862	4.09541E+6	
2.86267	4.09471E+6	2.86267	4.09471E+6	
2.86333	4.09741E+6	2.86333	4.09741E+6	
2.864	4.09661E+6	2.864	4.09661E+6	
2.86467	4.09528E+6	2.86467	4.09528E+6	
