Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	5.10592E+6	2.7	5.10592E+6	
2.70133	5.10073E+6	2.70133	5.10073E+6	
2.70267	5.09606E+6	2.70267	5.09606E+6	
2.704	5.10051E+6	2.704	5.10051E+6	
2.70533	5.10453E+6	2.70533	5.10453E+6	
2.70667	5.09806E+6	2.70667	5.09806E+6	
2.708	5.09735E+6	2.708	5.09735E+6	
2.70933	5.10078E+6	2.70933	5.10078E+6	
2.71067	5.10285E+6	2.71067	5.10285E+6	
2.712	5.09985E+6	2.712	5.09985E+6	
2.71333	5.09828E+6	2.71333	5.09828E+6	
2.71467	5.09939E+6	2.71467	5.09939E+6	
2.716	5.10255E+6	2.716	5.10255E+6	
2.71733	5.10465E+6	2.71733	5.10465E+6	
2.71867	5.102E+6	2.71867	5.102E+6	
2.72	5.10095E+6	2.72	5.10095E+6	
2.72133	5.09965E+6	2.72133	5.09965E+6	
2.72267	5.09675E+6	2.72267	5.09675E+6	
2.724	5.10075E+6	2.724	5.10075E+6	
2.72533	5.09375E+6	2.72533	5.09375E+6	
2.72667	5.09743E+6	2.72667	5.09743E+6	
2.728	5.0856E+6	2.728	5.0856E+6	
2.72933	5.0872E+6	2.72933	5.0872E+6	
2.73067	5.09156E+6	2.73067	5.09156E+6	
2.732	5.08326E+6	2.732	5.08326E+6	
2.73333	5.08668E+6	2.73333	5.08668E+6	
2.73467	5.07459E+6	2.73467	5.07459E+6	
2.736	5.06793E+6	2.736	5.06793E+6	
2.73733	5.06194E+6	2.73733	5.06194E+6	
2.73867	5.05956E+6	2.73867	5.05956E+6	
2.74	5.05681E+6	2.74	5.05681E+6	
2.74133	5.04744E+6	2.74133	5.04744E+6	
2.74267	5.04254E+6	2.74267	5.04254E+6	
2.744	5.04538E+6	2.744	5.04538E+6	
2.74533	5.03646E+6	2.74533	5.03646E+6	
2.74667	5.04179E+6	2.74667	5.04179E+6	
2.748	5.06987E+6	2.748	5.06987E+6	
2.74933	5.03918E+6	2.74933	5.03918E+6	
2.75067	5.03344E+6	2.75067	5.03344E+6	
2.752	5.0369E+6	2.752	5.0369E+6	
2.75333	5.03107E+6	2.75333	5.03107E+6	
2.75467	5.02839E+6	2.75467	5.02839E+6	
2.756	5.03737E+6	2.756	5.03737E+6	
2.75733	5.04324E+6	2.75733	5.04324E+6	
2.75867	5.04442E+6	2.75867	5.04442E+6	
2.76	5.05332E+6	2.76	5.05332E+6	
2.76133	5.05922E+6	2.76133	5.05922E+6	
2.76267	5.06326E+6	2.76267	5.06326E+6	
2.764	5.06494E+6	2.764	5.06494E+6	
2.76533	5.07845E+6	2.76533	5.07845E+6	
2.76667	5.08367E+6	2.76667	5.08367E+6	
2.768	5.09029E+6	2.768	5.09029E+6	
2.76933	5.09277E+6	2.76933	5.09277E+6	
2.77067	5.09534E+6	2.77067	5.09534E+6	
2.772	5.10104E+6	2.772	5.10104E+6	
2.77333	5.09385E+6	2.77333	5.09385E+6	
2.77467	5.0976E+6	2.77467	5.0976E+6	
2.776	5.10385E+6	2.776	5.10385E+6	
2.77733	5.09745E+6	2.77733	5.09745E+6	
2.77867	5.10052E+6	2.77867	5.10052E+6	
2.78	5.10007E+6	2.78	5.10007E+6	
2.78133	5.10308E+6	2.78133	5.10308E+6	
2.78267	5.10058E+6	2.78267	5.10058E+6	
2.784	5.11029E+6	2.784	5.11029E+6	
2.78533	5.10389E+6	2.78533	5.10389E+6	
2.78667	5.10156E+6	2.78667	5.10156E+6	
2.788	5.09826E+6	2.788	5.09826E+6	
2.78933	5.10626E+6	2.78933	5.10626E+6	
2.79067	5.10646E+6	2.79067	5.10646E+6	
2.792	5.10028E+6	2.792	5.10028E+6	
2.79333	5.10043E+6	2.79333	5.10043E+6	
2.79467	5.09841E+6	2.79467	5.09841E+6	
2.796	5.10201E+6	2.796	5.10201E+6	
