Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1	88799.5	1	88799.5	
2.0102	81777.7	2.0102	81777.7	
3.02041	74964.6	3.02041	74964.6	
4.03061	71499.6	4.03061	71499.6	
5.04082	83278.8	5.04082	83278.8	
6.05102	75168.2	6.05102	75168.2	
7.06122	66950.7	7.06122	66950.7	
8.07143	76923.6	8.07143	76923.6	
9.08163	77391.7	9.08163	77391.7	
10.0918	72761.4	10.0918	72761.4	
11.102	69428.6	11.102	69428.6	
12.1122	58300.7	12.1122	58300.7	
13.1224	58921.5	13.1224	58921.5	
14.1327	74252.3	14.1327	74252.3	
15.1429	71937.1	15.1429	71937.1	
16.1531	66350.3	16.1531	66350.3	
17.1633	67983.6	17.1633	67983.6	
18.1735	66620	18.1735	66620	
19.1837	59776.3	19.1837	59776.3	
20.1939	51823.4	20.1939	51823.4	
21.2041	66777.7	21.2041	66777.7	
22.2143	53517.8	22.2143	53517.8	
23.2245	61399.5	23.2245	61399.5	
24.2347	48740	24.2347	48740	
25.2449	51736.9	25.2449	51736.9	
26.2551	53370.3	26.2551	53370.3	
27.2653	52108.4	27.2653	52108.4	
28.2755	58829.9	28.2755	58829.9	
29.2857	54861.1	29.2857	54861.1	
30.2959	46638.5	30.2959	46638.5	
31.3061	47605.3	31.3061	47605.3	
32.3163	58372	32.3163	58372	
33.3265	45488.6	33.3265	45488.6	
34.3367	49131.8	34.3367	49131.8	
35.3469	47813.9	35.3469	47813.9	
36.3571	47651.1	36.3571	47651.1	
37.3673	52001.5	37.3673	52001.5	
38.3776	46221.3	38.3776	46221.3	
39.3878	32717.2	39.3878	32717.2	
40.398	47503.5	40.398	47503.5	
41.4082	47218.6	41.4082	47218.6	
42.4184	41484.2	42.4184	41484.2	
43.4286	42003.2	43.4286	42003.2	
44.4388	51162	44.4388	51162	
45.449	36965.9	45.449	36965.9	
46.4592	55410.6	46.4592	55410.6	
47.4694	32132.1	47.4694	32132.1	
48.4796	37734.2	48.4796	37734.2	
49.4898	43794.2	49.4898	43794.2	
50.5	37179.6	50.5	37179.6	
51.5102	38818	51.5102	38818	
52.5204	48088.7	52.5204	48088.7	
53.5306	42634.1	53.5306	42634.1	
54.5408	42674.8	54.5408	42674.8	
55.551	41901.4	55.551	41901.4	
56.5612	37500.1	56.5612	37500.1	
57.5714	35704	57.5714	35704	
58.5816	33785.7	58.5816	33785.7	
59.5918	47127	59.5918	47127	
60.602	41199.3	60.602	41199.3	
61.6122	35419	61.6122	35419	
62.6224	32518.8	62.6224	32518.8	
63.6327	42751.2	63.6327	42751.2	
64.6429	31704.6	64.6429	31704.6	
65.6531	43656.9	65.6531	43656.9	
66.6633	49727.1	66.6633	49727.1	
67.6735	36920.1	67.6735	36920.1	
68.6837	28438	68.6837	28438	
69.6939	22266	69.6939	22266	
70.7041	43382.1	70.7041	43382.1	
71.7143	39057.1	71.7143	39057.1	
72.7245	36777.6	72.7245	36777.6	
73.7347	32691.8	73.7347	32691.8	
74.7449	20098.4	74.7449	20098.4	
75.7551	33699.2	75.7551	33699.2	
76.7653	36146.7	76.7653	36146.7	
77.7755	31999.8	77.7755	31999.8	
78.7857	18424.4	78.7857	18424.4	
79.7959	26855.6	79.7959	26855.6	
80.8061	34564.2	80.8061	34564.2	
81.8163	29664.3	81.8163	29664.3	
82.8265	25741.3	82.8265	25741.3	
83.8367	8451.52	83.8367	8451.52	
84.8469	24794.9	84.8469	24794.9	
85.8571	25385.1	85.8571	25385.1	
86.8673	21406.1	86.8673	21406.1	
87.8776	39087.6	87.8776	39087.6	
88.8878	24240.2	88.8878	24240.2	
89.898	33851.9	89.898	33851.9	
90.9082	23823	90.9082	23823	
91.9184	31760.6	91.9184	31760.6	
92.9286	21624.9	92.9286	21624.9	
93.9388	18536.4	93.9388	18536.4	
94.949	27659.5	94.949	27659.5	
95.9592	30600.5	95.9592	30600.5	
96.9694	30386.8	96.9694	30386.8	
97.9796	34543.9	97.9796	34543.9	
98.9898	24723.6	98.9898	24723.6	
100	20602.2	100	20602.2	
