Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1	88106.5	1	88106.5	
2.0102	80896.8	2.0102	80896.8	
3.02041	80638	3.02041	80638	
4.03061	70458.1	4.03061	70458.1	
5.04082	64813.6	5.04082	64813.6	
6.05102	62940.3	6.05102	62940.3	
7.06122	59489.5	7.06122	59489.5	
8.07143	60192	8.07143	60192	
9.08163	65737.9	9.08163	65737.9	
10.0918	57875	10.0918	57875	
11.102	40362.1	11.102	40362.1	
12.1122	53610.8	12.1122	53610.8	
13.1224	52366	13.1224	52366	
14.1327	34520.4	14.1327	34520.4	
15.1429	38562.8	15.1429	38562.8	
16.1531	51601.9	16.1531	51601.9	
17.1633	28025.5	17.1633	28025.5	
18.1735	32856.6	18.1735	32856.6	
19.1837	27902.3	19.1837	27902.3	
20.1939	19829.8	20.1939	19829.8	
21.2041	41163.2	21.2041	41163.2	
22.2143	19238.3	22.2143	19238.3	
23.2245	28432.2	23.2245	28432.2	
24.2347	23440.9	24.2347	23440.9	
25.2449	33731.7	25.2449	33731.7	
26.2551	21062.3	26.2551	21062.3	
27.2653	22233.1	27.2653	22233.1	
28.2755	23317.6	28.2755	23317.6	
29.2857	10315.5	29.2857	10315.5	
30.2959	26694.5	30.2959	26694.5	
31.3061	19891.4	31.3061	19891.4	
32.3163	28789.6	32.3163	28789.6	
33.3265	8454.48	33.3265	8454.48	
34.3367	14826.2	34.3367	14826.2	
35.3469	17660.7	35.3469	17660.7	
36.3571	24229.6	36.3571	24229.6	
37.3673	5854.05	37.3673	5854.05	
38.3776	26756.1	38.3776	26756.1	
39.3878	4313.51	39.3878	4313.51	
40.398	26435.7	40.398	26435.7	
41.4082	-998.27	41.4082	-998.27	
42.4184	32844.3	42.4184	32844.3	
43.4286	21370.4	43.4286	21370.4	
44.4388	10081.3	44.4388	10081.3	
45.449	7369.94	45.449	7369.94	
46.4592	3352.21	46.4592	3352.21	
47.4694	4473.73	47.4694	4473.73	
48.4796	6852.32	48.4796	6852.32	
49.4898	8787.24	49.4898	8787.24	
50.5	12065.5	50.5	12065.5	
51.5102	24007.8	51.5102	24007.8	
52.5204	8996.75	52.5204	8996.75	
53.5306	10007.3	53.5306	10007.3	
54.5408	3204.32	54.5408	3204.32	
55.551	9280.21	55.551	9280.21	
56.5612	12644.7	56.5612	12644.7	
57.5714	3426.16	57.5714	3426.16	
58.5816	1318.7	58.5816	1318.7	
59.5918	1454.27	59.5918	1454.27	
60.602	10253.8	60.602	10253.8	
61.6122	14419.5	61.6122	14419.5	
62.6224	21271.8	62.6224	21271.8	
63.6327	961.297	63.6327	961.297	
64.6429	-899.675	64.6429	-899.675	
65.6531	3500.11	65.6531	3500.11	
66.6633	12164.1	66.6633	12164.1	
67.6735	7000.21	67.6735	7000.21	
68.6837	6014.27	68.6837	6014.27	
69.6939	-2637.4	69.6939	-2637.4	
70.7041	8651.67	70.7041	8651.67	
71.7143	160.216	71.7143	160.216	
72.7245	4880.43	72.7245	4880.43	
73.7347	8947.45	73.7347	8947.45	
74.7449	-2551.13	74.7449	-2551.13	
75.7551	1441.95	75.7551	1441.95	
76.7653	14789.2	76.7653	14789.2	
77.7755	6753.73	77.7755	6753.73	
78.7857	-4831.13	78.7857	-4831.13	
79.7959	1343.35	79.7959	1343.35	
80.8061	-5225.51	80.8061	-5225.51	
81.8163	-1725.4	81.8163	-1725.4	
82.8265	7517.83	82.8265	7517.83	
83.8367	-1047.57	83.8367	-1047.57	
84.8469	3068.75	84.8469	3068.75	
85.8571	-5508.97	85.8571	-5508.97	
86.8673	3968.43	86.8673	3968.43	
87.8776	8861.18	87.8776	8861.18	
88.8878	2785.3	88.8878	2785.3	
89.898	2662.05	89.898	2662.05	
90.9082	16428.3	90.9082	16428.3	
91.9184	-9009.08	91.9184	-9009.08	
92.9286	-12583.1	92.9286	-12583.1	
93.9388	-5311.78	93.9388	-5311.78	
94.949	17796.3	94.949	17796.3	
95.9592	8195.67	95.9592	8195.67	
96.9694	-2834.59	96.9694	-2834.59	
97.9796	-15577.9	97.9796	-15577.9	
98.9898	13076.1	98.9898	13076.1	
100	11954.6	100	11954.6	
