Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.84	4.5733E+6	2.84	4.5733E+6	
2.8402	4.57358E+6	2.8402	4.57358E+6	
2.8404	4.56665E+6	2.8404	4.56665E+6	
2.8406	4.57242E+6	2.8406	4.57242E+6	
2.8408	4.57421E+6	2.8408	4.57421E+6	
2.841	4.5696E+6	2.841	4.5696E+6	
2.8412	4.57516E+6	2.8412	4.57516E+6	
2.8414	4.57584E+6	2.8414	4.57584E+6	
2.8416	4.57172E+6	2.8416	4.57172E+6	
2.8418	4.57325E+6	2.8418	4.57325E+6	
2.842	4.57309E+6	2.842	4.57309E+6	
2.8422	4.57434E+6	2.8422	4.57434E+6	
2.8424	4.56582E+6	2.8424	4.56582E+6	
2.8426	4.57506E+6	2.8426	4.57506E+6	
2.8428	4.57013E+6	2.8428	4.57013E+6	
2.843	4.57073E+6	2.843	4.57073E+6	
2.8432	4.57154E+6	2.8432	4.57154E+6	
2.8434	4.568E+6	2.8434	4.568E+6	
2.8436	4.56654E+6	2.8436	4.56654E+6	
2.8438	4.57582E+6	2.8438	4.57582E+6	
2.844	4.57405E+6	2.844	4.57405E+6	
2.8442	4.5744E+6	2.8442	4.5744E+6	
2.8444	4.57319E+6	2.8444	4.57319E+6	
2.8446	4.5779E+6	2.8446	4.5779E+6	
2.8448	4.57309E+6	2.8448	4.57309E+6	
2.845	4.57275E+6	2.845	4.57275E+6	
2.8452	4.57058E+6	2.8452	4.57058E+6	
2.8454	4.57602E+6	2.8454	4.57602E+6	
2.8456	4.57833E+6	2.8456	4.57833E+6	
2.8458	4.57188E+6	2.8458	4.57188E+6	
2.846	4.56584E+6	2.846	4.56584E+6	
2.8462	4.56943E+6	2.8462	4.56943E+6	
2.8464	4.57464E+6	2.8464	4.57464E+6	
2.8466	4.57087E+6	2.8466	4.57087E+6	
2.8468	4.5761E+6	2.8468	4.5761E+6	
2.847	4.57318E+6	2.847	4.57318E+6	
2.8472	4.57381E+6	2.8472	4.57381E+6	
2.8474	4.57243E+6	2.8474	4.57243E+6	
2.8476	4.57E+6	2.8476	4.57E+6	
2.8478	4.57024E+6	2.8478	4.57024E+6	
2.848	4.57096E+6	2.848	4.57096E+6	
2.8482	4.57641E+6	2.8482	4.57641E+6	
2.8484	4.57066E+6	2.8484	4.57066E+6	
2.8486	4.5737E+6	2.8486	4.5737E+6	
2.8488	4.56966E+6	2.8488	4.56966E+6	
2.849	4.56996E+6	2.849	4.56996E+6	
2.8492	4.57395E+6	2.8492	4.57395E+6	
2.8494	4.57538E+6	2.8494	4.57538E+6	
2.8496	4.57502E+6	2.8496	4.57502E+6	
2.8498	4.57322E+6	2.8498	4.57322E+6	
2.85	4.5657E+6	2.85	4.5657E+6	
2.8502	4.57385E+6	2.8502	4.57385E+6	
2.8504	4.5717E+6	2.8504	4.5717E+6	
2.8506	4.57208E+6	2.8506	4.57208E+6	
2.8508	4.57672E+6	2.8508	4.57672E+6	
2.851	4.57215E+6	2.851	4.57215E+6	
2.8512	4.5734E+6	2.8512	4.5734E+6	
2.8514	4.57061E+6	2.8514	4.57061E+6	
2.8516	4.57024E+6	2.8516	4.57024E+6	
2.8518	4.56926E+6	2.8518	4.56926E+6	
2.852	4.56957E+6	2.852	4.56957E+6	
2.8522	4.57654E+6	2.8522	4.57654E+6	
2.8524	4.56877E+6	2.8524	4.56877E+6	
2.8526	4.56985E+6	2.8526	4.56985E+6	
2.8528	4.57081E+6	2.8528	4.57081E+6	
2.853	4.57006E+6	2.853	4.57006E+6	
2.8532	4.56799E+6	2.8532	4.56799E+6	
2.8534	4.56865E+6	2.8534	4.56865E+6	
2.8536	4.56741E+6	2.8536	4.56741E+6	
2.8538	4.5648E+6	2.8538	4.5648E+6	
2.854	4.57394E+6	2.854	4.57394E+6	
2.8542	4.57199E+6	2.8542	4.57199E+6	
2.8544	4.57302E+6	2.8544	4.57302E+6	
2.8546	4.56604E+6	2.8546	4.56604E+6	
2.8548	4.57209E+6	2.8548	4.57209E+6	
2.855	4.56623E+6	2.855	4.56623E+6	
2.8552	4.57641E+6	2.8552	4.57641E+6	
2.8554	4.57117E+6	2.8554	4.57117E+6	
2.8556	4.56862E+6	2.8556	4.56862E+6	
2.8558	4.57152E+6	2.8558	4.57152E+6	
2.856	4.57287E+6	2.856	4.57287E+6	
2.8562	4.57031E+6	2.8562	4.57031E+6	
2.8564	4.57068E+6	2.8564	4.57068E+6	
2.8566	4.56451E+6	2.8566	4.56451E+6	
2.8568	4.5685E+6	2.8568	4.5685E+6	
2.857	4.56502E+6	2.857	4.56502E+6	
