Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	346775	0.02	346775	
0.0238	304374	0.0238	304374	
0.0276	292115	0.0276	292115	
0.0314	284603	0.0314	284603	
0.0352	274343	0.0352	274343	
0.039	268124	0.039	268124	
0.0428	258829	0.0428	258829	
0.0466	251669	0.0466	251669	
0.0504	245540	0.0504	245540	
0.0542	245314	0.0542	245314	
0.058	232336	0.058	232336	
0.0618	227660	0.0618	227660	
0.0656	221670	0.0656	221670	
0.0694	219276	0.0694	219276	
0.0732	209384	0.0732	209384	
0.077	208011	0.077	208011	
0.0808	204650	0.0808	204650	
0.0846	200996	0.0846	200996	
0.0884	193485	0.0884	193485	
0.0922	189938	0.0922	189938	
0.096	190794	0.096	190794	
0.0998	177350	0.0998	177350	
0.1036	178114	0.1036	178114	
0.1074	174170	0.1074	174170	
0.1112	168821	0.1112	168821	
0.115	163526	0.115	163526	
0.1188	168226	0.1188	168226	
0.1226	162392	0.1226	162392	
0.1264	153234	0.1264	153234	
0.1302	151923	0.1302	151923	
0.134	150463	0.134	150463	
0.1378	149901	0.1378	149901	
0.1416	146932	0.1416	146932	
0.1454	140338	0.1454	140338	
0.1492	137341	0.1492	137341	
0.153	138333	0.153	138333	
0.1568	129840	0.1568	129840	
0.1606	130256	0.1606	130256	
0.1644	127049	0.1644	127049	
0.1682	120650	0.1682	120650	
0.172	123900	0.172	123900	
0.1758	117694	0.1758	117694	
0.1796	116120	0.1796	116120	
0.1834	116252	0.1834	116252	
0.1872	112718	0.1872	112718	
0.191	111215	0.191	111215	
0.1948	114231	0.1948	114231	
0.1986	111944	0.1986	111944	
0.2024	113344	0.2024	113344	
0.2062	107935	0.2062	107935	
0.21	104284	0.21	104284	
0.2138	98519	0.2138	98519	
0.2176	102565	0.2176	102565	
0.2214	103207	0.2214	103207	
0.2252	94723	0.2252	94723	
0.229	91790.4	0.229	91790.4	
0.2328	96801.3	0.2328	96801.3	
0.2366	93599.6	0.2366	93599.6	
0.2404	90066.2	0.2404	90066.2	
0.2442	86148.6	0.2442	86148.6	
0.248	89424.8	0.248	89424.8	
0.2518	86055.9	0.2518	86055.9	
0.2556	86677.7	0.2556	86677.7	
0.2594	85067.1	0.2594	85067.1	
0.2632	82356.5	0.2632	82356.5	
0.267	82309.5	0.267	82309.5	
0.2708	86423	0.2708	86423	
0.2746	84361.7	0.2746	84361.7	
0.2784	73101.6	0.2784	73101.6	
0.2822	76271.9	0.2822	76271.9	
0.286	70668	0.286	70668	
0.2898	78816.5	0.2898	78816.5	
0.2936	71914.2	0.2936	71914.2	
0.2974	72195	0.2974	72195	
0.3012	65201.3	0.3012	65201.3	
0.305	70772.5	0.305	70772.5	
0.3088	60514.4	0.3088	60514.4	
0.3126	68896.7	0.3126	68896.7	
0.3164	67020.9	0.3164	67020.9	
0.3202	62192.9	0.3202	62192.9	
0.324	59743.7	0.324	59743.7	
0.3278	57059.3	0.3278	57059.3	
0.3354	63454.8	0.3354	63454.8	
0.3392	53439.6	0.3392	53439.6	
0.343	53618.6	0.343	53618.6	
0.3468	59213.3	0.3468	59213.3	
0.3506	55005.8	0.3506	55005.8	
0.3544	53329.9	0.3544	53329.9	
0.3582	58125.2	0.3582	58125.2	
0.362	52040.6	0.362	52040.6	
0.3658	54361.8	0.3658	54361.8	
0.3696	46326.9	0.3696	46326.9	
0.3734	56087.4	0.3734	56087.4	
0.3772	50942	0.3772	50942	
0.381	52893.6	0.381	52893.6	
0.3848	55819.6	0.3848	55819.6	
0.3886	45255.8	0.3886	45255.8	
0.3924	47161.6	0.3924	47161.6	
0.3962	52667.6	0.3962	52667.6	
0.4	48351.7	0.4	48351.7	
