Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	62447.9	0.02	62447.9	
0.0238	68997.8	0.0238	68997.8	
0.0276	51181.8	0.0276	51181.8	
0.0314	62962.7	0.0314	62962.7	
0.0352	58190.2	0.0352	58190.2	
0.039	61651.2	0.039	61651.2	
0.0428	60854.5	0.0428	60854.5	
0.0466	55935.5	0.0466	55935.5	
0.0504	54969.7	0.0504	54969.7	
0.0542	65833.7	0.0542	65833.7	
0.058	52940.5	0.058	52940.5	
0.0618	50877.5	0.0618	50877.5	
0.0656	57100.4	0.0656	57100.4	
0.0694	60456.2	0.0694	60456.2	
0.0732	60313.4	0.0732	60313.4	
0.077	62323.9	0.077	62323.9	
0.0808	57570.2	0.0808	57570.2	
0.0846	56232.4	0.0846	56232.4	
0.0884	64244.1	0.0884	64244.1	
0.0922	51745.5	0.0922	51745.5	
0.096	53154.7	0.096	53154.7	
0.0998	59246.2	0.0998	59246.2	
0.1036	50869.9	0.1036	50869.9	
0.1074	64691.3	0.1074	64691.3	
0.1112	51617.8	0.1112	51617.8	
0.115	56307.5	0.115	56307.5	
0.1188	59407.8	0.1188	59407.8	
0.1226	55897.9	0.1226	55897.9	
0.1264	59186.1	0.1264	59186.1	
0.1302	52474.5	0.1302	52474.5	
0.134	46939.2	0.134	46939.2	
0.1378	55026.1	0.1378	55026.1	
0.1416	57641.6	0.1416	57641.6	
0.1454	64477.1	0.1454	64477.1	
0.1492	54545.1	0.1492	54545.1	
0.153	46322.9	0.153	46322.9	
0.1568	61106.3	0.1568	61106.3	
0.1606	55334.3	0.1606	55334.3	
0.1644	51069.1	0.1644	51069.1	
0.1682	59685.8	0.1682	59685.8	
0.172	46138.8	0.172	46138.8	
0.1758	54327.2	0.1758	54327.2	
0.1796	46717.5	0.1796	46717.5	
0.1834	53940.1	0.1834	53940.1	
0.1872	59933.9	0.1872	59933.9	
0.191	59242.4	0.191	59242.4	
0.1948	59836.2	0.1948	59836.2	
0.1986	49051.1	0.1986	49051.1	
0.2024	48660.3	0.2024	48660.3	
0.2062	39322.1	0.2062	39322.1	
0.21	48085.4	0.21	48085.4	
0.2138	52767.7	0.2138	52767.7	
0.2176	50993.9	0.2176	50993.9	
0.2214	56912.6	0.2214	56912.6	
0.2252	54924.7	0.2252	54924.7	
0.229	45672.8	0.229	45672.8	
0.2328	60640.3	0.2328	60640.3	
0.2366	47788.5	0.2366	47788.5	
0.2404	43515.8	0.2404	43515.8	
0.2442	42768	0.2442	42768	
0.248	45484.9	0.248	45484.9	
0.2518	45184.3	0.2518	45184.3	
0.2556	60381	0.2556	60381	
0.2594	51332.2	0.2594	51332.2	
0.2632	57728	0.2632	57728	
0.267	46198.9	0.267	46198.9	
0.2708	54560.1	0.2708	54560.1	
0.2746	50490.4	0.2746	50490.4	
0.2784	37537.1	0.2784	37537.1	
0.2822	50869.9	0.2822	50869.9	
0.286	44053.2	0.286	44053.2	
0.2898	42298.3	0.2898	42298.3	
0.2936	44177.2	0.2936	44177.2	
0.2974	52846.6	0.2974	52846.6	
0.3012	49900.4	0.3012	49900.4	
0.305	49216.5	0.305	49216.5	
0.3088	49363	0.3088	49363	
0.3126	47446.5	0.3126	47446.5	
0.3164	44312.5	0.3164	44312.5	
0.3202	39547.6	0.3202	39547.6	
0.324	38893.7	0.324	38893.7	
0.3278	45545.1	0.3278	45545.1	
0.3316	51444.9	0.3316	51444.9	
0.3354	48123	0.3354	48123	
0.3392	44094.5	0.3392	44094.5	
0.343	44752.2	0.343	44752.2	
0.3468	47935.1	0.3468	47935.1	
0.3506	47972.6	0.3506	47972.6	
0.3544	38574.3	0.3544	38574.3	
0.3582	41242.3	0.3582	41242.3	
0.362	53481.6	0.362	53481.6	
0.3658	45304.6	0.3658	45304.6	
0.3696	32185.9	0.3696	32185.9	
0.3734	48716.7	0.3734	48716.7	
0.3772	35590.5	0.3772	35590.5	
0.381	41610.6	0.381	41610.6	
0.3848	49193.9	0.3848	49193.9	
0.3886	42644	0.3886	42644	
0.3924	46976.8	0.3924	46976.8	
0.3962	41730.9	0.3962	41730.9	
0.4	43489.5	0.4	43489.5	
