Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	4.9709E+6	2.7	4.9709E+6	
2.70133	4.98064E+6	2.70133	4.98064E+6	
2.70267	4.97244E+6	2.70267	4.97244E+6	
2.704	4.97617E+6	2.704	4.97617E+6	
2.70533	4.97278E+6	2.70533	4.97278E+6	
2.70667	4.97363E+6	2.70667	4.97363E+6	
2.708	4.9776E+6	2.708	4.9776E+6	
2.70933	4.97774E+6	2.70933	4.97774E+6	
2.71067	4.97885E+6	2.71067	4.97885E+6	
2.712	4.9781E+6	2.712	4.9781E+6	
2.71333	4.97405E+6	2.71333	4.97405E+6	
2.71467	4.97122E+6	2.71467	4.97122E+6	
2.716	4.97508E+6	2.716	4.97508E+6	
2.71733	4.97433E+6	2.71733	4.97433E+6	
2.71867	4.97402E+6	2.71867	4.97402E+6	
2.72	4.97733E+6	2.72	4.97733E+6	
2.72133	4.9697E+6	2.72133	4.9697E+6	
2.72267	4.97075E+6	2.72267	4.97075E+6	
2.724	4.97605E+6	2.724	4.97605E+6	
2.72533	4.97449E+6	2.72533	4.97449E+6	
2.72667	4.97916E+6	2.72667	4.97916E+6	
2.728	4.97241E+6	2.728	4.97241E+6	
2.72933	4.97498E+6	2.72933	4.97498E+6	
2.73067	4.97409E+6	2.73067	4.97409E+6	
2.732	4.97429E+6	2.732	4.97429E+6	
2.73333	4.96769E+6	2.73333	4.96769E+6	
2.73467	4.9781E+6	2.73467	4.9781E+6	
2.736	4.9752E+6	2.736	4.9752E+6	
2.73733	4.97262E+6	2.73733	4.97262E+6	
2.73867	4.96679E+6	2.73867	4.96679E+6	
2.74	4.97228E+6	2.74	4.97228E+6	
2.74133	4.9608E+6	2.74133	4.9608E+6	
2.74267	4.95771E+6	2.74267	4.95771E+6	
2.744	4.94357E+6	2.744	4.94357E+6	
2.74533	4.93229E+6	2.74533	4.93229E+6	
2.74667	4.93328E+6	2.74667	4.93328E+6	
2.748	4.9485E+6	2.748	4.9485E+6	
2.74933	4.93157E+6	2.74933	4.93157E+6	
2.75067	4.93804E+6	2.75067	4.93804E+6	
2.752	4.94559E+6	2.752	4.94559E+6	
2.75333	4.96043E+6	2.75333	4.96043E+6	
2.75467	4.96284E+6	2.75467	4.96284E+6	
2.756	4.96656E+6	2.756	4.96656E+6	
2.75733	4.9712E+6	2.75733	4.9712E+6	
2.75867	4.9735E+6	2.75867	4.9735E+6	
2.76	4.97008E+6	2.76	4.97008E+6	
2.76133	4.97385E+6	2.76133	4.97385E+6	
2.76267	4.97237E+6	2.76267	4.97237E+6	
2.764	4.97259E+6	2.764	4.97259E+6	
2.76533	4.97222E+6	2.76533	4.97222E+6	
2.76667	4.97389E+6	2.76667	4.97389E+6	
2.768	4.97791E+6	2.768	4.97791E+6	
2.76933	4.96981E+6	2.76933	4.96981E+6	
2.77067	4.97306E+6	2.77067	4.97306E+6	
2.772	4.97193E+6	2.772	4.97193E+6	
2.77333	4.97167E+6	2.77333	4.97167E+6	
2.77467	4.97555E+6	2.77467	4.97555E+6	
2.776	4.97632E+6	2.776	4.97632E+6	
2.77733	4.97321E+6	2.77733	4.97321E+6	
2.77867	4.96911E+6	2.77867	4.96911E+6	
