Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.03	136069	0.03	136069	
0.0398	88409	0.0398	88409	
0.0496	85071.5	0.0496	85071.5	
0.0594	69228	0.0594	69228	
0.0692	60181.1	0.0692	60181.1	
0.079	62210.9	0.079	62210.9	
0.0888	49818.9	0.0888	49818.9	
0.0986	44656.8	0.0986	44656.8	
0.1084	51864	0.1084	51864	
0.1182	51149.3	0.1182	51149.3	
0.128	19956.5	0.128	19956.5	
0.1378	34492.4	0.1378	34492.4	
0.1476	42839.9	0.1476	42839.9	
0.1574	41098.9	0.1574	41098.9	
0.1672	24464.7	0.1672	24464.7	
0.177	32515.7	0.177	32515.7	
0.1868	29087	0.1868	29087	
0.1966	47203.7	0.1966	47203.7	
0.2064	38841	0.2064	38841	
0.2162	23301.5	0.2162	23301.5	
0.226	13441.1	0.226	13441.1	
0.2358	32348.5	0.2358	32348.5	
0.2456	18451.2	0.2456	18451.2	
0.2554	39198.3	0.2554	39198.3	
0.2652	25924.4	0.2652	25924.4	
0.275	22237.2	0.275	22237.2	
0.2848	32272.4	0.2848	32272.4	
0.2946	32933.8	0.2946	32933.8	
0.3044	20427.8	0.3044	20427.8	
0.3142	3611.17	0.3142	3611.17	
0.324	19583.9	0.324	19583.9	
0.3338	18755.3	0.3338	18755.3	
0.3436	16809	0.3436	16809	
0.3534	7853.34	0.3534	7853.34	
0.3632	13578	0.3632	13578	
0.373	22761.8	0.373	22761.8	
0.3828	17820.2	0.3828	17820.2	
0.3926	18952.9	0.3926	18952.9	
0.4024	29391.1	0.4024	29391.1	
0.4122	14627.1	0.4122	14627.1	
0.422	15083.3	0.422	15083.3	
0.4318	24198.6	0.4318	24198.6	
0.4416	18489.2	0.4416	18489.2	
0.4514	4835.16	0.4514	4835.16	
0.4612	12642.9	0.4612	12642.9	
0.471	-5162.07	0.471	-5162.07	
0.4808	10924.7	0.4808	10924.7	
0.4906	20336.6	0.4906	20336.6	
0.5004	9898.4	0.5004	9898.4	
0.5102	17538.9	0.5102	17538.9	
0.52	1664.94	0.52	1664.94	
0.5298	9814.77	0.5298	9814.77	
0.5396	1642.13	0.5396	1642.13	
0.5494	20131.3	0.5494	20131.3	
0.5592	1786.58	0.5592	1786.58	
0.569	-1763.77	0.569	-1763.77	
0.5788	20435.4	0.5788	20435.4	
0.5886	18762.9	0.5886	18762.9	
0.5984	19698	0.5984	19698	
0.6082	7868.54	0.6082	7868.54	
0.618	10552.2	0.618	10552.2	
0.6278	10651	0.6278	10651	
0.6376	767.848	0.6376	767.848	
0.6474	1816.99	0.6474	1816.99	
0.6572	-714.631	0.6572	-714.631	
0.667	24251.8	0.667	24251.8	
0.6768	18854.1	0.6768	18854.1	
0.6866	20412.6	0.6866	20412.6	
0.6964	-2660.86	0.6964	-2660.86	
0.7062	20519	0.7062	20519	
0.716	-2562.03	0.716	-2562.03	
0.7258	-6317.64	0.7258	-6317.64	
0.7356	6370.86	0.7356	6370.86	
0.7454	-13380.3	0.7454	-13380.3	
0.7552	3557.95	0.7552	3557.95	
0.765	3375.49	0.765	3375.49	
0.7748	7914.16	0.7748	7914.16	
0.7846	-5230.49	0.7846	-5230.49	
0.7944	851.475	0.7944	851.475	
0.8042	10134.1	0.8042	10134.1	
0.814	5831.09	0.814	5831.09	
0.8238	7047.48	0.8238	7047.48	
0.8336	-14665.1	0.8336	-14665.1	
0.8434	8187.85	0.8434	8187.85	
0.8532	-9343.42	0.8532	-9343.42	
0.863	10346.9	0.863	10346.9	
0.8728	12604.9	0.8728	12604.9	
0.8826	17204.4	0.8826	17204.4	
0.8924	3786.02	0.8924	3786.02	
0.9022	5914.71	0.9022	5914.71	
0.912	8537.56	0.912	8537.56	
0.9218	19948.9	0.9218	19948.9	
0.9316	-1611.72	0.9316	-1611.72	
0.9414	-3725.2	0.9414	-3725.2	
0.9512	182.459	0.9512	182.459	
0.961	6332.85	0.961	6332.85	
0.9708	8020.59	0.9708	8020.59	
0.9806	-6074.36	0.9806	-6074.36	
0.9904	3367.89	0.9904	3367.89	
1.0002	16254.1	1.0002	16254.1	
1.01	5435.76	1.01	5435.76	
