Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	189194	0.02	189194	
0.0298	134411	0.0298	134411	
0.0396	119244	0.0396	119244	
0.0494	116260	0.0494	116260	
0.0592	92670.7	0.0592	92670.7	
0.069	89296.4	0.069	89296.4	
0.0788	78860.9	0.0788	78860.9	
0.0886	80130.4	0.0886	80130.4	
0.0984	71454.7	0.0984	71454.7	
0.1082	68036.6	0.1082	68036.6	
0.118	69639	0.118	69639	
0.1278	61939.9	0.1278	61939.9	
0.1376	55779.4	0.1376	55779.4	
0.1474	52337.4	0.1474	52337.4	
0.1572	54627.4	0.1572	54627.4	
0.167	60469	0.167	60469	
0.1768	51269.1	0.1768	51269.1	
0.1866	47751.4	0.1866	47751.4	
0.1964	44349.3	0.1964	44349.3	
0.2062	46386.2	0.2062	46386.2	
0.216	42728.9	0.216	42728.9	
0.2258	41927.7	0.2258	41927.7	
0.2356	40476.8	0.2356	40476.8	
0.2454	34069.1	0.2454	34069.1	
0.2552	35175.3	0.2552	35175.3	
0.265	30878.3	0.265	30878.3	
0.2748	31870.8	0.2748	31870.8	
0.2846	27767.1	0.2846	27767.1	
0.2944	24131.8	0.2944	24131.8	
0.3042	26963.9	0.3042	26963.9	
0.314	30607.2	0.314	30607.2	
0.3238	25118.4	0.3238	25118.4	
0.3336	23045.6	0.3336	23045.6	
0.3434	20534.4	0.3434	20534.4	
0.3532	19478	0.3532	19478	
0.363	24789.5	0.363	24789.5	
0.3728	17550.8	0.3728	17550.8	
0.3826	25929.5	0.3826	25929.5	
0.3924	18922	0.3924	18922	
0.4022	18758.6	0.4022	18758.6	
0.412	11280.6	0.412	11280.6	
0.4218	15240.8	0.4218	15240.8	
0.4316	15278.7	0.4316	15278.7	
0.4414	23490	0.4414	23490	
0.4512	18258.3	0.4512	18258.3	
0.461	12079.9	0.461	12079.9	
0.4708	10146.6	0.4708	10146.6	
0.4806	9891.49	0.4806	9891.49	
0.4904	17337.5	0.4904	17337.5	
0.5002	18310.1	0.5002	18310.1	
0.51	16032.1	0.51	16032.1	
0.5198	10312	0.5198	10312	
0.5296	10770.4	0.5296	10770.4	
0.5394	1247.65	0.5394	1247.65	
0.5492	6573.07	0.5492	6573.07	
0.559	15577.6	0.559	15577.6	
0.5688	1076.24	0.5688	1076.24	
0.5786	7828.69	0.5786	7828.69	
0.5884	4928.8	0.5884	4928.8	
0.5982	5128.11	0.5982	5128.11	
0.608	10660.8	0.608	10660.8	
0.6178	7754.94	0.6178	7754.94	
0.6276	5464.93	0.6276	5464.93	
0.6374	5028.46	0.6374	5028.46	
0.6472	-155.458	0.6472	-155.458	
0.657	7581.55	0.657	7581.55	
0.6668	811.17	0.6668	811.17	
0.6766	9492.88	0.6766	9492.88	
0.6864	10977.7	0.6864	10977.7	
0.6962	2983.59	0.6962	2983.59	
0.706	-631.796	0.706	-631.796	
0.7158	5885.47	0.7158	5885.47	
0.7256	2050.84	0.7256	2050.84	
0.7354	4849.08	0.7354	4849.08	
0.7452	1608.39	0.7452	1608.39	
0.755	6256.17	0.755	6256.17	
0.7648	306.929	0.7648	306.929	
0.7746	2381.69	0.7746	2381.69	
0.7844	-548.088	0.7844	-548.088	
0.7942	532.143	0.7942	532.143	
0.804	-605.886	0.804	-605.886	
0.8138	-1096.18	0.8138	-1096.18	
0.8236	5026.46	0.8236	5026.46	
0.8334	-3732.98	0.8334	-3732.98	
0.8432	-3744.93	0.8432	-3744.93	
0.853	1068.27	0.853	1068.27	
0.8628	-3575.52	0.8628	-3575.52	
0.8726	-4705.58	0.8726	-4705.58	
0.8824	2317.91	0.8824	2317.91	
0.8922	-9917.4	0.8922	-9917.4	
0.902	-4876.98	0.902	-4876.98	
0.9118	-6804.26	0.9118	-6804.26	
0.9216	9498.86	0.9216	9498.86	
0.9314	-9602.5	0.9314	-9602.5	
0.9412	-2371.73	0.9412	-2371.73	
0.951	2082.73	0.951	2082.73	
0.9608	-2042.87	0.9608	-2042.87	
0.9706	2096.68	0.9706	2096.68	
0.9804	5706.09	0.9804	5706.09	
0.9902	1805.7	0.9902	1805.7	
1	1183.87	1	1183.87	
