Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	194151	0.02	194151	
0.0298	147855	0.0298	147855	
0.0396	142819	0.0396	142819	
0.0494	133351	0.0494	133351	
0.0592	123015	0.0592	123015	
0.069	126501	0.069	126501	
0.0788	116715	0.0788	116715	
0.0886	101246	0.0886	101246	
0.0984	107184	0.0984	107184	
0.1082	100807	0.1082	100807	
0.118	93075	0.118	93075	
0.1278	92488.1	0.1278	92488.1	
0.1376	85603	0.1376	85603	
0.1474	87658.3	0.1474	87658.3	
0.1572	85020.1	0.1572	85020.1	
0.167	86454.4	0.167	86454.4	
0.1768	73836.2	0.1768	73836.2	
0.1866	78445.6	0.1866	78445.6	
0.1964	74032.5	0.1964	74032.5	
0.2062	72087.4	0.2062	72087.4	
0.216	72982.8	0.216	72982.8	
0.2258	57009.3	0.2258	57009.3	
0.2356	70128.3	0.2356	70128.3	
0.2454	58217.2	0.2454	58217.2	
0.2552	58740	0.2552	58740	
0.265	53748	0.265	53748	
0.2748	62319.8	0.2748	62319.8	
0.2846	50807.3	0.2846	50807.3	
0.2944	53746	0.2944	53746	
0.3042	54982	0.3042	54982	
0.314	50282.5	0.314	50282.5	
0.3238	47716.4	0.3238	47716.4	
0.3336	50216.4	0.3336	50216.4	
0.3434	40282.5	0.3434	40282.5	
0.3532	41288.1	0.3532	41288.1	
0.363	47708.4	0.363	47708.4	
0.3728	41875	0.3728	41875	
0.3826	43515.7	0.3826	43515.7	
0.3924	40883.4	0.3924	40883.4	
0.4022	39172.7	0.4022	39172.7	
0.412	26097.8	0.412	26097.8	
0.4218	33541.7	0.4218	33541.7	
0.4316	44361	0.4316	44361	
0.4414	31843	0.4414	31843	
0.4512	34166.7	0.4512	34166.7	
0.461	32117.4	0.461	32117.4	
0.4708	30983.6	0.4708	30983.6	
0.4806	30699.1	0.4806	30699.1	
0.4904	27888.6	0.4904	27888.6	
0.5002	26590.6	0.5002	26590.6	
0.51	30182.3	0.51	30182.3	
0.5198	25294.5	0.5198	25294.5	
0.5296	24441.1	0.5296	24441.1	
0.5394	26608.6	0.5394	26608.6	
0.5492	23016.8	0.5492	23016.8	
0.559	23724	0.559	23724	
0.5688	20949.5	0.5688	20949.5	
0.5786	23147.1	0.5786	23147.1	
0.5884	24427.1	0.5884	24427.1	
0.5982	22371.8	0.5982	22371.8	
0.608	15699.1	0.608	15699.1	
0.6178	21175.9	0.6178	21175.9	
0.6276	20570.9	0.6276	20570.9	
0.6374	18681.9	0.6374	18681.9	
0.6472	14637.4	0.6472	14637.4	
0.657	14970	0.657	14970	
0.6668	13864.2	0.6668	13864.2	
0.6766	21035.7	0.6766	21035.7	
0.6864	13455.5	0.6864	13455.5	
0.6962	15158.3	0.6962	15158.3	
0.706	14553.3	0.706	14553.3	
0.7158	8986.39	0.7158	8986.39	
0.7256	10498.8	0.7256	10498.8	
0.7354	18609.8	0.7354	18609.8	
0.7452	14208.7	0.7452	14208.7	
0.755	14717.6	0.755	14717.6	
0.7648	8343.36	0.7648	8343.36	
0.7746	9773.65	0.7746	9773.65	
0.7844	4467.15	0.7844	4467.15	
0.7942	15038.1	0.7942	15038.1	
0.804	17145.4	0.804	17145.4	
0.8138	12980.8	0.8138	12980.8	
0.8236	10635	0.8236	10635	
0.8334	13870.2	0.8334	13870.2	
0.8432	5328.53	0.8432	5328.53	
0.853	10951.5	0.853	10951.5	
0.8628	5673.08	0.8628	5673.08	
0.8726	2890.63	0.8726	2890.63	
0.8824	-414.664	0.8824	-414.664	
0.8922	10867.4	0.8922	10867.4	
0.902	8711.95	0.902	8711.95	
0.9118	935.498	0.9118	935.498	
0.9216	14943.9	0.9216	14943.9	
0.9314	-228.366	0.9314	-228.366	
0.9412	6889.03	0.9412	6889.03	
0.951	629.007	0.951	629.007	
0.9608	6322.12	0.9608	6322.12	
0.9706	12025.3	0.9706	12025.3	
0.9804	3826.12	0.9804	3826.12	
0.9902	3165.07	0.9902	3165.07	
1	771.235	1	771.235	
