Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.01	64757.1	0.01	64757.1	
0.0599	63217.1	0.0599	63217.1	
0.1098	62139.1	0.1098	62139.1	
0.1597	81158.1	0.1597	81158.1	
0.2096	58731.8	0.2096	58731.8	
0.2595	69916.1	0.2595	69916.1	
0.3094	65738.8	0.3094	65738.8	
0.3593	63371.1	0.3593	63371.1	
0.4092	43986.3	0.4092	43986.3	
0.4591	37768.5	0.4591	37768.5	
0.509	64083.3	0.509	64083.3	
0.5589	55266.8	0.5589	55266.8	
0.6088	63255.6	0.6088	63255.6	
0.6587	34284.3	0.6587	34284.3	
0.7086	21733.3	0.7086	21733.3	
0.7585	36613.5	0.7585	36613.5	
0.8084	31165.8	0.8084	31165.8	
0.8583	39655	0.8583	39655	
0.9082	36421	0.9082	36421	
0.9581	51397.6	0.9581	51397.6	
1.008	32417	1.008	32417	
1.0579	35901.3	1.0579	35901.3	
1.1078	45333.8	1.1078	45333.8	
1.1577	25487	1.1577	25487	
1.2076	32340	1.2076	32340	
1.2575	47220.3	1.2575	47220.3	
1.3074	21348.3	1.3074	21348.3	
1.3573	7507.51	1.3573	7507.51	
1.4072	45507	1.4072	45507	
1.4571	29568	1.4571	29568	
1.507	29144.5	1.507	29144.5	
1.5569	37941.8	1.5569	37941.8	
1.6068	19134.5	1.6068	19134.5	
1.6567	42831.3	1.6567	42831.3	
1.7066	22541.8	1.7066	22541.8	
1.7565	25121.3	1.7565	25121.3	
1.8064	6102.26	1.8064	6102.26	
1.8563	37576	1.8563	37576	
1.9062	29337	1.9062	29337	
1.9561	36286.3	1.9561	36286.3	
2.006	36132.3	2.006	36132.3	
2.0559	40579	2.0559	40579	
2.1058	30684.5	2.1058	30684.5	
2.1557	30934.8	2.1557	30934.8	
2.2056	26334	2.2056	26334	
2.2555	21502.3	2.2555	21502.3	
2.3054	20693.8	2.3054	20693.8	
2.3553	23427.3	2.3553	23427.3	
2.4052	25679.5	2.4052	25679.5	
2.4551	24505.3	2.4551	24505.3	
2.505	5120.51	2.505	5120.51	
2.5549	15785	2.5549	15785	
2.6048	7334.26	2.6048	7334.26	
2.6547	29645	2.6547	29645	
2.7046	24543.8	2.7046	24543.8	
2.7545	11126.5	2.7545	11126.5	
2.8044	10491.3	2.8044	10491.3	
2.8543	13205.5	2.8543	13205.5	
2.9042	17228.8	2.9042	17228.8	
2.9541	30819.3	2.9541	30819.3	
3.004	693.001	3.004	693.001	
3.0539	11935	3.0539	11935	
3.1038	20385.8	3.1038	20385.8	
3.1537	19115.3	3.1537	19115.3	
3.2036	3869.25	3.2036	3869.25	
3.2535	8604.76	3.2535	8604.76	
3.3034	7180.26	3.3034	7180.26	
3.3533	2618	3.3533	2618	
3.4032	8778.01	3.4032	8778.01	
3.4531	21001.8	3.4531	21001.8	
3.503	-6217.76	3.503	-6217.76	
3.5529	2926	3.5529	2926	
3.6028	15380.8	3.6028	15380.8	
3.6527	22522.5	3.6527	22522.5	
3.7026	11145.8	3.7026	11145.8	
3.7525	18788	3.7525	18788	
3.8024	8450.76	3.8024	8450.76	
3.8523	18037.3	3.8523	18037.3	
3.9022	-23908.5	3.9022	-23908.5	
3.9521	8470.01	3.9521	8470.01	
4.002	29587.3	4.002	29587.3	
4.0519	20693.8	4.0519	20693.8	
4.1018	15611.8	4.1018	15611.8	
4.1517	6448.76	4.1517	6448.76	
4.2016	1809.5	4.2016	1809.5	
4.2515	3927	4.2515	3927	
4.3014	7815.51	4.3014	7815.51	
4.3513	2887.5	4.3513	2887.5	
4.4012	2598.75	4.4012	2598.75	
4.4511	6891.51	4.4511	6891.51	
4.501	4466	4.501	4466	
4.5509	9278.51	4.5509	9278.51	
4.6008	10260.3	4.6008	10260.3	
4.6507	22811.3	4.6507	22811.3	
4.7006	24659.3	4.7006	24659.3	
4.7505	4985.75	4.7505	4985.75	
4.8004	9663.51	4.8004	9663.51	
4.8503	29279.3	4.8503	29279.3	
4.9002	12647.3	4.9002	12647.3	
4.9501	31358.3	4.9501	31358.3	
5	-1886.5	5	-1886.5	
