Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
0.02	204734	0.02	204734	
0.0298	143952	0.0298	143952	
0.0396	143146	0.0396	143146	
0.0494	127679	0.0494	127679	
0.0592	127128	0.0592	127128	
0.069	95052.7	0.069	95052.7	
0.0788	105388	0.0788	105388	
0.0886	92794.1	0.0886	92794.1	
0.0984	90711.1	0.0984	90711.1	
0.1082	85579.4	0.1082	85579.4	
0.118	68268.8	0.118	68268.8	
0.1278	57901.5	0.1278	57901.5	
0.1376	70774.8	0.1376	70774.8	
0.1474	68675.8	0.1474	68675.8	
0.1572	51987.7	0.1572	51987.7	
0.167	55036.4	0.167	55036.4	
0.1768	49170.4	0.1768	49170.4	
0.1866	33296.4	0.1866	33296.4	
0.1964	41229.4	0.1964	41229.4	
0.2062	36624.4	0.2062	36624.4	
0.216	45307.7	0.216	45307.7	
0.2258	33352.2	0.2258	33352.2	
0.2356	29992.3	0.2356	29992.3	
0.2454	44884.7	0.2454	44884.7	
0.2552	39649.2	0.2552	39649.2	
0.265	29313.9	0.265	29313.9	
0.2748	25179.8	0.2748	25179.8	
0.2846	25403.3	0.2846	25403.3	
0.2944	27047.3	0.2944	27047.3	
0.3042	20886.1	0.3042	20886.1	
0.314	26241.3	0.314	26241.3	
0.3238	29290	0.3238	29290	
0.3336	31149.5	0.3336	31149.5	
0.3434	23791.1	0.3434	23791.1	
0.3532	30934	0.3532	30934	
0.363	21317	0.363	21317	
0.3728	22809.5	0.3728	22809.5	
0.3826	25538.9	0.3826	25538.9	
0.3924	29082.5	0.3924	29082.5	
0.4022	6233.1	0.4022	6233.1	
0.412	6703.97	0.412	6703.97	
0.4218	13168.5	0.4218	13168.5	
0.4316	10343.3	0.4316	10343.3	
0.4414	27191	0.4414	27191	
0.4512	12713.6	0.4512	12713.6	
0.461	21237.2	0.461	21237.2	
0.4708	14884.4	0.4708	14884.4	
0.4806	27326.7	0.4806	27326.7	
0.4904	973.672	0.4904	973.672	
0.5002	13543.6	0.5002	13543.6	
0.51	23032.9	0.51	23032.9	
0.5198	25371.3	0.5198	25371.3	
0.5296	-3751.03	0.5296	-3751.03	
0.5394	9473.35	0.5394	9473.35	
0.5492	9273.82	0.5492	9273.82	
0.559	19385.6	0.559	19385.6	
0.5688	10231.5	0.5688	10231.5	
0.5786	15475	0.5786	15475	
0.5884	18835	0.5884	18835	
0.5982	10598.7	0.5982	10598.7	
0.608	9601.04	0.608	9601.04	
0.6178	-8755.06	0.6178	-8755.06	
0.6276	9313.73	0.6276	9313.73	
0.6374	20135.9	0.6374	20135.9	
0.6472	726.263	0.6472	726.263	
0.657	-5506.83	0.657	-5506.83	
0.6668	15650.6	0.6668	15650.6	
0.6766	-2649.66	0.6766	-2649.66	
0.6864	7310.52	0.6864	7310.52	
0.6962	13400	0.6962	13400	
0.706	-12577.9	0.706	-12577.9	
0.7158	9553.16	0.7158	9553.16	
0.7256	6935.42	0.7256	6935.42	
0.7354	6983.3	0.7354	6983.3	
0.7452	877.901	0.7452	877.901	
0.755	-1715.9	0.755	-1715.9	
0.7648	-11524.4	0.7648	-11524.4	
0.7746	1205.12	0.7746	1205.12	
0.7844	4852.4	0.7844	4852.4	
0.7942	-1516.37	0.7942	-1516.37	
0.804	-4740.66	0.804	-4740.66	
0.8138	13583.5	0.8138	13583.5	
0.8236	-11843.7	0.8236	-11843.7	
0.8334	-255.389	0.8334	-255.389	
0.8432	-638.473	0.8432	-638.473	
0.853	-3080.63	0.853	-3080.63	
0.8628	845.977	0.8628	845.977	
0.8726	-4205.94	0.8726	-4205.94	
0.8824	790.111	0.8824	790.111	
0.8922	8276.21	0.8922	8276.21	
0.902	12242.7	0.902	12242.7	
0.9118	7079.07	0.9118	7079.07	
0.9216	12530	0.9216	12530	
0.9314	5139.71	0.9314	5139.71	
0.9412	-6528.39	0.9412	-6528.39	
0.951	582.607	0.951	582.607	
0.9608	-8068.71	0.9608	-8068.71	
0.9706	-6783.78	0.9706	-6783.78	
0.9804	-9896.34	0.9804	-9896.34	
0.9902	6935.42	0.9902	6935.42	
1	1883.5	1	1883.5	
