Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	5.69034E+6	2.7	5.69034E+6	
2.70117	5.68992E+6	2.70117	5.68992E+6	
2.70233	5.68976E+6	2.70233	5.68976E+6	
2.7035	5.68942E+6	2.7035	5.68942E+6	
2.70467	5.69118E+6	2.70467	5.69118E+6	
2.70583	5.68971E+6	2.70583	5.68971E+6	
2.707	5.6907E+6	2.707	5.6907E+6	
2.70817	5.69025E+6	2.70817	5.69025E+6	
2.70933	5.6916E+6	2.70933	5.6916E+6	
2.7105	5.68902E+6	2.7105	5.68902E+6	
2.71167	5.69014E+6	2.71167	5.69014E+6	
2.71283	5.68977E+6	2.71283	5.68977E+6	
2.714	5.69034E+6	2.714	5.69034E+6	
2.71517	5.69022E+6	2.71517	5.69022E+6	
2.71633	5.68989E+6	2.71633	5.68989E+6	
2.7175	5.69009E+6	2.7175	5.69009E+6	
2.71867	5.69054E+6	2.71867	5.69054E+6	
2.71983	5.69073E+6	2.71983	5.69073E+6	
2.721	5.69078E+6	2.721	5.69078E+6	
2.72217	5.69124E+6	2.72217	5.69124E+6	
2.72333	5.69042E+6	2.72333	5.69042E+6	
2.7245	5.69072E+6	2.7245	5.69072E+6	
2.72567	5.69046E+6	2.72567	5.69046E+6	
2.72683	5.69017E+6	2.72683	5.69017E+6	
2.728	5.69087E+6	2.728	5.69087E+6	
2.72917	5.68999E+6	2.72917	5.68999E+6	
2.73033	5.69089E+6	2.73033	5.69089E+6	
2.7315	5.68979E+6	2.7315	5.68979E+6	
2.73267	5.68975E+6	2.73267	5.68975E+6	
2.73383	5.6902E+6	2.73383	5.6902E+6	
2.735	5.68943E+6	2.735	5.68943E+6	
2.73617	5.68965E+6	2.73617	5.68965E+6	
2.73733	5.69021E+6	2.73733	5.69021E+6	
2.7385	5.69069E+6	2.7385	5.69069E+6	
2.73967	5.69024E+6	2.73967	5.69024E+6	
2.74083	5.68983E+6	2.74083	5.68983E+6	
2.742	5.6902E+6	2.742	5.6902E+6	
2.74317	5.68952E+6	2.74317	5.68952E+6	
2.74433	5.68849E+6	2.74433	5.68849E+6	
2.7455	5.69021E+6	2.7455	5.69021E+6	
2.74667	5.6905E+6	2.74667	5.6905E+6	
2.74783	5.69025E+6	2.74783	5.69025E+6	
2.749	5.69116E+6	2.749	5.69116E+6	
2.75017	5.69117E+6	2.75017	5.69117E+6	
2.75133	5.69003E+6	2.75133	5.69003E+6	
2.7525	5.69116E+6	2.7525	5.69116E+6	
2.75367	5.69067E+6	2.75367	5.69067E+6	
2.75483	5.68889E+6	2.75483	5.68889E+6	
2.756	5.69048E+6	2.756	5.69048E+6	
2.75717	5.69002E+6	2.75717	5.69002E+6	
2.75833	5.68995E+6	2.75833	5.68995E+6	
2.7595	5.69053E+6	2.7595	5.69053E+6	
2.76067	5.68987E+6	2.76067	5.68987E+6	
2.76183	5.69013E+6	2.76183	5.69013E+6	
2.763	5.6905E+6	2.763	5.6905E+6	
2.76417	5.69068E+6	2.76417	5.69068E+6	
2.76533	5.69052E+6	2.76533	5.69052E+6	
2.7665	5.68952E+6	2.7665	5.68952E+6	
2.76767	5.6902E+6	2.76767	5.6902E+6	
2.76883	5.69032E+6	2.76883	5.69032E+6	
2.77	5.68985E+6	2.77	5.68985E+6	
2.77117	5.68894E+6	2.77117	5.68894E+6	
2.77233	5.69007E+6	2.77233	5.69007E+6	
2.77467	5.69104E+6	2.77467	5.69104E+6	
2.77583	5.68887E+6	2.77583	5.68887E+6	
2.777	5.69036E+6	2.777	5.69036E+6	
2.77817	5.68968E+6	2.77817	5.68968E+6	
2.77933	5.68911E+6	2.77933	5.68911E+6	
2.7805	5.6898E+6	2.7805	5.6898E+6	
2.78167	5.69032E+6	2.78167	5.69032E+6	
