Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	5.9365E+6	2.7	5.9365E+6	
2.70117	5.93503E+6	2.70117	5.93503E+6	
2.70233	5.93E+6	2.70233	5.93E+6	
2.7035	5.93669E+6	2.7035	5.93669E+6	
2.70467	5.93229E+6	2.70467	5.93229E+6	
2.70583	5.93307E+6	2.70583	5.93307E+6	
2.707	5.93453E+6	2.707	5.93453E+6	
2.70817	5.9307E+6	2.70817	5.9307E+6	
2.70933	5.93584E+6	2.70933	5.93584E+6	
2.7105	5.93687E+6	2.7105	5.93687E+6	
2.71167	5.93232E+6	2.71167	5.93232E+6	
2.71283	5.93256E+6	2.71283	5.93256E+6	
2.714	5.9299E+6	2.714	5.9299E+6	
2.71517	5.93682E+6	2.71517	5.93682E+6	
2.71633	5.93371E+6	2.71633	5.93371E+6	
2.7175	5.93618E+6	2.7175	5.93618E+6	
2.71867	5.93841E+6	2.71867	5.93841E+6	
2.71983	5.93266E+6	2.71983	5.93266E+6	
2.721	5.93126E+6	2.721	5.93126E+6	
2.72217	5.93477E+6	2.72217	5.93477E+6	
2.72333	5.93077E+6	2.72333	5.93077E+6	
2.7245	5.93323E+6	2.7245	5.93323E+6	
2.72567	5.93513E+6	2.72567	5.93513E+6	
2.72683	5.92998E+6	2.72683	5.92998E+6	
2.728	5.93964E+6	2.728	5.93964E+6	
2.72917	5.93403E+6	2.72917	5.93403E+6	
2.73033	5.93044E+6	2.73033	5.93044E+6	
2.7315	5.92968E+6	2.7315	5.92968E+6	
2.73267	5.92765E+6	2.73267	5.92765E+6	
2.73383	5.92738E+6	2.73383	5.92738E+6	
2.735	5.92665E+6	2.735	5.92665E+6	
2.73617	5.92888E+6	2.73617	5.92888E+6	
2.73733	5.92453E+6	2.73733	5.92453E+6	
2.7385	5.92592E+6	2.7385	5.92592E+6	
2.73967	5.92026E+6	2.73967	5.92026E+6	
2.74083	5.92295E+6	2.74083	5.92295E+6	
2.742	5.91864E+6	2.742	5.91864E+6	
2.74317	5.91881E+6	2.74317	5.91881E+6	
2.74433	5.90883E+6	2.74433	5.90883E+6	
2.7455	5.90049E+6	2.7455	5.90049E+6	
2.74667	5.90027E+6	2.74667	5.90027E+6	
2.74783	5.90353E+6	2.74783	5.90353E+6	
2.749	5.88479E+6	2.749	5.88479E+6	
2.75017	5.88189E+6	2.75017	5.88189E+6	
2.75133	5.87242E+6	2.75133	5.87242E+6	
2.7525	5.87693E+6	2.7525	5.87693E+6	
2.75367	5.8803E+6	2.75367	5.8803E+6	
2.75483	5.87971E+6	2.75483	5.87971E+6	
2.756	5.88931E+6	2.756	5.88931E+6	
2.75717	5.8967E+6	2.75717	5.8967E+6	
2.75833	5.89741E+6	2.75833	5.89741E+6	
2.7595	5.90877E+6	2.7595	5.90877E+6	
2.76067	5.90877E+6	2.76067	5.90877E+6	
2.76183	5.91545E+6	2.76183	5.91545E+6	
2.763	5.91739E+6	2.763	5.91739E+6	
2.76417	5.92114E+6	2.76417	5.92114E+6	
2.76533	5.92294E+6	2.76533	5.92294E+6	
2.7665	5.92321E+6	2.7665	5.92321E+6	
2.76767	5.92374E+6	2.76767	5.92374E+6	
2.76883	5.92971E+6	2.76883	5.92971E+6	
2.77	5.92734E+6	2.77	5.92734E+6	
2.77117	5.92896E+6	2.77117	5.92896E+6	
2.77233	5.92064E+6	2.77233	5.92064E+6	
2.7735	5.92751E+6	2.7735	5.92751E+6	
2.77467	5.92081E+6	2.77467	5.92081E+6	
2.77583	5.93061E+6	2.77583	5.93061E+6	
2.777	5.92291E+6	2.777	5.92291E+6	
2.77817	5.92339E+6	2.77817	5.92339E+6	
2.77933	5.9232E+6	2.77933	5.9232E+6	
2.7805	5.92322E+6	2.7805	5.92322E+6	
2.78167	5.91946E+6	2.78167	5.91946E+6	
2.78283	5.91708E+6	2.78283	5.91708E+6	
2.784	5.91067E+6	2.784	5.91067E+6	
2.78517	5.91227E+6	2.78517	5.91227E+6	
2.78633	5.9079E+6	2.78633	5.9079E+6	
2.7875	5.90178E+6	2.7875	5.90178E+6	
2.78867	5.8969E+6	2.78867	5.8969E+6	
2.78983	5.88576E+6	2.78983	5.88576E+6	
2.791	5.88324E+6	2.791	5.88324E+6	
2.79217	5.87635E+6	2.79217	5.87635E+6	
2.79333	5.87888E+6	2.79333	5.87888E+6	
2.7945	5.8794E+6	2.7945	5.8794E+6	
2.79567	5.88286E+6	2.79567	5.88286E+6	
2.79683	5.88587E+6	2.79683	5.88587E+6	
2.798	5.88906E+6	2.798	5.88906E+6	
2.79917	5.89655E+6	2.79917	5.89655E+6	
