Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	5.88309E+6	2.7	5.88309E+6	
2.70117	5.88397E+6	2.70117	5.88397E+6	
2.70233	5.8864E+6	2.70233	5.8864E+6	
2.7035	5.88295E+6	2.7035	5.88295E+6	
2.70467	5.88024E+6	2.70467	5.88024E+6	
2.70583	5.88228E+6	2.70583	5.88228E+6	
2.707	5.88208E+6	2.707	5.88208E+6	
2.70817	5.88472E+6	2.70817	5.88472E+6	
2.70933	5.88724E+6	2.70933	5.88724E+6	
2.7105	5.88394E+6	2.7105	5.88394E+6	
2.71167	5.88466E+6	2.71167	5.88466E+6	
2.71283	5.88214E+6	2.71283	5.88214E+6	
2.714	5.88309E+6	2.714	5.88309E+6	
2.71517	5.88765E+6	2.71517	5.88765E+6	
2.71633	5.88562E+6	2.71633	5.88562E+6	
2.7175	5.88225E+6	2.7175	5.88225E+6	
2.71867	5.88729E+6	2.71867	5.88729E+6	
2.71983	5.88496E+6	2.71983	5.88496E+6	
2.721	5.88598E+6	2.721	5.88598E+6	
2.72217	5.88195E+6	2.72217	5.88195E+6	
2.72333	5.88171E+6	2.72333	5.88171E+6	
2.7245	5.88388E+6	2.7245	5.88388E+6	
2.72567	5.88224E+6	2.72567	5.88224E+6	
2.72683	5.88409E+6	2.72683	5.88409E+6	
2.728	5.88726E+6	2.728	5.88726E+6	
2.72917	5.88369E+6	2.72917	5.88369E+6	
2.73033	5.88593E+6	2.73033	5.88593E+6	
2.7315	5.88421E+6	2.7315	5.88421E+6	
2.73267	5.88854E+6	2.73267	5.88854E+6	
2.73383	5.88348E+6	2.73383	5.88348E+6	
2.735	5.87842E+6	2.735	5.87842E+6	
2.73617	5.8828E+6	2.73617	5.8828E+6	
2.73733	5.88411E+6	2.73733	5.88411E+6	
2.7385	5.88603E+6	2.7385	5.88603E+6	
2.73967	5.88241E+6	2.73967	5.88241E+6	
2.74083	5.8857E+6	2.74083	5.8857E+6	
2.742	5.88129E+6	2.742	5.88129E+6	
2.74317	5.87852E+6	2.74317	5.87852E+6	
2.74433	5.88317E+6	2.74433	5.88317E+6	
2.7455	5.8808E+6	2.7455	5.8808E+6	
2.74667	5.88514E+6	2.74667	5.88514E+6	
2.74783	5.87777E+6	2.74783	5.87777E+6	
2.749	5.88385E+6	2.749	5.88385E+6	
2.75017	5.88E+6	2.75017	5.88E+6	
2.75133	5.8797E+6	2.75133	5.8797E+6	
2.7525	5.87571E+6	2.7525	5.87571E+6	
2.75367	5.8756E+6	2.75367	5.8756E+6	
2.75483	5.87789E+6	2.75483	5.87789E+6	
2.756	5.87976E+6	2.756	5.87976E+6	
2.75717	5.87619E+6	2.75717	5.87619E+6	
2.75833	5.87756E+6	2.75833	5.87756E+6	
2.7595	5.87252E+6	2.7595	5.87252E+6	
2.76067	5.87787E+6	2.76067	5.87787E+6	
2.76183	5.88074E+6	2.76183	5.88074E+6	
2.763	5.87879E+6	2.763	5.87879E+6	
2.76417	5.87859E+6	2.76417	5.87859E+6	
2.76533	5.88407E+6	2.76533	5.88407E+6	
2.7665	5.88389E+6	2.7665	5.88389E+6	
2.76767	5.88389E+6	2.76767	5.88389E+6	
2.76883	5.87904E+6	2.76883	5.87904E+6	
2.77	5.88109E+6	2.77	5.88109E+6	
2.77117	5.879E+6	2.77117	5.879E+6	
2.77233	5.87952E+6	2.77233	5.87952E+6	
2.7735	5.88237E+6	2.7735	5.88237E+6	
2.77467	5.88081E+6	2.77467	5.88081E+6	
2.77583	5.88314E+6	2.77583	5.88314E+6	
2.777	5.88424E+6	2.777	5.88424E+6	
2.77817	5.88038E+6	2.77817	5.88038E+6	
2.77933	5.87566E+6	2.77933	5.87566E+6	
2.7805	5.88012E+6	2.7805	5.88012E+6	
2.78167	5.8798E+6	2.78167	5.8798E+6	
2.78283	5.87352E+6	2.78283	5.87352E+6	
2.784	5.87437E+6	2.784	5.87437E+6	
2.78517	5.86789E+6	2.78517	5.86789E+6	
2.78633	5.86676E+6	2.78633	5.86676E+6	
2.7875	5.86341E+6	2.7875	5.86341E+6	
2.78867	5.85592E+6	2.78867	5.85592E+6	
2.78983	5.8475E+6	2.78983	5.8475E+6	
