Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.74	5.46371E+6	2.74	5.46371E+6	
2.74017	5.46582E+6	2.74017	5.46582E+6	
2.74033	5.46382E+6	2.74033	5.46382E+6	
2.7405	5.46664E+6	2.7405	5.46664E+6	
2.74067	5.4649E+6	2.74067	5.4649E+6	
2.74083	5.46517E+6	2.74083	5.46517E+6	
2.741	5.4632E+6	2.741	5.4632E+6	
2.74117	5.46278E+6	2.74117	5.46278E+6	
2.74133	5.46399E+6	2.74133	5.46399E+6	
2.7415	5.47042E+6	2.7415	5.47042E+6	
2.74167	5.46703E+6	2.74167	5.46703E+6	
2.74183	5.46802E+6	2.74183	5.46802E+6	
2.742	5.46785E+6	2.742	5.46785E+6	
2.74217	5.46519E+6	2.74217	5.46519E+6	
2.74233	5.46713E+6	2.74233	5.46713E+6	
2.7425	5.46671E+6	2.7425	5.46671E+6	
2.74267	5.46202E+6	2.74267	5.46202E+6	
2.74283	5.46595E+6	2.74283	5.46595E+6	
2.743	5.46525E+6	2.743	5.46525E+6	
2.74317	5.46215E+6	2.74317	5.46215E+6	
2.74333	5.46935E+6	2.74333	5.46935E+6	
2.7435	5.46416E+6	2.7435	5.46416E+6	
2.74367	5.46747E+6	2.74367	5.46747E+6	
2.74383	5.4609E+6	2.74383	5.4609E+6	
2.744	5.4662E+6	2.744	5.4662E+6	
2.74417	5.46897E+6	2.74417	5.46897E+6	
2.74433	5.46598E+6	2.74433	5.46598E+6	
2.7445	5.47028E+6	2.7445	5.47028E+6	
2.74467	5.46789E+6	2.74467	5.46789E+6	
2.74483	5.46775E+6	2.74483	5.46775E+6	
2.745	5.4605E+6	2.745	5.4605E+6	
2.74517	5.46178E+6	2.74517	5.46178E+6	
2.74533	5.46473E+6	2.74533	5.46473E+6	
2.7455	5.46468E+6	2.7455	5.46468E+6	
2.74567	5.46675E+6	2.74567	5.46675E+6	
2.74583	5.46857E+6	2.74583	5.46857E+6	
2.746	5.46771E+6	2.746	5.46771E+6	
2.74617	5.46608E+6	2.74617	5.46608E+6	
2.74633	5.46765E+6	2.74633	5.46765E+6	
2.7465	5.47217E+6	2.7465	5.47217E+6	
2.74667	5.46614E+6	2.74667	5.46614E+6	
2.74683	5.46419E+6	2.74683	5.46419E+6	
2.747	5.46773E+6	2.747	5.46773E+6	
2.74717	5.45991E+6	2.74717	5.45991E+6	
2.74733	5.46444E+6	2.74733	5.46444E+6	
2.7475	5.46453E+6	2.7475	5.46453E+6	
2.74767	5.46399E+6	2.74767	5.46399E+6	
2.74783	5.46399E+6	2.74783	5.46399E+6	
2.748	5.4628E+6	2.748	5.4628E+6	
2.74817	5.46387E+6	2.74817	5.46387E+6	
2.74833	5.46456E+6	2.74833	5.46456E+6	
2.7485	5.46744E+6	2.7485	5.46744E+6	
2.74867	5.4661E+6	2.74867	5.4661E+6	
2.74883	5.46331E+6	2.74883	5.46331E+6	
2.749	5.46696E+6	2.749	5.46696E+6	
2.74917	5.4622E+6	2.74917	5.4622E+6	
