Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.74	5.63723E+6	2.74	5.63723E+6	
2.74017	5.64096E+6	2.74017	5.64096E+6	
2.74033	5.63292E+6	2.74033	5.63292E+6	
2.7405	5.63803E+6	2.7405	5.63803E+6	
2.74067	5.63372E+6	2.74067	5.63372E+6	
2.74083	5.63808E+6	2.74083	5.63808E+6	
2.741	5.63625E+6	2.741	5.63625E+6	
2.74117	5.63473E+6	2.74117	5.63473E+6	
2.74133	5.63762E+6	2.74133	5.63762E+6	
2.7415	5.63192E+6	2.7415	5.63192E+6	
2.74167	5.63343E+6	2.74167	5.63343E+6	
2.74183	5.63737E+6	2.74183	5.63737E+6	
2.742	5.63592E+6	2.742	5.63592E+6	
2.74217	5.63802E+6	2.74217	5.63802E+6	
2.74233	5.6335E+6	2.74233	5.6335E+6	
2.7425	5.63634E+6	2.7425	5.63634E+6	
2.74267	5.63597E+6	2.74267	5.63597E+6	
2.74283	5.63621E+6	2.74283	5.63621E+6	
2.743	5.63637E+6	2.743	5.63637E+6	
2.74317	5.63827E+6	2.74317	5.63827E+6	
2.74333	5.63488E+6	2.74333	5.63488E+6	
2.7435	5.6377E+6	2.7435	5.6377E+6	
2.74367	5.63673E+6	2.74367	5.63673E+6	
2.74383	5.63685E+6	2.74383	5.63685E+6	
2.744	5.63991E+6	2.744	5.63991E+6	
2.74417	5.63682E+6	2.74417	5.63682E+6	
2.74433	5.6364E+6	2.74433	5.6364E+6	
2.7445	5.63432E+6	2.7445	5.63432E+6	
2.74467	5.63855E+6	2.74467	5.63855E+6	
2.74483	5.63962E+6	2.74483	5.63962E+6	
2.745	5.63482E+6	2.745	5.63482E+6	
2.74517	5.63696E+6	2.74517	5.63696E+6	
2.74533	5.63844E+6	2.74533	5.63844E+6	
2.7455	5.63663E+6	2.7455	5.63663E+6	
2.74567	5.63816E+6	2.74567	5.63816E+6	
2.74583	5.63796E+6	2.74583	5.63796E+6	
2.746	5.63225E+6	2.746	5.63225E+6	
2.74617	5.6376E+6	2.74617	5.6376E+6	
2.74633	5.63761E+6	2.74633	5.63761E+6	
2.7465	5.63884E+6	2.7465	5.63884E+6	
2.74667	5.63779E+6	2.74667	5.63779E+6	
2.74683	5.635E+6	2.74683	5.635E+6	
2.747	5.63338E+6	2.747	5.63338E+6	
2.74717	5.63648E+6	2.74717	5.63648E+6	
2.74733	5.63614E+6	2.74733	5.63614E+6	
2.7475	5.63828E+6	2.7475	5.63828E+6	
2.74767	5.6376E+6	2.74767	5.6376E+6	
2.74783	5.63444E+6	2.74783	5.63444E+6	
2.748	5.6364E+6	2.748	5.6364E+6	
2.74817	5.63797E+6	2.74817	5.63797E+6	
2.74833	5.63597E+6	2.74833	5.63597E+6	
2.7485	5.63383E+6	2.7485	5.63383E+6	
2.74867	5.63909E+6	2.74867	5.63909E+6	
2.74883	5.63545E+6	2.74883	5.63545E+6	
2.749	5.63529E+6	2.749	5.63529E+6	
2.74917	5.63517E+6	2.74917	5.63517E+6	
2.74933	5.63642E+6	2.74933	5.63642E+6	
2.7495	5.63495E+6	2.7495	5.63495E+6	
2.74967	5.6362E+6	2.74967	5.6362E+6	
2.74983	5.63859E+6	2.74983	5.63859E+6	
2.75	5.63444E+6	2.75	5.63444E+6	
2.75017	5.63583E+6	2.75017	5.63583E+6	
2.75033	5.63819E+6	2.75033	5.63819E+6	
2.7505	5.63577E+6	2.7505	5.63577E+6	
2.75067	5.63517E+6	2.75067	5.63517E+6	
2.75083	5.63612E+6	2.75083	5.63612E+6	
2.751	5.63799E+6	2.751	5.63799E+6	
2.75117	5.63546E+6	2.75117	5.63546E+6	
2.75133	5.6351E+6	2.75133	5.6351E+6	
2.7515	5.63311E+6	2.7515	5.63311E+6	
2.75167	5.63708E+6	2.75167	5.63708E+6	
2.75183	5.63664E+6	2.75183	5.63664E+6	
2.752	5.63654E+6	2.752	5.63654E+6	
2.75217	5.63839E+6	2.75217	5.63839E+6	
2.75233	5.63351E+6	2.75233	5.63351E+6	
2.7525	5.63917E+6	2.7525	5.63917E+6	
2.75267	5.63532E+6	2.75267	5.63532E+6	
2.75283	5.63427E+6	2.75283	5.63427E+6	
2.753	5.63154E+6	2.753	5.63154E+6	
2.75317	5.63687E+6	2.75317	5.63687E+6	
2.75333	5.63899E+6	2.75333	5.63899E+6	
2.7535	5.63488E+6	2.7535	5.63488E+6	
2.75367	5.63356E+6	2.75367	5.63356E+6	
2.75383	5.63515E+6	2.75383	5.63515E+6	
2.754	5.637E+6	2.754	5.637E+6	
2.75417	5.63297E+6	2.75417	5.63297E+6	
2.75433	5.63486E+6	2.75433	5.63486E+6	
2.7545	5.63896E+6	2.7545	5.63896E+6	
2.75467	5.635E+6	2.75467	5.635E+6	
2.75483	5.63267E+6	2.75483	5.63267E+6	
2.755	5.63668E+6	2.755	5.63668E+6	
2.75517	5.63175E+6	2.75517	5.63175E+6	
2.75533	5.63694E+6	2.75533	5.63694E+6	
2.7555	5.63152E+6	2.7555	5.63152E+6	
2.75567	5.62962E+6	2.75567	5.62962E+6	
2.75583	5.63509E+6	2.75583	5.63509E+6	
2.756	5.63355E+6	2.756	5.63355E+6	
2.75617	5.63274E+6	2.75617	5.63274E+6	
2.75633	5.63057E+6	2.75633	5.63057E+6	
2.7565	5.62867E+6	2.7565	5.62867E+6	
2.75667	5.63065E+6	2.75667	5.63065E+6	
2.75683	5.63109E+6	2.75683	5.63109E+6	
2.757	5.63269E+6	2.757	5.63269E+6	
2.75717	5.62755E+6	2.75717	5.62755E+6	
2.75733	5.62864E+6	2.75733	5.62864E+6	
2.7575	5.62899E+6	2.7575	5.62899E+6	
2.75767	5.62839E+6	2.75767	5.62839E+6	
2.75783	5.63301E+6	2.75783	5.63301E+6	
2.758	5.6271E+6	2.758	5.6271E+6	
2.75817	5.6311E+6	2.75817	5.6311E+6	
2.75833	5.6279E+6	2.75833	5.6279E+6	
2.7585	5.62229E+6	2.7585	5.62229E+6	
2.75867	5.62886E+6	2.75867	5.62886E+6	
2.75883	5.62703E+6	2.75883	5.62703E+6	
2.759	5.63023E+6	2.759	5.63023E+6	
2.75917	5.62677E+6	2.75917	5.62677E+6	
2.75933	5.62335E+6	2.75933	5.62335E+6	
2.7595	5.62601E+6	2.7595	5.62601E+6	
2.75967	5.61988E+6	2.75967	5.61988E+6	
2.75983	5.62652E+6	2.75983	5.62652E+6	
2.76	5.62227E+6	2.76	5.62227E+6	
2.76017	5.62812E+6	2.76017	5.62812E+6	
2.76033	5.62259E+6	2.76033	5.62259E+6	
2.7605	5.61493E+6	2.7605	5.61493E+6	
2.76067	5.62047E+6	2.76067	5.62047E+6	
2.76083	5.62069E+6	2.76083	5.62069E+6	
2.761	5.62638E+6	2.761	5.62638E+6	
2.76117	5.62E+6	2.76117	5.62E+6	
2.76133	5.62205E+6	2.76133	5.62205E+6	
2.7615	5.61742E+6	2.7615	5.61742E+6	
2.76167	5.6175E+6	2.76167	5.6175E+6	
2.76183	5.62278E+6	2.76183	5.62278E+6	
2.762	5.62025E+6	2.762	5.62025E+6	
2.76217	5.62001E+6	2.76217	5.62001E+6	
2.76233	5.61995E+6	2.76233	5.61995E+6	
2.7625	5.6149E+6	2.7625	5.6149E+6	
2.76267	5.61563E+6	2.76267	5.61563E+6	
2.76283	5.61549E+6	2.76283	5.61549E+6	
2.763	5.6159E+6	2.763	5.6159E+6	
2.76317	5.60986E+6	2.76317	5.60986E+6	
2.76333	5.61344E+6	2.76333	5.61344E+6	
2.7635	5.6086E+6	2.7635	5.6086E+6	
2.76367	5.61042E+6	2.76367	5.61042E+6	
2.76383	5.60537E+6	2.76383	5.60537E+6	
2.764	5.60708E+6	2.764	5.60708E+6	
2.76417	5.60746E+6	2.76417	5.60746E+6	
2.76433	5.60328E+6	2.76433	5.60328E+6	
2.7645	5.60668E+6	2.7645	5.60668E+6	
2.76467	5.60151E+6	2.76467	5.60151E+6	
2.76483	5.60704E+6	2.76483	5.60704E+6	
2.765	5.60322E+6	2.765	5.60322E+6	
2.76517	5.60125E+6	2.76517	5.60125E+6	
2.76533	5.60443E+6	2.76533	5.60443E+6	
2.7655	5.6051E+6	2.7655	5.6051E+6	
2.76567	5.60466E+6	2.76567	5.60466E+6	
2.76583	5.60254E+6	2.76583	5.60254E+6	
2.766	5.60361E+6	2.766	5.60361E+6	
2.76617	5.60084E+6	2.76617	5.60084E+6	
2.76633	5.59931E+6	2.76633	5.59931E+6	
2.7665	5.59587E+6	2.7665	5.59587E+6	
2.76667	5.60012E+6	2.76667	5.60012E+6	
2.76683	5.60009E+6	2.76683	5.60009E+6	
2.767	5.59732E+6	2.767	5.59732E+6	
2.76717	5.59864E+6	2.76717	5.59864E+6	
2.76733	5.60398E+6	2.76733	5.60398E+6	
2.7675	5.59984E+6	2.7675	5.59984E+6	
2.76767	5.60456E+6	2.76767	5.60456E+6	
2.76783	5.5974E+6	2.76783	5.5974E+6	
2.768	5.59588E+6	2.768	5.59588E+6	
2.76817	5.59927E+6	2.76817	5.59927E+6	
2.76833	5.60015E+6	2.76833	5.60015E+6	
2.7685	5.60116E+6	2.7685	5.60116E+6	
2.76867	5.59756E+6	2.76867	5.59756E+6	
2.76883	5.59612E+6	2.76883	5.59612E+6	
2.769	5.59525E+6	2.769	5.59525E+6	
2.76917	5.60519E+6	2.76917	5.60519E+6	
2.76933	5.5991E+6	2.76933	5.5991E+6	
2.7695	5.59692E+6	2.7695	5.59692E+6	
2.76967	5.60563E+6	2.76967	5.60563E+6	
2.76983	5.59766E+6	2.76983	5.59766E+6	
2.77	5.60404E+6	2.77	5.60404E+6	
2.77017	5.60483E+6	2.77017	5.60483E+6	
2.77033	5.60832E+6	2.77033	5.60832E+6	
2.7705	5.60532E+6	2.7705	5.60532E+6	
2.77067	5.60614E+6	2.77067	5.60614E+6	
2.77083	5.60945E+6	2.77083	5.60945E+6	
2.771	5.60635E+6	2.771	5.60635E+6	
2.77117	5.60682E+6	2.77117	5.60682E+6	
2.77133	5.60848E+6	2.77133	5.60848E+6	
2.7715	5.61136E+6	2.7715	5.61136E+6	
2.77167	5.6086E+6	2.77167	5.6086E+6	
2.77183	5.61533E+6	2.77183	5.61533E+6	
2.772	5.613E+6	2.772	5.613E+6	
2.77217	5.61598E+6	2.77217	5.61598E+6	
2.77233	5.6112E+6	2.77233	5.6112E+6	
2.7725	5.61559E+6	2.7725	5.61559E+6	
2.77267	5.61804E+6	2.77267	5.61804E+6	
2.77283	5.61748E+6	2.77283	5.61748E+6	
2.773	5.61824E+6	2.773	5.61824E+6	
2.77317	5.62093E+6	2.77317	5.62093E+6	
2.77333	5.61946E+6	2.77333	5.61946E+6	
2.7735	5.624E+6	2.7735	5.624E+6	
2.77367	5.61659E+6	2.77367	5.61659E+6	
2.77383	5.62068E+6	2.77383	5.62068E+6	
2.774	5.62399E+6	2.774	5.62399E+6	
2.77417	5.62148E+6	2.77417	5.62148E+6	
2.77433	5.62052E+6	2.77433	5.62052E+6	
2.7745	5.62572E+6	2.7745	5.62572E+6	
2.77467	5.6277E+6	2.77467	5.6277E+6	
2.77483	5.62819E+6	2.77483	5.62819E+6	
2.775	5.63203E+6	2.775	5.63203E+6	
2.77517	5.62686E+6	2.77517	5.62686E+6	
2.77533	5.62585E+6	2.77533	5.62585E+6	
2.7755	5.62831E+6	2.7755	5.62831E+6	
2.77567	5.62414E+6	2.77567	5.62414E+6	
2.77583	5.62858E+6	2.77583	5.62858E+6	
2.776	5.62735E+6	2.776	5.62735E+6	
2.77617	5.62439E+6	2.77617	5.62439E+6	
2.77633	5.6278E+6	2.77633	5.6278E+6	
2.7765	5.62947E+6	2.7765	5.62947E+6	
2.77667	5.63004E+6	2.77667	5.63004E+6	
2.77683	5.62893E+6	2.77683	5.62893E+6	
2.777	5.62755E+6	2.777	5.62755E+6	
2.77717	5.62517E+6	2.77717	5.62517E+6	
2.77733	5.63281E+6	2.77733	5.63281E+6	
