Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.8	4.83685E+6	2.8	4.83685E+6	
2.80017	4.82241E+6	2.80017	4.82241E+6	
2.80033	4.83059E+6	2.80033	4.83059E+6	
2.8005	4.80536E+6	2.8005	4.80536E+6	
2.80067	4.80808E+6	2.80067	4.80808E+6	
2.80083	4.8002E+6	2.80083	4.8002E+6	
2.801	4.82062E+6	2.801	4.82062E+6	
2.80117	4.83324E+6	2.80117	4.83324E+6	
2.80133	4.82867E+6	2.80133	4.82867E+6	
2.8015	4.82147E+6	2.8015	4.82147E+6	
2.80167	4.82654E+6	2.80167	4.82654E+6	
2.80183	4.82201E+6	2.80183	4.82201E+6	
2.802	4.8175E+6	2.802	4.8175E+6	
2.80217	4.81302E+6	2.80217	4.81302E+6	
2.80233	4.81309E+6	2.80233	4.81309E+6	
2.8025	4.82513E+6	2.8025	4.82513E+6	
2.80267	4.81293E+6	2.80267	4.81293E+6	
2.80283	4.81632E+6	2.80283	4.81632E+6	
2.803	4.81786E+6	2.803	4.81786E+6	
2.80317	4.80697E+6	2.80317	4.80697E+6	
2.80333	4.8127E+6	2.80333	4.8127E+6	
2.8035	4.80676E+6	2.8035	4.80676E+6	
2.80367	4.80839E+6	2.80367	4.80839E+6	
2.80383	4.81093E+6	2.80383	4.81093E+6	
2.804	4.82598E+6	2.804	4.82598E+6	
2.80417	4.8214E+6	2.80417	4.8214E+6	
2.80433	4.80372E+6	2.80433	4.80372E+6	
2.8045	4.80225E+6	2.8045	4.80225E+6	
2.80467	4.8192E+6	2.80467	4.8192E+6	
2.80483	4.79872E+6	2.80483	4.79872E+6	
2.805	4.81075E+6	2.805	4.81075E+6	
2.80517	4.81662E+6	2.80517	4.81662E+6	
2.80533	4.82064E+6	2.80533	4.82064E+6	
2.8055	4.81618E+6	2.8055	4.81618E+6	
2.80567	4.80868E+6	2.80567	4.80868E+6	
2.80583	4.80545E+6	2.80583	4.80545E+6	
2.806	4.82179E+6	2.806	4.82179E+6	
2.80617	4.81482E+6	2.80617	4.81482E+6	
2.80633	4.81536E+6	2.80633	4.81536E+6	
2.8065	4.82431E+6	2.8065	4.82431E+6	
2.80667	4.81829E+6	2.80667	4.81829E+6	
2.80683	4.81728E+6	2.80683	4.81728E+6	
2.807	4.83416E+6	2.807	4.83416E+6	
2.80717	4.80864E+6	2.80717	4.80864E+6	
2.80733	4.80872E+6	2.80733	4.80872E+6	
2.8075	4.80951E+6	2.8075	4.80951E+6	
2.80767	4.81114E+6	2.80767	4.81114E+6	
2.80783	4.81135E+6	2.80783	4.81135E+6	
2.808	4.81435E+6	2.808	4.81435E+6	
2.80817	4.81727E+6	2.80817	4.81727E+6	
2.80833	4.80012E+6	2.80833	4.80012E+6	
2.8085	4.8059E+6	2.8085	4.8059E+6	
2.80867	4.80367E+6	2.80867	4.80367E+6	
2.80883	4.80574E+6	2.80883	4.80574E+6	
2.809	4.80909E+6	2.809	4.80909E+6	
2.80917	4.80947E+6	2.80917	4.80947E+6	
2.80933	4.80456E+6	2.80933	4.80456E+6	
2.8095	4.81474E+6	2.8095	4.81474E+6	
2.80967	4.82359E+6	2.80967	4.82359E+6	
2.80983	4.81255E+6	2.80983	4.81255E+6	
2.81	4.81052E+6	2.81	4.81052E+6	
2.81017	4.81026E+6	2.81017	4.81026E+6	
2.81033	4.80686E+6	2.81033	4.80686E+6	
2.8105	4.82333E+6	2.8105	4.82333E+6	
2.81067	4.80983E+6	2.81067	4.80983E+6	
2.81083	4.79563E+6	2.81083	4.79563E+6	
2.811	4.81729E+6	2.811	4.81729E+6	
2.81117	4.80647E+6	2.81117	4.80647E+6	
2.81133	4.81229E+6	2.81133	4.81229E+6	
2.8115	4.81106E+6	2.8115	4.81106E+6	
2.81167	4.80051E+6	2.81167	4.80051E+6	
2.81183	4.80635E+6	2.81183	4.80635E+6	
2.812	4.81404E+6	2.812	4.81404E+6	
2.81217	4.80049E+6	2.81217	4.80049E+6	
2.81233	4.81855E+6	2.81233	4.81855E+6	
2.8125	4.80422E+6	2.8125	4.80422E+6	
2.81267	4.80621E+6	2.81267	4.80621E+6	
2.81283	4.81986E+6	2.81283	4.81986E+6	
2.813	4.8126E+6	2.813	4.8126E+6	
2.81317	4.81694E+6	2.81317	4.81694E+6	
2.81333	4.81264E+6	2.81333	4.81264E+6	
2.8135	4.81891E+6	2.8135	4.81891E+6	
2.81367	4.81277E+6	2.81367	4.81277E+6	
2.81383	4.82531E+6	2.81383	4.82531E+6	
2.814	4.80797E+6	2.814	4.80797E+6	
2.81417	4.82583E+6	2.81417	4.82583E+6	
2.81433	4.81589E+6	2.81433	4.81589E+6	
2.8145	4.82289E+6	2.8145	4.82289E+6	
2.81467	4.82228E+6	2.81467	4.82228E+6	
2.81483	4.80728E+6	2.81483	4.80728E+6	
2.815	4.80924E+6	2.815	4.80924E+6	
2.81517	4.81555E+6	2.81517	4.81555E+6	
2.81533	4.8126E+6	2.81533	4.8126E+6	
2.8155	4.81974E+6	2.8155	4.81974E+6	
2.81567	4.8232E+6	2.81567	4.8232E+6	
2.81583	4.80995E+6	2.81583	4.80995E+6	
2.816	4.81431E+6	2.816	4.81431E+6	
2.81617	4.82413E+6	2.81617	4.82413E+6	
2.81633	4.81927E+6	2.81633	4.81927E+6	
2.8165	4.82096E+6	2.8165	4.82096E+6	
2.81667	4.82551E+6	2.81667	4.82551E+6	
2.81683	4.83013E+6	2.81683	4.83013E+6	
2.817	4.81099E+6	2.817	4.81099E+6	
2.81717	4.83219E+6	2.81717	4.83219E+6	
2.81733	4.81052E+6	2.81733	4.81052E+6	
2.8175	4.82039E+6	2.8175	4.82039E+6	
2.81767	4.81263E+6	2.81767	4.81263E+6	
2.81783	4.81224E+6	2.81783	4.81224E+6	
2.818	4.81994E+6	2.818	4.81994E+6	
2.81817	4.79553E+6	2.81817	4.79553E+6	
2.81833	4.81748E+6	2.81833	4.81748E+6	
2.8185	4.82712E+6	2.8185	4.82712E+6	
2.81867	4.82298E+6	2.81867	4.82298E+6	
2.81883	4.83317E+6	2.81883	4.83317E+6	
2.819	4.81779E+6	2.819	4.81779E+6	
2.81917	4.82664E+6	2.81917	4.82664E+6	
2.81933	4.81944E+6	2.81933	4.81944E+6	
2.8195	4.81506E+6	2.8195	4.81506E+6	
2.81967	4.81927E+6	2.81967	4.81927E+6	
2.81983	4.8249E+6	2.81983	4.8249E+6	
2.82	4.81108E+6	2.82	4.81108E+6	
2.82017	4.82405E+6	2.82017	4.82405E+6	
2.82033	4.8141E+6	2.82033	4.8141E+6	
2.8205	4.8442E+6	2.8205	4.8442E+6	
2.82067	4.84751E+6	2.82067	4.84751E+6	
2.82083	4.8289E+6	2.82083	4.8289E+6	
2.821	4.8479E+6	2.821	4.8479E+6	
2.82117	4.85396E+6	2.82117	4.85396E+6	
2.82133	4.85723E+6	2.82133	4.85723E+6	
2.8215	4.86269E+6	2.8215	4.86269E+6	
2.82167	4.87026E+6	2.82167	4.87026E+6	
2.82183	4.88403E+6	2.82183	4.88403E+6	
2.822	4.88497E+6	2.822	4.88497E+6	
2.82217	4.89734E+6	2.82217	4.89734E+6	
2.82233	4.91423E+6	2.82233	4.91423E+6	
2.8225	4.91006E+6	2.8225	4.91006E+6	
2.82267	4.92232E+6	2.82267	4.92232E+6	
2.82283	4.91164E+6	2.82283	4.91164E+6	
2.823	4.92826E+6	2.823	4.92826E+6	
2.82317	4.92967E+6	2.82317	4.92967E+6	
2.82333	4.9429E+6	2.82333	4.9429E+6	
2.8235	4.93978E+6	2.8235	4.93978E+6	
2.82367	4.93851E+6	2.82367	4.93851E+6	
2.82383	4.94535E+6	2.82383	4.94535E+6	
2.824	4.9388E+6	2.824	4.9388E+6	
2.82417	4.96454E+6	2.82417	4.96454E+6	
2.82433	4.96915E+6	2.82433	4.96915E+6	
2.8245	4.94993E+6	2.8245	4.94993E+6	
2.82467	4.96158E+6	2.82467	4.96158E+6	
2.82483	4.95586E+6	2.82483	4.95586E+6	
2.825	4.95387E+6	2.825	4.95387E+6	
2.82517	4.96178E+6	2.82517	4.96178E+6	
2.82533	4.96224E+6	2.82533	4.96224E+6	
2.8255	4.96366E+6	2.8255	4.96366E+6	
2.82567	4.96846E+6	2.82567	4.96846E+6	
2.82583	4.96397E+6	2.82583	4.96397E+6	
2.826	4.9589E+6	2.826	4.9589E+6	
2.82617	4.96533E+6	2.82617	4.96533E+6	
2.82633	4.96189E+6	2.82633	4.96189E+6	
2.8265	4.96632E+6	2.8265	4.96632E+6	
2.82667	4.96462E+6	2.82667	4.96462E+6	
2.82683	4.95427E+6	2.82683	4.95427E+6	
2.827	4.94618E+6	2.827	4.94618E+6	
2.82717	4.95546E+6	2.82717	4.95546E+6	
2.82733	4.95114E+6	2.82733	4.95114E+6	
2.8275	4.95513E+6	2.8275	4.95513E+6	
2.82767	4.95694E+6	2.82767	4.95694E+6	
2.82783	4.95154E+6	2.82783	4.95154E+6	
2.828	4.94799E+6	2.828	4.94799E+6	
2.82817	4.95966E+6	2.82817	4.95966E+6	
2.82833	4.94763E+6	2.82833	4.94763E+6	
2.8285	4.95764E+6	2.8285	4.95764E+6	
2.82867	4.957E+6	2.82867	4.957E+6	
2.82883	4.94995E+6	2.82883	4.94995E+6	
2.829	4.95897E+6	2.829	4.95897E+6	
2.82917	4.94083E+6	2.82917	4.94083E+6	
2.82933	4.96705E+6	2.82933	4.96705E+6	
2.8295	4.95121E+6	2.8295	4.95121E+6	
2.82967	4.9376E+6	2.82967	4.9376E+6	
2.82983	4.94167E+6	2.82983	4.94167E+6	
2.83	4.94628E+6	2.83	4.94628E+6	
2.83017	4.95035E+6	2.83017	4.95035E+6	
2.83033	4.93599E+6	2.83033	4.93599E+6	
2.8305	4.94364E+6	2.8305	4.94364E+6	
2.83067	4.96082E+6	2.83067	4.96082E+6	
2.83083	4.94917E+6	2.83083	4.94917E+6	
2.831	4.93303E+6	2.831	4.93303E+6	
2.83117	4.93001E+6	2.83117	4.93001E+6	
2.83133	4.93372E+6	2.83133	4.93372E+6	
2.8315	4.95591E+6	2.8315	4.95591E+6	
2.83167	4.93941E+6	2.83167	4.93941E+6	
2.83183	4.93962E+6	2.83183	4.93962E+6	
2.832	4.95306E+6	2.832	4.95306E+6	
2.83217	4.94248E+6	2.83217	4.94248E+6	
2.83233	4.92574E+6	2.83233	4.92574E+6	
2.8325	4.93241E+6	2.8325	4.93241E+6	
2.83267	4.93541E+6	2.83267	4.93541E+6	
2.83283	4.95325E+6	2.83283	4.95325E+6	
2.833	4.92668E+6	2.833	4.92668E+6	
2.83317	4.9266E+6	2.83317	4.9266E+6	
2.83333	4.92614E+6	2.83333	4.92614E+6	
2.8335	4.93613E+6	2.8335	4.93613E+6	
2.83367	4.93818E+6	2.83367	4.93818E+6	
2.83383	4.93536E+6	2.83383	4.93536E+6	
2.834	4.91726E+6	2.834	4.91726E+6	
2.83417	4.92555E+6	2.83417	4.92555E+6	
2.83433	4.91238E+6	2.83433	4.91238E+6	
2.8345	4.91187E+6	2.8345	4.91187E+6	
2.83467	4.91528E+6	2.83467	4.91528E+6	
2.83483	4.91944E+6	2.83483	4.91944E+6	
2.835	4.9141E+6	2.835	4.9141E+6	
2.83517	4.92045E+6	2.83517	4.92045E+6	
2.83533	4.90725E+6	2.83533	4.90725E+6	
2.8355	4.90844E+6	2.8355	4.90844E+6	
2.83567	4.92526E+6	2.83567	4.92526E+6	
2.83583	4.92133E+6	2.83583	4.92133E+6	
2.836	4.91263E+6	2.836	4.91263E+6	
2.83617	4.91172E+6	2.83617	4.91172E+6	
2.83633	4.9149E+6	2.83633	4.9149E+6	
2.8365	4.9033E+6	2.8365	4.9033E+6	
2.83667	4.90834E+6	2.83667	4.90834E+6	
2.83683	4.9098E+6	2.83683	4.9098E+6	
2.837	4.91988E+6	2.837	4.91988E+6	
2.83717	4.91755E+6	2.83717	4.91755E+6	
2.83733	4.89508E+6	2.83733	4.89508E+6	
2.8375	4.88689E+6	2.8375	4.88689E+6	
2.83767	4.91723E+6	2.83767	4.91723E+6	
2.83783	4.92424E+6	2.83783	4.92424E+6	
2.838	4.91768E+6	2.838	4.91768E+6	
2.83817	4.91414E+6	2.83817	4.91414E+6	
2.83833	4.90695E+6	2.83833	4.90695E+6	
2.8385	4.88187E+6	2.8385	4.88187E+6	
2.83867	4.90329E+6	2.83867	4.90329E+6	
2.83883	4.88957E+6	2.83883	4.88957E+6	
2.839	4.92269E+6	2.839	4.92269E+6	
2.83917	4.91242E+6	2.83917	4.91242E+6	
2.83933	4.88065E+6	2.83933	4.88065E+6	
2.8395	4.87877E+6	2.8395	4.87877E+6	
2.83967	4.89118E+6	2.83967	4.89118E+6	
2.83983	4.90361E+6	2.83983	4.90361E+6	
2.84	4.89791E+6	2.84	4.89791E+6	
2.84017	4.8906E+6	2.84017	4.8906E+6	
2.84033	4.88638E+6	2.84033	4.88638E+6	
2.8405	4.87619E+6	2.8405	4.87619E+6	
2.84067	4.87965E+6	2.84067	4.87965E+6	
2.84083	4.8783E+6	2.84083	4.8783E+6	
2.841	4.90704E+6	2.841	4.90704E+6	
2.84117	4.891E+6	2.84117	4.891E+6	
2.84133	4.89823E+6	2.84133	4.89823E+6	
2.8415	4.88402E+6	2.8415	4.88402E+6	
2.84167	4.86855E+6	2.84167	4.86855E+6	
2.84183	4.86953E+6	2.84183	4.86953E+6	
2.842	4.86946E+6	2.842	4.86946E+6	
2.84217	4.88539E+6	2.84217	4.88539E+6	
2.84233	4.87739E+6	2.84233	4.87739E+6	
2.8425	4.89722E+6	2.8425	4.89722E+6	
2.84267	4.86227E+6	2.84267	4.86227E+6	
2.84283	4.86197E+6	2.84283	4.86197E+6	
2.843	4.8715E+6	2.843	4.8715E+6	
2.84317	4.87796E+6	2.84317	4.87796E+6	
2.84333	4.88385E+6	2.84333	4.88385E+6	
2.8435	4.87684E+6	2.8435	4.87684E+6	
2.84367	4.86174E+6	2.84367	4.86174E+6	
2.84383	4.87899E+6	2.84383	4.87899E+6	
2.844	4.86301E+6	2.844	4.86301E+6	
2.84417	4.86689E+6	2.84417	4.86689E+6	
