Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1	55384	1	55384	
5.99	47251.5	5.99	47251.5	
10.98	49060.6	10.98	49060.6	
15.97	46624.3	15.97	46624.3	
20.96	44264.7	20.96	44264.7	
25.95	42736.1	25.95	42736.1	
30.94	43930.1	30.94	43930.1	
35.93	43611.7	35.93	43611.7	
40.92	42514.1	40.92	42514.1	
45.91	41691	45.91	41691	
50.9	40961.6	50.9	40961.6	
55.89	40738.6	55.89	40738.6	
60.88	42910.1	60.88	42910.1	
65.87	39121.5	65.87	39121.5	
70.86	38670.6	70.86	38670.6	
75.85	38207.3	75.85	38207.3	
80.84	37359.8	80.84	37359.8	
85.83	35331.6	85.83	35331.6	
90.82	34943.7	90.82	34943.7	
95.81	35764.5	95.81	35764.5	
100.8	34486.6	100.8	34486.6	
105.79	36035.8	105.79	36035.8	
110.78	33918.5	110.78	33918.5	
115.77	35180.8	115.77	35180.8	
120.76	32649.1	120.76	32649.1	
125.75	30667.7	125.75	30667.7	
130.74	32375.5	130.74	32375.5	
135.73	29921.3	135.73	29921.3	
140.72	29456.7	140.72	29456.7	
145.71	29264.7	145.71	29264.7	
150.7	31561.9	150.7	31561.9	
155.69	29952.3	155.69	29952.3	
160.68	30850.5	160.68	30850.5	
165.67	29327.7	165.67	29327.7	
170.66	30204.7	170.66	30204.7	
175.65	27481.8	175.65	27481.8	
180.64	27541.5	180.64	27541.5	
185.63	28949.7	185.63	28949.7	
190.62	28952.9	190.62	28952.9	
195.61	27963.7	195.61	27963.7	
200.6	30539.7	200.6	30539.7	
205.59	27653.5	205.59	27653.5	
210.58	27243.7	210.58	27243.7	
215.57	29198.8	215.57	29198.8	
220.56	25187.8	220.56	25187.8	
225.55	26738	225.55	26738	
230.54	27261.7	230.54	27261.7	
235.53	25257	235.53	25257	
240.52	26556.8	240.52	26556.8	
245.51	24289	245.51	24289	
250.5	24199.9	250.5	24199.9	
255.49	24369.6	255.49	24369.6	
260.48	23958.3	260.48	23958.3	
265.47	24117.6	265.47	24117.6	
270.46	23497.9	270.46	23497.9	
275.45	25336.7	275.45	25336.7	
280.44	21982.3	280.44	21982.3	
285.43	22828.3	285.43	22828.3	
290.42	23527	290.42	23527	
295.41	20696	295.41	20696	
300.4	25227	300.4	25227	
305.39	22697.4	305.39	22697.4	
310.38	23497.6	310.38	23497.6	
315.37	22968.7	315.37	22968.7	
320.36	21131.5	320.36	21131.5	
325.35	19176.8	325.35	19176.8	
330.34	20912.1	330.34	20912.1	
335.33	18349.8	335.33	18349.8	
340.32	22176.3	340.32	22176.3	
345.31	23861.6	345.31	23861.6	
350.3	16983.1	350.3	16983.1	
355.29	19478.8	355.29	19478.8	
360.28	20122	360.28	20122	
365.27	18134.3	365.27	18134.3	
370.26	21646.1	370.26	21646.1	
375.25	16750	375.25	16750	
380.24	20726.3	380.24	20726.3	
385.23	23063.4	385.23	23063.4	
390.22	16871.4	390.22	16871.4	
395.21	16948.2	395.21	16948.2	
400.2	18915.3	400.2	18915.3	
405.19	22391.1	405.19	22391.1	
410.18	17086.9	410.18	17086.9	
415.17	15853.8	415.17	15853.8	
420.16	18523.2	420.16	18523.2	
425.15	18431.4	425.15	18431.4	
430.14	17662.2	430.14	17662.2	
435.13	19703.8	435.13	19703.8	
440.12	18549.9	440.12	18549.9	
445.11	17180	445.11	17180	
450.1	17564.6	450.1	17564.6	
455.09	16740.5	455.09	16740.5	
460.08	15245.5	460.08	15245.5	
465.07	15873.7	465.07	15873.7	
470.06	20039.1	470.06	20039.1	
475.05	15038.5	475.05	15038.5	
480.04	15389.5	480.04	15389.5	
485.03	15245.5	485.03	15245.5	
490.02	14473.7	490.02	14473.7	
495.01	11640.1	495.01	11640.1	
500	17365.1	500	17365.1	
