Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1	71915.6	1	71915.6	
5.99	64599.8	5.99	64599.8	
10.98	65211.1	10.98	65211.1	
15.97	61123.2	15.97	61123.2	
20.96	62135.3	20.96	62135.3	
25.95	59749.9	25.95	59749.9	
30.94	56308.2	30.94	56308.2	
35.93	56661.9	35.93	56661.9	
40.92	55039.9	40.92	55039.9	
45.91	55125	45.91	55125	
50.9	53431.1	50.9	53431.1	
55.89	54258.9	55.89	54258.9	
60.88	54827.1	60.88	54827.1	
65.87	53565.1	65.87	53565.1	
70.86	51196.4	70.86	51196.4	
75.85	53067.8	75.85	53067.8	
80.84	51104.6	80.84	51104.6	
85.83	50791.7	85.83	50791.7	
90.82	49599.1	90.82	49599.1	
95.81	51455.5	95.81	51455.5	
100.8	49335	100.8	49335	
105.79	50244.9	105.79	50244.9	
110.78	47820.7	110.78	47820.7	
115.77	46605	115.77	46605	
120.76	44687.9	120.76	44687.9	
125.75	45590.9	125.75	45590.9	
130.74	44229	130.74	44229	
135.73	44218.5	135.73	44218.5	
140.72	43684.4	140.72	43684.4	
145.71	45321.5	145.71	45321.5	
150.7	43622	150.7	43622	
155.69	43171.7	155.69	43171.7	
160.68	40955.6	160.68	40955.6	
165.67	37751.9	165.67	37751.9	
170.66	39368.6	170.66	39368.6	
175.65	40958.6	175.65	40958.6	
180.64	42944.3	180.64	42944.3	
185.63	38819.5	185.63	38819.5	
190.62	40834.1	190.62	40834.1	
195.61	37154.1	195.61	37154.1	
200.6	38259.2	200.6	38259.2	
205.59	40408.6	205.59	40408.6	
210.58	38637.1	210.58	38637.1	
215.57	38504.2	215.57	38504.2	
220.56	37329.8	220.56	37329.8	
225.55	37521	225.55	37521	
230.54	36329.7	230.54	36329.7	
235.53	36561	235.53	36561	
240.52	36888.5	240.52	36888.5	
245.51	33906.2	245.51	33906.2	
250.5	34828	250.5	34828	
255.49	34658.5	255.49	34658.5	
260.48	35381.7	260.48	35381.7	
265.47	33663.9	265.47	33663.9	
270.46	32786.9	270.46	32786.9	
275.45	34425.7	275.45	34425.7	
280.44	33086.5	280.44	33086.5	
285.43	31927.6	285.43	31927.6	
290.42	32374.5	290.42	32374.5	
295.41	31593.4	295.41	31593.4	
300.4	30144	300.4	30144	
305.39	30802.7	305.39	30802.7	
310.38	31877.2	310.38	31877.2	
315.37	30376	315.37	30376	
320.36	31800.5	320.36	31800.5	
325.35	31903.4	325.35	31903.4	
330.34	31424.7	330.34	31424.7	
335.33	28532.6	335.33	28532.6	
340.32	30424.8	340.32	30424.8	
345.31	29319.7	345.31	29319.7	
350.3	27597.7	350.3	27597.7	
355.29	31453.9	355.29	31453.9	
360.28	27963.8	360.28	27963.8	
365.27	29981.1	365.27	29981.1	
370.26	29466.7	370.26	29466.7	
375.25	25572.8	375.25	25572.8	
380.24	27367.9	380.24	27367.9	
385.23	25091.8	385.23	25091.8	
390.22	27909.3	390.22	27909.3	
395.21	28518.9	395.21	28518.9	
400.2	28879.4	400.2	28879.4	
405.19	27300.6	405.19	27300.6	
410.18	24968.4	410.18	24968.4	
415.17	25714.5	415.17	25714.5	
420.16	24543.1	420.16	24543.1	
425.15	26227.6	425.15	26227.6	
430.14	25131.9	430.14	25131.9	
435.13	23187.2	435.13	23187.2	
440.12	26147	440.12	26147	
445.11	24223.9	445.11	24223.9	
450.1	25111.7	450.1	25111.7	
455.09	25614.6	455.09	25614.6	
460.08	24197.4	460.08	24197.4	
465.07	23631.1	465.07	23631.1	
470.06	23522.4	470.06	23522.4	
475.05	25289.9	475.05	25289.9	
480.04	23080.7	480.04	23080.7	
485.03	22003.6	485.03	22003.6	
490.02	23383.9	490.02	23383.9	
495.01	22858.6	495.01	22858.6	
500	23278.7	500	23278.7	
