Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.8	5.40593E+6	2.8	5.40593E+6	
2.8005	5.40581E+6	2.8005	5.40581E+6	
2.801	5.40944E+6	2.801	5.40944E+6	
2.8015	5.4079E+6	2.8015	5.4079E+6	
2.802	5.4061E+6	2.802	5.4061E+6	
2.8025	5.40975E+6	2.8025	5.40975E+6	
2.803	5.40975E+6	2.803	5.40975E+6	
2.8035	5.40618E+6	2.8035	5.40618E+6	
2.804	5.40694E+6	2.804	5.40694E+6	
2.8045	5.40576E+6	2.8045	5.40576E+6	
2.805	5.40422E+6	2.805	5.40422E+6	
2.8055	5.40767E+6	2.8055	5.40767E+6	
2.806	5.40916E+6	2.806	5.40916E+6	
2.8065	5.41027E+6	2.8065	5.41027E+6	
2.807	5.40725E+6	2.807	5.40725E+6	
2.8075	5.40803E+6	2.8075	5.40803E+6	
2.808	5.40766E+6	2.808	5.40766E+6	
2.8085	5.41076E+6	2.8085	5.41076E+6	
2.809	5.40413E+6	2.809	5.40413E+6	
2.8095	5.40246E+6	2.8095	5.40246E+6	
2.81	5.39795E+6	2.81	5.39795E+6	
2.8105	5.40549E+6	2.8105	5.40549E+6	
2.811	5.40372E+6	2.811	5.40372E+6	
2.8115	5.40654E+6	2.8115	5.40654E+6	
2.812	5.40967E+6	2.812	5.40967E+6	
2.8125	5.40147E+6	2.8125	5.40147E+6	
2.813	5.40468E+6	2.813	5.40468E+6	
2.8135	5.40528E+6	2.8135	5.40528E+6	
2.814	5.4012E+6	2.814	5.4012E+6	
2.8145	5.40166E+6	2.8145	5.40166E+6	
2.815	5.40765E+6	2.815	5.40765E+6	
2.8155	5.40428E+6	2.8155	5.40428E+6	
2.816	5.4046E+6	2.816	5.4046E+6	
2.8165	5.40198E+6	2.8165	5.40198E+6	
2.817	5.40514E+6	2.817	5.40514E+6	
2.8175	5.40561E+6	2.8175	5.40561E+6	
2.818	5.40411E+6	2.818	5.40411E+6	
2.8185	5.40458E+6	2.8185	5.40458E+6	
2.819	5.40443E+6	2.819	5.40443E+6	
2.8195	5.40071E+6	2.8195	5.40071E+6	
2.82	5.40375E+6	2.82	5.40375E+6	
2.8205	5.40914E+6	2.8205	5.40914E+6	
2.821	5.40512E+6	2.821	5.40512E+6	
2.8215	5.4029E+6	2.8215	5.4029E+6	
2.822	5.40189E+6	2.822	5.40189E+6	
2.8225	5.40958E+6	2.8225	5.40958E+6	
2.823	5.40372E+6	2.823	5.40372E+6	
2.8235	5.4047E+6	2.8235	5.4047E+6	
2.824	5.41033E+6	2.824	5.41033E+6	
2.8245	5.40783E+6	2.8245	5.40783E+6	
2.825	5.40555E+6	2.825	5.40555E+6	
2.8255	5.40745E+6	2.8255	5.40745E+6	
2.826	5.40337E+6	2.826	5.40337E+6	
2.8265	5.41088E+6	2.8265	5.41088E+6	
2.827	5.40814E+6	2.827	5.40814E+6	
2.8275	5.40353E+6	2.8275	5.40353E+6	
2.828	5.40775E+6	2.828	5.40775E+6	
2.8285	5.40783E+6	2.8285	5.40783E+6	
2.829	5.40628E+6	2.829	5.40628E+6	
2.8295	5.4085E+6	2.8295	5.4085E+6	
2.83	5.40515E+6	2.83	5.40515E+6	
2.8305	5.40338E+6	2.8305	5.40338E+6	
2.831	5.40619E+6	2.831	5.40619E+6	
2.8315	5.4046E+6	2.8315	5.4046E+6	
2.832	5.41137E+6	2.832	5.41137E+6	
2.8325	5.40795E+6	2.8325	5.40795E+6	
2.833	5.40281E+6	2.833	5.40281E+6	
2.8335	5.4012E+6	2.8335	5.4012E+6	
2.834	5.41074E+6	2.834	5.41074E+6	
2.8345	5.40995E+6	2.8345	5.40995E+6	
2.835	5.40388E+6	2.835	5.40388E+6	
2.8355	5.40614E+6	2.8355	5.40614E+6	
2.836	5.40724E+6	2.836	5.40724E+6	
2.8365	5.40426E+6	2.8365	5.40426E+6	
2.837	5.40234E+6	2.837	5.40234E+6	
2.8375	5.40644E+6	2.8375	5.40644E+6	
2.838	5.40486E+6	2.838	5.40486E+6	
2.8385	5.40164E+6	2.8385	5.40164E+6	
2.839	5.40427E+6	2.839	5.40427E+6	
2.8395	5.40596E+6	2.8395	5.40596E+6	
2.84	5.40416E+6	2.84	5.40416E+6	
2.8405	5.40364E+6	2.8405	5.40364E+6	
2.841	5.40688E+6	2.841	5.40688E+6	
2.8415	5.40547E+6	2.8415	5.40547E+6	
2.842	5.40991E+6	2.842	5.40991E+6	
2.8425	5.40585E+6	2.8425	5.40585E+6	
2.843	5.40495E+6	2.843	5.40495E+6	
2.8435	5.4067E+6	2.8435	5.4067E+6	
2.844	5.40612E+6	2.844	5.40612E+6	
2.8445	5.40431E+6	2.8445	5.40431E+6	
2.845	5.40372E+6	2.845	5.40372E+6	
2.8455	5.40129E+6	2.8455	5.40129E+6	
2.846	5.40509E+6	2.846	5.40509E+6	
2.8465	5.40406E+6	2.8465	5.40406E+6	
2.847	5.40125E+6	2.847	5.40125E+6	
2.8475	5.40656E+6	2.8475	5.40656E+6	
2.848	5.40074E+6	2.848	5.40074E+6	
2.8485	5.39899E+6	2.8485	5.39899E+6	
2.849	5.39928E+6	2.849	5.39928E+6	
2.8495	5.40423E+6	2.8495	5.40423E+6	
2.85	5.39814E+6	2.85	5.39814E+6	
2.8505	5.3972E+6	2.8505	5.3972E+6	
2.851	5.39978E+6	2.851	5.39978E+6	
2.8515	5.39722E+6	2.8515	5.39722E+6	
2.852	5.3981E+6	2.852	5.3981E+6	
2.8525	5.39862E+6	2.8525	5.39862E+6	
2.853	5.39741E+6	2.853	5.39741E+6	
2.8535	5.39395E+6	2.8535	5.39395E+6	
2.854	5.38941E+6	2.854	5.38941E+6	
2.8545	5.39212E+6	2.8545	5.39212E+6	
2.855	5.39149E+6	2.855	5.39149E+6	
2.8555	5.38726E+6	2.8555	5.38726E+6	
2.856	5.38688E+6	2.856	5.38688E+6	
2.8565	5.38383E+6	2.8565	5.38383E+6	
2.857	5.38685E+6	2.857	5.38685E+6	
2.8575	5.39693E+6	2.8575	5.39693E+6	
2.858	5.37962E+6	2.858	5.37962E+6	
2.8585	5.38081E+6	2.8585	5.38081E+6	
2.859	5.37737E+6	2.859	5.37737E+6	
2.8595	5.37736E+6	2.8595	5.37736E+6	
2.86	5.37867E+6	2.86	5.37867E+6	
2.8605	5.37497E+6	2.8605	5.37497E+6	
2.861	5.37681E+6	2.861	5.37681E+6	
2.8615	5.3739E+6	2.8615	5.3739E+6	
2.862	5.37217E+6	2.862	5.37217E+6	
2.8625	5.37168E+6	2.8625	5.37168E+6	
2.863	5.37401E+6	2.863	5.37401E+6	
2.8635	5.37632E+6	2.8635	5.37632E+6	
