Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1	101825	1	101825	
4.99	88222.7	4.99	88222.7	
8.98	77064.7	8.98	77064.7	
12.97	71973.5	12.97	71973.5	
16.96	67591.6	16.96	67591.6	
20.95	62213.9	20.95	62213.9	
24.94	69529.1	24.94	69529.1	
28.93	65608	28.93	65608	
32.92	64788.6	32.92	64788.6	
36.91	59925.8	36.91	59925.8	
40.9	53452.2	40.9	53452.2	
44.89	66645.9	44.89	66645.9	
48.88	60705.2	48.88	60705.2	
52.87	60577	52.87	60577	
56.86	60534.9	56.86	60534.9	
60.85	50494.9	60.85	50494.9	
64.84	55307.5	64.84	55307.5	
68.83	57074.7	68.83	57074.7	
72.82	49805.6	72.82	49805.6	
76.81	54492	76.81	54492	
80.8	46347.4	80.8	46347.4	
84.79	43736.7	84.79	43736.7	
88.78	48980.1	88.78	48980.1	
92.77	50965.7	92.77	50965.7	
96.76	40332.6	96.76	40332.6	
100.75	47599.6	100.75	47599.6	
104.74	55469.8	104.74	55469.8	
108.73	44243.6	108.73	44243.6	
112.72	46740.1	112.72	46740.1	
116.71	48569.4	116.71	48569.4	
120.7	39663.4	120.7	39663.4	
124.69	46385.5	124.69	46385.5	
128.68	37794	128.68	37794	
132.67	39260.6	132.67	39260.6	
136.66	34991	136.66	34991	
140.65	40999.8	140.65	40999.8	
144.64	47407.3	144.64	47407.3	
148.63	42165.9	148.63	42165.9	
152.62	38910	152.62	38910	
156.61	37170.9	156.61	37170.9	
160.6	32021.6	160.6	32021.6	
164.59	34668.4	164.59	34668.4	
168.58	44820.6	168.58	44820.6	
172.57	34069.3	172.57	34069.3	
176.56	39961.9	176.56	39961.9	
180.55	34019.2	180.55	34019.2	
184.54	36459.6	184.54	36459.6	
188.53	37301.1	188.53	37301.1	
192.52	27784	192.52	27784	
196.51	28010.4	196.51	28010.4	
200.5	27463.4	200.5	27463.4	
204.49	26802.2	204.49	26802.2	
208.48	36716.1	208.48	36716.1	
212.47	26668	212.47	26668	
216.46	32999.4	216.46	32999.4	
220.45	32448.4	220.45	32448.4	
224.44	25209.4	224.44	25209.4	
228.43	30559	228.43	30559	
232.42	29771.6	232.42	29771.6	
236.41	33203.7	236.41	33203.7	
240.4	26850.3	240.4	26850.3	
244.39	35053.1	244.39	35053.1	
248.38	27435.4	248.38	27435.4	
252.37	32562.6	252.37	32562.6	
256.36	30749.3	256.36	30749.3	
260.35	32226	260.35	32226	
264.34	33756.7	264.34	33756.7	
268.33	34239.6	268.33	34239.6	
272.32	23712.7	272.32	23712.7	
276.31	31472.6	276.31	31472.6	
280.3	22528.5	280.3	22528.5	
284.29	19988	284.29	19988	
288.28	23289.9	288.28	23289.9	
292.27	31085.9	292.27	31085.9	
296.26	36415.5	296.26	36415.5	
300.25	30536.9	300.25	30536.9	
304.24	21767.2	304.24	21767.2	
308.23	18595.5	308.23	18595.5	
312.22	33506.3	312.22	33506.3	
316.21	24201.5	316.21	24201.5	
320.2	28521.3	320.2	28521.3	
324.19	18451.2	324.19	18451.2	
328.18	25814.4	328.18	25814.4	
332.17	23285.9	332.17	23285.9	
336.16	19701.4	336.16	19701.4	
340.15	19831.7	340.15	19831.7	
344.14	23049.5	344.14	23049.5	
348.13	24618.3	348.13	24618.3	
352.12	27283.1	352.12	27283.1	
356.11	15622.1	356.11	15622.1	
360.1	19591.2	360.1	19591.2	
364.09	19641.3	364.09	19641.3	
368.08	16103	368.08	16103	
372.07	17343.2	372.07	17343.2	
376.06	18030.4	376.06	18030.4	
380.05	15696.2	380.05	15696.2	
384.04	13582.4	384.04	13582.4	
388.03	21524.7	388.03	21524.7	
392.02	23219.8	392.02	23219.8	
396.01	18204.8	396.01	18204.8	
400	19096.4	400	19096.4	
