Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
1	61876.6	1	61876.6	
4.99	38249.9	4.99	38249.9	
8.98	39001.4	8.98	39001.4	
12.97	38704	12.97	38704	
16.96	32908.7	16.96	32908.7	
20.95	35807.8	20.95	35807.8	
24.94	37659.5	24.94	37659.5	
28.93	37425.1	28.93	37425.1	
32.92	28327.8	32.92	28327.8	
36.91	28560.7	36.91	28560.7	
40.9	35245.3	40.9	35245.3	
44.89	33828.6	44.89	33828.6	
48.88	33622.1	48.88	33622.1	
52.87	31181.5	52.87	31181.5	
56.86	34942	56.86	34942	
60.85	34023.5	60.85	34023.5	
64.84	26323.7	64.84	26323.7	
68.83	32009.2	68.83	32009.2	
72.82	31776.3	72.82	31776.3	
76.81	26490.7	76.81	26490.7	
80.8	36940.2	80.8	36940.2	
84.79	32557.1	84.79	32557.1	
88.78	31801.2	88.78	31801.2	
92.77	19718.2	92.77	19718.2	
96.76	26455.5	96.76	26455.5	
100.75	28131.5	100.75	28131.5	
104.74	24869	104.74	24869	
108.73	32469.2	108.73	32469.2	
112.72	30353.8	112.72	30353.8	
116.71	29000.2	116.71	29000.2	
120.7	26953.6	120.7	26953.6	
124.69	29805.9	124.69	29805.9	
128.68	30283.5	128.68	30283.5	
132.67	24850	132.67	24850	
136.66	28670.6	136.66	28670.6	
140.65	25942.8	140.65	25942.8	
144.64	22557.3	144.64	22557.3	
148.63	26895	148.63	26895	
152.62	22119.3	152.62	22119.3	
156.61	25115.1	156.61	25115.1	
160.6	19019.5	160.6	19019.5	
164.59	25466.7	164.59	25466.7	
168.58	28305.8	168.58	28305.8	
172.57	21605.1	172.57	21605.1	
176.56	21303.3	176.56	21303.3	
180.55	23889	180.55	23889	
184.54	30279.1	184.54	30279.1	
188.53	22903	188.53	22903	
192.52	28116.8	192.52	28116.8	
196.51	20084.5	196.51	20084.5	
200.5	21073.3	200.5	21073.3	
204.49	25663	204.49	25663	
208.48	26543.4	208.48	26543.4	
212.47	24076.5	212.47	24076.5	
216.46	18282.6	216.46	18282.6	
220.45	28425.9	220.45	28425.9	
224.44	15972.4	224.44	15972.4	
228.43	28863.9	228.43	28863.9	
232.42	17844.6	232.42	17844.6	
236.41	19261.2	236.41	19261.2	
240.4	27453.2	240.4	27453.2	
244.39	20822.8	244.39	20822.8	
248.38	19151.3	248.38	19151.3	
252.37	20945.9	252.37	20945.9	
256.36	19161.6	256.36	19161.6	
260.35	23430.4	260.35	23430.4	
264.34	21214	264.34	21214	
268.33	26164	268.33	26164	
272.32	20800.8	272.32	20800.8	
276.31	19456	276.31	19456	
280.3	21511.3	280.3	21511.3	
284.29	17369.9	284.29	17369.9	
288.28	24760.6	288.28	24760.6	
292.27	13731	292.27	13731	
296.26	27618.7	296.26	27618.7	
300.25	20500.5	300.25	20500.5	
304.24	23619.4	304.24	23619.4	
308.23	24051.6	308.23	24051.6	
312.22	20708.5	312.22	20708.5	
316.21	18521.4	316.21	18521.4	
320.2	18225.5	320.2	18225.5	
324.19	19668.4	324.19	19668.4	
328.18	17503.2	328.18	17503.2	
332.17	19267	332.17	19267	
336.16	16699	336.16	16699	
340.15	24948.1	340.15	24948.1	
344.14	20185.6	344.14	20185.6	
348.13	16225.8	348.13	16225.8	
352.12	18456.9	352.12	18456.9	
356.11	17153.1	356.11	17153.1	
360.1	23645.8	360.1	23645.8	
364.09	14820.9	364.09	14820.9	
368.08	24307.9	368.08	24307.9	
372.07	18748.4	372.07	18748.4	
376.06	16609.6	376.06	16609.6	
380.05	13468.8	380.05	13468.8	
384.04	17430	384.04	17430	
388.03	21792.6	388.03	21792.6	
392.02	16909.9	392.02	16909.9	
396.01	18859.8	396.01	18859.8	
400	12768.5	400	12768.5	
