Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.84	5.63028E+6	2.84	5.63028E+6	
2.8402	5.62968E+6	2.8402	5.62968E+6	
2.8404	5.62811E+6	2.8404	5.62811E+6	
2.8406	5.62955E+6	2.8406	5.62955E+6	
2.8408	5.62705E+6	2.8408	5.62705E+6	
2.841	5.62684E+6	2.841	5.62684E+6	
2.8412	5.6289E+6	2.8412	5.6289E+6	
2.8414	5.62975E+6	2.8414	5.62975E+6	
2.8416	5.62877E+6	2.8416	5.62877E+6	
2.8418	5.62915E+6	2.8418	5.62915E+6	
2.842	5.62983E+6	2.842	5.62983E+6	
2.8422	5.62923E+6	2.8422	5.62923E+6	
2.8424	5.6285E+6	2.8424	5.6285E+6	
2.8426	5.62779E+6	2.8426	5.62779E+6	
2.8428	5.62965E+6	2.8428	5.62965E+6	
2.843	5.6303E+6	2.843	5.6303E+6	
2.8432	5.62872E+6	2.8432	5.62872E+6	
2.8434	5.62881E+6	2.8434	5.62881E+6	
2.8436	5.62893E+6	2.8436	5.62893E+6	
2.8438	5.62902E+6	2.8438	5.62902E+6	
2.844	5.62835E+6	2.844	5.62835E+6	
2.8442	5.628E+6	2.8442	5.628E+6	
2.8444	5.62777E+6	2.8444	5.62777E+6	
2.8446	5.62932E+6	2.8446	5.62932E+6	
2.8448	5.62837E+6	2.8448	5.62837E+6	
2.845	5.62864E+6	2.845	5.62864E+6	
2.8452	5.62893E+6	2.8452	5.62893E+6	
2.8454	5.62789E+6	2.8454	5.62789E+6	
2.8456	5.62933E+6	2.8456	5.62933E+6	
2.8458	5.62893E+6	2.8458	5.62893E+6	
2.846	5.63021E+6	2.846	5.63021E+6	
2.8462	5.62966E+6	2.8462	5.62966E+6	
2.8464	5.62692E+6	2.8464	5.62692E+6	
2.8466	5.62962E+6	2.8466	5.62962E+6	
2.8468	5.62892E+6	2.8468	5.62892E+6	
2.847	5.62845E+6	2.847	5.62845E+6	
2.8472	5.6275E+6	2.8472	5.6275E+6	
2.8474	5.62875E+6	2.8474	5.62875E+6	
2.8476	5.62678E+6	2.8476	5.62678E+6	
2.8478	5.62932E+6	2.8478	5.62932E+6	
2.848	5.62833E+6	2.848	5.62833E+6	
2.8482	5.62875E+6	2.8482	5.62875E+6	
2.8484	5.6289E+6	2.8484	5.6289E+6	
2.8486	5.62818E+6	2.8486	5.62818E+6	
2.8488	5.62817E+6	2.8488	5.62817E+6	
2.849	5.6275E+6	2.849	5.6275E+6	
2.8492	5.62822E+6	2.8492	5.62822E+6	
2.8494	5.62645E+6	2.8494	5.62645E+6	
2.8496	5.6258E+6	2.8496	5.6258E+6	
2.8498	5.62471E+6	2.8498	5.62471E+6	
2.85	5.62674E+6	2.85	5.62674E+6	
2.8502	5.62868E+6	2.8502	5.62868E+6	
2.8504	5.62725E+6	2.8504	5.62725E+6	
2.8506	5.62674E+6	2.8506	5.62674E+6	
2.8508	5.62334E+6	2.8508	5.62334E+6	
2.851	5.62615E+6	2.851	5.62615E+6	
2.8512	5.625E+6	2.8512	5.625E+6	
2.8514	5.62407E+6	2.8514	5.62407E+6	
2.8516	5.62586E+6	2.8516	5.62586E+6	
2.8518	5.6244E+6	2.8518	5.6244E+6	
2.852	5.62464E+6	2.852	5.62464E+6	
2.8522	5.62384E+6	2.8522	5.62384E+6	
2.8524	5.62418E+6	2.8524	5.62418E+6	
2.8526	5.62316E+6	2.8526	5.62316E+6	
2.8528	5.62409E+6	2.8528	5.62409E+6	
2.853	5.62235E+6	2.853	5.62235E+6	
2.8532	5.62118E+6	2.8532	5.62118E+6	
2.8534	5.62208E+6	2.8534	5.62208E+6	
2.8536	5.62123E+6	2.8536	5.62123E+6	
2.8538	5.61816E+6	2.8538	5.61816E+6	
2.854	5.6173E+6	2.854	5.6173E+6	
2.8542	5.61594E+6	2.8542	5.61594E+6	
2.8544	5.61465E+6	2.8544	5.61465E+6	
2.8546	5.61413E+6	2.8546	5.61413E+6	
2.8548	5.61146E+6	2.8548	5.61146E+6	
2.855	5.60993E+6	2.855	5.60993E+6	
2.8552	5.60619E+6	2.8552	5.60619E+6	
2.8554	5.6064E+6	2.8554	5.6064E+6	
2.8556	5.60376E+6	2.8556	5.60376E+6	
2.8558	5.60181E+6	2.8558	5.60181E+6	
2.856	5.60485E+6	2.856	5.60485E+6	
2.8562	5.60207E+6	2.8562	5.60207E+6	
2.8564	5.60318E+6	2.8564	5.60318E+6	
2.8566	5.60353E+6	2.8566	5.60353E+6	
2.8568	5.60553E+6	2.8568	5.60553E+6	
2.857	5.60477E+6	2.857	5.60477E+6	
2.8572	5.60228E+6	2.8572	5.60228E+6	
2.8574	5.60297E+6	2.8574	5.60297E+6	
2.8576	5.60698E+6	2.8576	5.60698E+6	
2.8578	5.60205E+6	2.8578	5.60205E+6	
2.858	5.60009E+6	2.858	5.60009E+6	
2.8582	5.60147E+6	2.8582	5.60147E+6	
2.8584	5.60016E+6	2.8584	5.60016E+6	
2.8586	5.60418E+6	2.8586	5.60418E+6	
2.8588	5.60264E+6	2.8588	5.60264E+6	
2.859	5.60435E+6	2.859	5.60435E+6	
2.8592	5.60144E+6	2.8592	5.60144E+6	
2.8594	5.60216E+6	2.8594	5.60216E+6	
2.8596	5.60123E+6	2.8596	5.60123E+6	
2.8598	5.60007E+6	2.8598	5.60007E+6	
2.86	5.60072E+6	2.86	5.60072E+6	
2.8602	5.60034E+6	2.8602	5.60034E+6	
2.8604	5.60277E+6	2.8604	5.60277E+6	
2.8606	5.6045E+6	2.8606	5.6045E+6	
2.8608	5.60629E+6	2.8608	5.60629E+6	
2.861	5.60797E+6	2.861	5.60797E+6	
2.8612	5.6081E+6	2.8612	5.6081E+6	
2.8614	5.60744E+6	2.8614	5.60744E+6	
2.8616	5.60721E+6	2.8616	5.60721E+6	
2.8618	5.60659E+6	2.8618	5.60659E+6	
2.862	5.60668E+6	2.862	5.60668E+6	
2.8622	5.60559E+6	2.8622	5.60559E+6	
2.8624	5.6058E+6	2.8624	5.6058E+6	
2.8626	5.60566E+6	2.8626	5.60566E+6	
2.8628	5.60652E+6	2.8628	5.60652E+6	
2.863	5.60902E+6	2.863	5.60902E+6	
2.8632	5.61074E+6	2.8632	5.61074E+6	
2.8634	5.60832E+6	2.8634	5.60832E+6	
2.8636	5.61156E+6	2.8636	5.61156E+6	
2.8638	5.61226E+6	2.8638	5.61226E+6	
2.864	5.6094E+6	2.864	5.6094E+6	
2.8642	5.60888E+6	2.8642	5.60888E+6	
2.8644	5.60907E+6	2.8644	5.60907E+6	
2.8646	5.60927E+6	2.8646	5.60927E+6	
2.8648	5.61131E+6	2.8648	5.61131E+6	
2.865	5.61036E+6	2.865	5.61036E+6	
2.8652	5.61237E+6	2.8652	5.61237E+6	
2.8654	5.61135E+6	2.8654	5.61135E+6	
2.8656	5.61368E+6	2.8656	5.61368E+6	
2.8658	5.6122E+6	2.8658	5.6122E+6	
2.866	5.61605E+6	2.866	5.61605E+6	
2.8662	5.61156E+6	2.8662	5.61156E+6	
2.8664	5.61315E+6	2.8664	5.61315E+6	
2.8666	5.61194E+6	2.8666	5.61194E+6	
2.8668	5.61507E+6	2.8668	5.61507E+6	
2.867	5.61402E+6	2.867	5.61402E+6	
2.8672	5.61612E+6	2.8672	5.61612E+6	
2.8674	5.62072E+6	2.8674	5.62072E+6	
2.8676	5.6205E+6	2.8676	5.6205E+6	
2.8678	5.62215E+6	2.8678	5.62215E+6	
2.868	5.62173E+6	2.868	5.62173E+6	
2.8682	5.62214E+6	2.8682	5.62214E+6	
2.8684	5.62363E+6	2.8684	5.62363E+6	
2.8686	5.62441E+6	2.8686	5.62441E+6	
2.8688	5.62493E+6	2.8688	5.62493E+6	
2.869	5.62674E+6	2.869	5.62674E+6	
2.8692	5.62602E+6	2.8692	5.62602E+6	
2.8694	5.62497E+6	2.8694	5.62497E+6	
2.8696	5.62631E+6	2.8696	5.62631E+6	
2.8698	5.62676E+6	2.8698	5.62676E+6	
2.87	5.62791E+6	2.87	5.62791E+6	
2.8702	5.62875E+6	2.8702	5.62875E+6	
2.8704	5.62942E+6	2.8704	5.62942E+6	
2.8706	5.62785E+6	2.8706	5.62785E+6	
2.8708	5.62713E+6	2.8708	5.62713E+6	
2.871	5.62803E+6	2.871	5.62803E+6	
2.8712	5.62799E+6	2.8712	5.62799E+6	
2.8714	5.62901E+6	2.8714	5.62901E+6	
2.8716	5.62728E+6	2.8716	5.62728E+6	
2.8718	5.62882E+6	2.8718	5.62882E+6	
2.872	5.62734E+6	2.872	5.62734E+6	
2.8722	5.62624E+6	2.8722	5.62624E+6	
2.8724	5.62681E+6	2.8724	5.62681E+6	
2.8726	5.62526E+6	2.8726	5.62526E+6	
2.8728	5.62507E+6	2.8728	5.62507E+6	
2.873	5.62464E+6	2.873	5.62464E+6	
2.8732	5.62361E+6	2.8732	5.62361E+6	
2.8734	5.62485E+6	2.8734	5.62485E+6	
2.8736	5.62312E+6	2.8736	5.62312E+6	
