Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.62	5.30516E+6	2.62	5.30516E+6	
2.62027	5.30255E+6	2.62027	5.30255E+6	
2.62053	5.30484E+6	2.62053	5.30484E+6	
2.6208	5.30155E+6	2.6208	5.30155E+6	
2.62107	5.30706E+6	2.62107	5.30706E+6	
2.62133	5.30686E+6	2.62133	5.30686E+6	
2.6216	5.30246E+6	2.6216	5.30246E+6	
2.62187	5.30619E+6	2.62187	5.30619E+6	
2.62213	5.30878E+6	2.62213	5.30878E+6	
2.6224	5.30401E+6	2.6224	5.30401E+6	
2.62267	5.30482E+6	2.62267	5.30482E+6	
2.62293	5.30528E+6	2.62293	5.30528E+6	
2.6232	5.30381E+6	2.6232	5.30381E+6	
2.62347	5.30358E+6	2.62347	5.30358E+6	
2.62373	5.30795E+6	2.62373	5.30795E+6	
2.624	5.30862E+6	2.624	5.30862E+6	
2.62427	5.30364E+6	2.62427	5.30364E+6	
2.62453	5.30396E+6	2.62453	5.30396E+6	
2.6248	5.3037E+6	2.6248	5.3037E+6	
2.62507	5.30476E+6	2.62507	5.30476E+6	
2.62533	5.3075E+6	2.62533	5.3075E+6	
2.6256	5.30056E+6	2.6256	5.30056E+6	
2.62587	5.30524E+6	2.62587	5.30524E+6	
2.62613	5.3064E+6	2.62613	5.3064E+6	
2.6264	5.30452E+6	2.6264	5.30452E+6	
2.62667	5.30616E+6	2.62667	5.30616E+6	
2.62693	5.30558E+6	2.62693	5.30558E+6	
2.6272	5.30262E+6	2.6272	5.30262E+6	
2.62747	5.30135E+6	2.62747	5.30135E+6	
2.62773	5.30601E+6	2.62773	5.30601E+6	
2.628	5.30389E+6	2.628	5.30389E+6	
2.62827	5.30706E+6	2.62827	5.30706E+6	
2.62853	5.30388E+6	2.62853	5.30388E+6	
2.6288	5.30361E+6	2.6288	5.30361E+6	
2.62907	5.3041E+6	2.62907	5.3041E+6	
2.62933	5.30649E+6	2.62933	5.30649E+6	
2.6296	5.30781E+6	2.6296	5.30781E+6	
2.62987	5.30608E+6	2.62987	5.30608E+6	
2.63013	5.30551E+6	2.63013	5.30551E+6	
2.6304	5.30623E+6	2.6304	5.30623E+6	
2.63067	5.3066E+6	2.63067	5.3066E+6	
2.63093	5.30451E+6	2.63093	5.30451E+6	
2.6312	5.30664E+6	2.6312	5.30664E+6	
2.63147	5.3031E+6	2.63147	5.3031E+6	
2.63173	5.30327E+6	2.63173	5.30327E+6	
2.632	5.30797E+6	2.632	5.30797E+6	
2.63227	5.30598E+6	2.63227	5.30598E+6	
2.63253	5.30549E+6	2.63253	5.30549E+6	
2.6328	5.30656E+6	2.6328	5.30656E+6	
2.63307	5.3065E+6	2.63307	5.3065E+6	
2.63333	5.30499E+6	2.63333	5.30499E+6	
2.6336	5.3058E+6	2.6336	5.3058E+6	
2.63387	5.30596E+6	2.63387	5.30596E+6	
2.63413	5.30058E+6	2.63413	5.30058E+6	
2.6344	5.30623E+6	2.6344	5.30623E+6	
2.63467	5.30787E+6	2.63467	5.30787E+6	
2.63493	5.30417E+6	2.63493	5.30417E+6	
2.6352	5.30525E+6	2.6352	5.30525E+6	
2.63547	5.3071E+6	2.63547	5.3071E+6	
2.63573	5.30515E+6	2.63573	5.30515E+6	
2.636	5.30755E+6	2.636	5.30755E+6	
2.63627	5.30279E+6	2.63627	5.30279E+6	
2.63653	5.30641E+6	2.63653	5.30641E+6	
2.6368	5.30439E+6	2.6368	5.30439E+6	
2.63707	5.30686E+6	2.63707	5.30686E+6	
2.63733	5.30586E+6	2.63733	5.30586E+6	
2.6376	5.30495E+6	2.6376	5.30495E+6	
2.63787	5.30531E+6	2.63787	5.30531E+6	
2.63813	5.30637E+6	2.63813	5.30637E+6	
2.6384	5.30275E+6	2.6384	5.30275E+6	
2.63867	5.30128E+6	2.63867	5.30128E+6	
2.63893	5.30637E+6	2.63893	5.30637E+6	
2.6392	5.30504E+6	2.6392	5.30504E+6	
2.63947	5.30485E+6	2.63947	5.30485E+6	
2.63973	5.30325E+6	2.63973	5.30325E+6	
2.64	5.3082E+6	2.64	5.3082E+6	
2.64027	5.3063E+6	2.64027	5.3063E+6	
2.64053	5.30343E+6	2.64053	5.30343E+6	
2.6408	5.30828E+6	2.6408	5.30828E+6	
2.64107	5.30454E+6	2.64107	5.30454E+6	
2.64133	5.30425E+6	2.64133	5.30425E+6	
2.6416	5.30555E+6	2.6416	5.30555E+6	
2.64187	5.30654E+6	2.64187	5.30654E+6	
2.64213	5.30355E+6	2.64213	5.30355E+6	
2.6424	5.30186E+6	2.6424	5.30186E+6	
2.64267	5.31028E+6	2.64267	5.31028E+6	
2.64293	5.30932E+6	2.64293	5.30932E+6	
2.6432	5.30334E+6	2.6432	5.30334E+6	
2.64347	5.30489E+6	2.64347	5.30489E+6	
2.64373	5.30424E+6	2.64373	5.30424E+6	
2.644	5.30444E+6	2.644	5.30444E+6	
2.64427	5.30153E+6	2.64427	5.30153E+6	
2.64453	5.30592E+6	2.64453	5.30592E+6	
2.6448	5.30064E+6	2.6448	5.30064E+6	
2.64507	5.30426E+6	2.64507	5.30426E+6	
2.64533	5.30244E+6	2.64533	5.30244E+6	
2.6456	5.30139E+6	2.6456	5.30139E+6	
2.64587	5.29999E+6	2.64587	5.29999E+6	
2.64613	5.30215E+6	2.64613	5.30215E+6	
2.6464	5.3024E+6	2.6464	5.3024E+6	
2.64667	5.30347E+6	2.64667	5.30347E+6	
2.64693	5.29795E+6	2.64693	5.29795E+6	
2.6472	5.29852E+6	2.6472	5.29852E+6	
2.64747	5.29816E+6	2.64747	5.29816E+6	
2.64773	5.29653E+6	2.64773	5.29653E+6	
2.648	5.30295E+6	2.648	5.30295E+6	
2.64827	5.29846E+6	2.64827	5.29846E+6	
2.64853	5.30135E+6	2.64853	5.30135E+6	
2.6488	5.30093E+6	2.6488	5.30093E+6	
2.64907	5.30154E+6	2.64907	5.30154E+6	
2.64933	5.29955E+6	2.64933	5.29955E+6	
2.6496	5.2973E+6	2.6496	5.2973E+6	
2.64987	5.29907E+6	2.64987	5.29907E+6	
2.65013	5.30002E+6	2.65013	5.30002E+6	
2.6504	5.29924E+6	2.6504	5.29924E+6	
2.65067	5.2951E+6	2.65067	5.2951E+6	
2.65093	5.2973E+6	2.65093	5.2973E+6	
2.6512	5.29462E+6	2.6512	5.29462E+6	
2.65147	5.29639E+6	2.65147	5.29639E+6	
2.65173	5.29621E+6	2.65173	5.29621E+6	
2.652	5.29551E+6	2.652	5.29551E+6	
