Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.85	5.60023E+6	2.85	5.60023E+6	
2.85013	5.59698E+6	2.85013	5.59698E+6	
2.85027	5.59722E+6	2.85027	5.59722E+6	
2.8504	5.59682E+6	2.8504	5.59682E+6	
2.85053	5.59985E+6	2.85053	5.59985E+6	
2.85067	5.59863E+6	2.85067	5.59863E+6	
2.8508	5.59852E+6	2.8508	5.59852E+6	
2.85093	5.59825E+6	2.85093	5.59825E+6	
2.85107	5.59707E+6	2.85107	5.59707E+6	
2.8512	5.5988E+6	2.8512	5.5988E+6	
2.85133	5.59828E+6	2.85133	5.59828E+6	
2.85147	5.59722E+6	2.85147	5.59722E+6	
2.8516	5.59916E+6	2.8516	5.59916E+6	
2.85173	5.59857E+6	2.85173	5.59857E+6	
2.85187	5.59918E+6	2.85187	5.59918E+6	
2.852	5.59895E+6	2.852	5.59895E+6	
2.85213	5.59816E+6	2.85213	5.59816E+6	
2.85227	5.59702E+6	2.85227	5.59702E+6	
2.8524	5.59625E+6	2.8524	5.59625E+6	
2.85253	5.5961E+6	2.85253	5.5961E+6	
2.85267	5.59471E+6	2.85267	5.59471E+6	
2.8528	5.59712E+6	2.8528	5.59712E+6	
2.85293	5.59598E+6	2.85293	5.59598E+6	
2.85307	5.59945E+6	2.85307	5.59945E+6	
2.8532	5.5954E+6	2.8532	5.5954E+6	
2.85333	5.5969E+6	2.85333	5.5969E+6	
2.85347	5.59593E+6	2.85347	5.59593E+6	
2.8536	5.59378E+6	2.8536	5.59378E+6	
2.85373	5.59455E+6	2.85373	5.59455E+6	
2.85387	5.5963E+6	2.85387	5.5963E+6	
2.854	5.59685E+6	2.854	5.59685E+6	
2.85413	5.5935E+6	2.85413	5.5935E+6	
2.85427	5.59392E+6	2.85427	5.59392E+6	
2.8544	5.59569E+6	2.8544	5.59569E+6	
2.85453	5.59458E+6	2.85453	5.59458E+6	
2.85467	5.59571E+6	2.85467	5.59571E+6	
2.8548	5.59407E+6	2.8548	5.59407E+6	
2.85493	5.59362E+6	2.85493	5.59362E+6	
2.85507	5.59242E+6	2.85507	5.59242E+6	
2.8552	5.5907E+6	2.8552	5.5907E+6	
2.85533	5.593E+6	2.85533	5.593E+6	
2.85547	5.5904E+6	2.85547	5.5904E+6	
2.8556	5.58835E+6	2.8556	5.58835E+6	
2.85573	5.59013E+6	2.85573	5.59013E+6	
