Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.85	5.57384E+6	2.85	5.57384E+6	
2.85013	5.57472E+6	2.85013	5.57472E+6	
2.85027	5.57671E+6	2.85027	5.57671E+6	
2.8504	5.57536E+6	2.8504	5.57536E+6	
2.85053	5.57975E+6	2.85053	5.57975E+6	
2.85067	5.57479E+6	2.85067	5.57479E+6	
2.8508	5.57874E+6	2.8508	5.57874E+6	
2.85093	5.57606E+6	2.85093	5.57606E+6	
2.85107	5.57511E+6	2.85107	5.57511E+6	
2.8512	5.57646E+6	2.8512	5.57646E+6	
2.85133	5.57138E+6	2.85133	5.57138E+6	
2.85147	5.57685E+6	2.85147	5.57685E+6	
2.8516	5.57226E+6	2.8516	5.57226E+6	
2.85173	5.57669E+6	2.85173	5.57669E+6	
2.85187	5.57295E+6	2.85187	5.57295E+6	
2.852	5.57376E+6	2.852	5.57376E+6	
2.85213	5.57609E+6	2.85213	5.57609E+6	
2.85227	5.57661E+6	2.85227	5.57661E+6	
2.8524	5.5756E+6	2.8524	5.5756E+6	
2.85253	5.5734E+6	2.85253	5.5734E+6	
2.85267	5.5723E+6	2.85267	5.5723E+6	
2.8528	5.57188E+6	2.8528	5.57188E+6	
2.85293	5.5737E+6	2.85293	5.5737E+6	
2.85307	5.57658E+6	2.85307	5.57658E+6	
2.8532	5.57925E+6	2.8532	5.57925E+6	
2.85333	5.57565E+6	2.85333	5.57565E+6	
2.85347	5.57368E+6	2.85347	5.57368E+6	
2.8536	5.57549E+6	2.8536	5.57549E+6	
2.85373	5.57805E+6	2.85373	5.57805E+6	
2.85387	5.56942E+6	2.85387	5.56942E+6	
2.854	5.57582E+6	2.854	5.57582E+6	
2.85413	5.57926E+6	2.85413	5.57926E+6	
2.85427	5.57848E+6	2.85427	5.57848E+6	
2.8544	5.57588E+6	2.8544	5.57588E+6	
2.85453	5.57138E+6	2.85453	5.57138E+6	
2.85467	5.57411E+6	2.85467	5.57411E+6	
2.8548	5.57367E+6	2.8548	5.57367E+6	
2.85493	5.57275E+6	2.85493	5.57275E+6	
2.85507	5.57278E+6	2.85507	5.57278E+6	
