Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.5	9.3977E+6	2.5	9.3977E+6	
2.502	9.37062E+6	2.502	9.37062E+6	
2.504	9.40926E+6	2.504	9.40926E+6	
2.506	9.38418E+6	2.506	9.38418E+6	
2.508	9.39948E+6	2.508	9.39948E+6	
2.51	9.38794E+6	2.51	9.38794E+6	
2.512	9.39057E+6	2.512	9.39057E+6	
2.514	9.41218E+6	2.514	9.41218E+6	
2.516	9.44117E+6	2.516	9.44117E+6	
2.518	9.41596E+6	2.518	9.41596E+6	
2.52	9.38942E+6	2.52	9.38942E+6	
2.522	9.41685E+6	2.522	9.41685E+6	
2.524	9.44206E+6	2.524	9.44206E+6	
2.526	9.41147E+6	2.526	9.41147E+6	
2.528	9.39255E+6	2.528	9.39255E+6	
2.53	9.41459E+6	2.53	9.41459E+6	
2.532	9.41507E+6	2.532	9.41507E+6	
2.534	9.40146E+6	2.534	9.40146E+6	
2.536	9.44245E+6	2.536	9.44245E+6	
2.538	9.4041E+6	2.538	9.4041E+6	
2.54	9.41793E+6	2.54	9.41793E+6	
2.542	9.43248E+6	2.542	9.43248E+6	
2.544	9.44575E+6	2.544	9.44575E+6	
2.546	9.43041E+6	2.546	9.43041E+6	
2.548	9.45806E+6	2.548	9.45806E+6	
2.55	9.44533E+6	2.55	9.44533E+6	
2.552	9.46266E+6	2.552	9.46266E+6	
2.554	9.39254E+6	2.554	9.39254E+6	
2.556	9.38133E+6	2.556	9.38133E+6	
2.558	9.41169E+6	2.558	9.41169E+6	
2.56	9.30653E+6	2.56	9.30653E+6	
2.562	9.264E+6	2.562	9.264E+6	
2.564	9.11508E+6	2.564	9.11508E+6	
2.566	9.0362E+6	2.566	9.0362E+6	
2.568	8.93231E+6	2.568	8.93231E+6	
2.57	8.9144E+6	2.57	8.9144E+6	
2.572	8.98577E+6	2.572	8.98577E+6	
2.574	9.06445E+6	2.574	9.06445E+6	
2.576	9.20619E+6	2.576	9.20619E+6	
2.578	9.31575E+6	2.578	9.31575E+6	
2.58	9.38124E+6	2.58	9.38124E+6	
2.582	9.44254E+6	2.582	9.44254E+6	
2.584	9.45528E+6	2.584	9.45528E+6	
2.586	9.42269E+6	2.586	9.42269E+6	
2.588	9.46454E+6	2.588	9.46454E+6	
2.59	9.45811E+6	2.59	9.45811E+6	
