Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.5	9.51495E+6	2.5	9.51495E+6	
2.502	9.4638E+6	2.502	9.4638E+6	
2.504	9.51947E+6	2.504	9.51947E+6	
2.506	9.49207E+6	2.506	9.49207E+6	
2.508	9.5442E+6	2.508	9.5442E+6	
2.51	9.49677E+6	2.51	9.49677E+6	
2.512	9.54074E+6	2.512	9.54074E+6	
2.514	9.54508E+6	2.514	9.54508E+6	
2.516	9.52549E+6	2.516	9.52549E+6	
2.518	9.49815E+6	2.518	9.49815E+6	
2.52	9.49897E+6	2.52	9.49897E+6	
2.522	9.51616E+6	2.522	9.51616E+6	
2.524	9.55109E+6	2.524	9.55109E+6	
2.526	9.51037E+6	2.526	9.51037E+6	
2.528	9.5458E+6	2.528	9.5458E+6	
2.53	9.57574E+6	2.53	9.57574E+6	
2.532	9.52624E+6	2.532	9.52624E+6	
2.534	9.53417E+6	2.534	9.53417E+6	
2.536	9.5135E+6	2.536	9.5135E+6	
2.538	9.48337E+6	2.538	9.48337E+6	
2.54	9.53352E+6	2.54	9.53352E+6	
2.542	9.52212E+6	2.542	9.52212E+6	
2.544	9.51935E+6	2.544	9.51935E+6	
2.546	9.52917E+6	2.546	9.52917E+6	
2.548	9.5167E+6	2.548	9.5167E+6	
2.55	9.49941E+6	2.55	9.49941E+6	
2.552	9.53527E+6	2.552	9.53527E+6	
2.554	9.44029E+6	2.554	9.44029E+6	
2.556	9.4903E+6	2.556	9.4903E+6	
2.558	9.52671E+6	2.558	9.52671E+6	
2.56	9.48114E+6	2.56	9.48114E+6	
2.562	9.43039E+6	2.562	9.43039E+6	
2.564	9.3202E+6	2.564	9.3202E+6	
2.566	9.22928E+6	2.566	9.22928E+6	
2.568	9.02694E+6	2.568	9.02694E+6	
2.57	8.74881E+6	2.57	8.74881E+6	
2.572	8.70678E+6	2.572	8.70678E+6	
2.574	8.73462E+6	2.574	8.73462E+6	
2.576	8.80958E+6	2.576	8.80958E+6	
2.578	8.9912E+6	2.578	8.9912E+6	
2.58	9.21244E+6	2.58	9.21244E+6	
2.582	9.37178E+6	2.582	9.37178E+6	
2.584	9.45292E+6	2.584	9.45292E+6	
2.586	9.49229E+6	2.586	9.49229E+6	
2.588	9.55162E+6	2.588	9.55162E+6	
2.59	9.55603E+6	2.59	9.55603E+6	
2.592	9.54703E+6	2.592	9.54703E+6	
2.594	9.58252E+6	2.594	9.58252E+6	
2.596	9.59334E+6	2.596	9.59334E+6	
2.598	9.55754E+6	2.598	9.55754E+6	
2.6	9.5415E+6	2.6	9.5415E+6	
2.602	9.5469E+6	2.602	9.5469E+6	
2.604	9.58739E+6	2.604	9.58739E+6	
2.606	9.53862E+6	2.606	9.53862E+6	
2.608	9.61624E+6	2.608	9.61624E+6	
2.61	9.55883E+6	2.61	9.55883E+6	
2.612	9.52077E+6	2.612	9.52077E+6	
2.614	9.56634E+6	2.614	9.56634E+6	
2.616	9.54262E+6	2.616	9.54262E+6	
2.618	9.55454E+6	2.618	9.55454E+6	
2.62	9.55869E+6	2.62	9.55869E+6	
2.622	9.55426E+6	2.622	9.55426E+6	
2.624	9.55437E+6	2.624	9.55437E+6	
2.626	9.59346E+6	2.626	9.59346E+6	
2.628	9.52278E+6	2.628	9.52278E+6	
2.63	9.55258E+6	2.63	9.55258E+6	
2.632	9.54074E+6	2.632	9.54074E+6	
2.634	9.53104E+6	2.634	9.53104E+6	
2.636	9.4869E+6	2.636	9.4869E+6	
2.638	9.51017E+6	2.638	9.51017E+6	
2.64	9.54638E+6	2.64	9.54638E+6	
2.642	9.57765E+6	2.642	9.57765E+6	
2.644	9.51571E+6	2.644	9.51571E+6	
2.646	9.51079E+6	2.646	9.51079E+6	
