Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.5	3.44627E+6	2.5	3.44627E+6	
2.50175	3.45148E+6	2.50175	3.45148E+6	
2.50351	3.44893E+6	2.50351	3.44893E+6	
2.50526	3.44948E+6	2.50526	3.44948E+6	
2.50702	3.44722E+6	2.50702	3.44722E+6	
2.50877	3.44363E+6	2.50877	3.44363E+6	
2.51053	3.44371E+6	2.51053	3.44371E+6	
2.51228	3.44743E+6	2.51228	3.44743E+6	
2.51404	3.45266E+6	2.51404	3.45266E+6	
2.51579	3.44546E+6	2.51579	3.44546E+6	
2.51754	3.44275E+6	2.51754	3.44275E+6	
2.5193	3.447E+6	2.5193	3.447E+6	
2.52105	3.45609E+6	2.52105	3.45609E+6	
2.52281	3.45205E+6	2.52281	3.45205E+6	
2.52456	3.44281E+6	2.52456	3.44281E+6	
2.52632	3.44771E+6	2.52632	3.44771E+6	
2.52807	3.45267E+6	2.52807	3.45267E+6	
2.52982	3.45009E+6	2.52982	3.45009E+6	
2.53158	3.45707E+6	2.53158	3.45707E+6	
2.53333	3.44446E+6	2.53333	3.44446E+6	
2.53509	3.44665E+6	2.53509	3.44665E+6	
2.53684	3.45496E+6	2.53684	3.45496E+6	
2.5386	3.45068E+6	2.5386	3.45068E+6	
2.54035	3.44114E+6	2.54035	3.44114E+6	
2.54211	3.44246E+6	2.54211	3.44246E+6	
2.54386	3.44623E+6	2.54386	3.44623E+6	
2.54561	3.45264E+6	2.54561	3.45264E+6	
2.54737	3.44563E+6	2.54737	3.44563E+6	
2.54912	3.44761E+6	2.54912	3.44761E+6	
2.55088	3.44399E+6	2.55088	3.44399E+6	
2.55263	3.44487E+6	2.55263	3.44487E+6	
2.55439	3.44552E+6	2.55439	3.44552E+6	
2.55614	3.44591E+6	2.55614	3.44591E+6	
2.55789	3.45363E+6	2.55789	3.45363E+6	
2.55965	3.44626E+6	2.55965	3.44626E+6	
2.5614	3.43894E+6	2.5614	3.43894E+6	
2.56316	3.45194E+6	2.56316	3.45194E+6	
2.56491	3.44997E+6	2.56491	3.44997E+6	
2.56667	3.447E+6	2.56667	3.447E+6	
2.56842	3.43919E+6	2.56842	3.43919E+6	
2.57018	3.44005E+6	2.57018	3.44005E+6	
2.57193	3.45146E+6	2.57193	3.45146E+6	
2.57368	3.44865E+6	2.57368	3.44865E+6	
2.57544	3.45541E+6	2.57544	3.45541E+6	
2.57719	3.44458E+6	2.57719	3.44458E+6	
