Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.5	1.70427E+6	2.5	1.70427E+6	
2.502	1.70246E+6	2.502	1.70246E+6	
2.504	1.69005E+6	2.504	1.69005E+6	
2.506	1.71287E+6	2.506	1.71287E+6	
2.508	1.7005E+6	2.508	1.7005E+6	
2.51	1.70921E+6	2.51	1.70921E+6	
2.512	1.70309E+6	2.512	1.70309E+6	
2.514	1.68905E+6	2.514	1.68905E+6	
2.516	1.70866E+6	2.516	1.70866E+6	
2.518	1.67574E+6	2.518	1.67574E+6	
2.52	1.71401E+6	2.52	1.71401E+6	
2.522	1.69821E+6	2.522	1.69821E+6	
2.524	1.67261E+6	2.524	1.67261E+6	
2.526	1.68343E+6	2.526	1.68343E+6	
2.528	1.70065E+6	2.528	1.70065E+6	
2.53	1.68993E+6	2.53	1.68993E+6	
2.532	1.70385E+6	2.532	1.70385E+6	
2.534	1.6976E+6	2.534	1.6976E+6	
2.536	1.66164E+6	2.536	1.66164E+6	
2.538	1.68754E+6	2.538	1.68754E+6	
2.54	1.68034E+6	2.54	1.68034E+6	
2.542	1.68669E+6	2.542	1.68669E+6	
2.544	1.67824E+6	2.544	1.67824E+6	
2.546	1.68252E+6	2.546	1.68252E+6	
2.548	1.684E+6	2.548	1.684E+6	
2.55	1.69238E+6	2.55	1.69238E+6	
2.552	1.6835E+6	2.552	1.6835E+6	
2.554	1.67861E+6	2.554	1.67861E+6	
2.556	1.68752E+6	2.556	1.68752E+6	
2.558	1.70378E+6	2.558	1.70378E+6	
2.56	1.6917E+6	2.56	1.6917E+6	
2.562	1.68099E+6	2.562	1.68099E+6	
2.564	1.69706E+6	2.564	1.69706E+6	
2.566	1.67665E+6	2.566	1.67665E+6	
2.568	1.69223E+6	2.568	1.69223E+6	
2.57	1.67441E+6	2.57	1.67441E+6	
2.572	1.68591E+6	2.572	1.68591E+6	
2.574	1.66514E+6	2.574	1.66514E+6	
2.576	1.66072E+6	2.576	1.66072E+6	
2.578	1.66688E+6	2.578	1.66688E+6	
2.58	1.66108E+6	2.58	1.66108E+6	
2.582	1.69956E+6	2.582	1.69956E+6	
2.584	1.64679E+6	2.584	1.64679E+6	
2.586	1.66847E+6	2.586	1.66847E+6	
2.588	1.64539E+6	2.588	1.64539E+6	
2.59	1.64437E+6	2.59	1.64437E+6	
2.592	1.59006E+6	2.592	1.59006E+6	
2.594	1.51624E+6	2.594	1.51624E+6	
2.596	1.37547E+6	2.596	1.37547E+6	
2.598	1.35698E+6	2.598	1.35698E+6	
2.6	1.3447E+6	2.6	1.3447E+6	
2.602	1.30716E+6	2.602	1.30716E+6	
2.604	1.28831E+6	2.604	1.28831E+6	
2.606	1.28445E+6	2.606	1.28445E+6	
2.608	1.32391E+6	2.608	1.32391E+6	
2.61	1.38823E+6	2.61	1.38823E+6	
2.612	1.4772E+6	2.612	1.4772E+6	
2.614	1.50968E+6	2.614	1.50968E+6	
2.616	1.5693E+6	2.616	1.5693E+6	
2.618	1.61333E+6	2.618	1.61333E+6	
2.62	1.63525E+6	2.62	1.63525E+6	
2.622	1.65951E+6	2.622	1.65951E+6	
2.624	1.66118E+6	2.624	1.66118E+6	
2.626	1.68332E+6	2.626	1.68332E+6	
2.628	1.69961E+6	2.628	1.69961E+6	
2.63	1.7171E+6	2.63	1.7171E+6	
2.632	1.76146E+6	2.632	1.76146E+6	
2.634	1.83199E+6	2.634	1.83199E+6	
2.636	1.87069E+6	2.636	1.87069E+6	
2.638	1.87481E+6	2.638	1.87481E+6	
2.64	1.88186E+6	2.64	1.88186E+6	
2.642	1.86695E+6	2.642	1.86695E+6	
2.644	1.85908E+6	2.644	1.85908E+6	
2.646	1.80464E+6	2.646	1.80464E+6	
2.648	1.78376E+6	2.648	1.78376E+6	
2.65	1.72523E+6	2.65	1.72523E+6	
2.652	1.71427E+6	2.652	1.71427E+6	
2.654	1.72033E+6	2.654	1.72033E+6	
2.656	1.68696E+6	2.656	1.68696E+6	
2.658	1.69361E+6	2.658	1.69361E+6	
2.66	1.69435E+6	2.66	1.69435E+6	
2.662	1.69632E+6	2.662	1.69632E+6	
2.664	1.70164E+6	2.664	1.70164E+6	
2.666	1.69067E+6	2.666	1.69067E+6	
2.668	1.69689E+6	2.668	1.69689E+6	
2.67	1.69961E+6	2.67	1.69961E+6	
2.672	1.6938E+6	2.672	1.6938E+6	
2.674	1.69549E+6	2.674	1.69549E+6	
2.676	1.69629E+6	2.676	1.69629E+6	
2.678	1.68082E+6	2.678	1.68082E+6	
2.68	1.66596E+6	2.68	1.66596E+6	
2.682	1.67805E+6	2.682	1.67805E+6	
2.684	1.69078E+6	2.684	1.69078E+6	
2.686	1.67386E+6	2.686	1.67386E+6	
2.688	1.66998E+6	2.688	1.66998E+6	
2.69	1.68129E+6	2.69	1.68129E+6	
2.692	1.69409E+6	2.692	1.69409E+6	
2.694	1.67117E+6	2.694	1.67117E+6	
2.696	1.67049E+6	2.696	1.67049E+6	
2.698	1.69734E+6	2.698	1.69734E+6	
2.7	1.69495E+6	2.7	1.69495E+6	
2.702	1.69718E+6	2.702	1.69718E+6	
2.704	1.70694E+6	2.704	1.70694E+6	
2.706	1.687E+6	2.706	1.687E+6	
2.708	1.69158E+6	2.708	1.69158E+6	
2.71	1.67536E+6	2.71	1.67536E+6	
2.712	1.68294E+6	2.712	1.68294E+6	
2.714	1.68034E+6	2.714	1.68034E+6	
2.716	1.68524E+6	2.716	1.68524E+6	
2.718	1.68888E+6	2.718	1.68888E+6	
2.72	1.69996E+6	2.72	1.69996E+6	
2.722	1.67203E+6	2.722	1.67203E+6	
2.724	1.67901E+6	2.724	1.67901E+6	
2.726	1.66271E+6	2.726	1.66271E+6	
2.728	1.67138E+6	2.728	1.67138E+6	
2.73	1.68216E+6	2.73	1.68216E+6	
2.732	1.66629E+6	2.732	1.66629E+6	
2.734	1.69924E+6	2.734	1.69924E+6	
2.736	1.68536E+6	2.736	1.68536E+6	
2.738	1.67671E+6	2.738	1.67671E+6	
2.74	1.67007E+6	2.74	1.67007E+6	
2.742	1.67332E+6	2.742	1.67332E+6	
2.744	1.67721E+6	2.744	1.67721E+6	
2.746	1.69497E+6	2.746	1.69497E+6	
2.748	1.66973E+6	2.748	1.66973E+6	
2.75	1.69363E+6	2.75	1.69363E+6	
2.752	1.65767E+6	2.752	1.65767E+6	
2.754	1.67614E+6	2.754	1.67614E+6	
2.756	1.67125E+6	2.756	1.67125E+6	
2.758	1.68909E+6	2.758	1.68909E+6	
2.76	1.67886E+6	2.76	1.67886E+6	
2.762	1.70792E+6	2.762	1.70792E+6	
2.764	1.68947E+6	2.764	1.68947E+6	
2.766	1.70119E+6	2.766	1.70119E+6	
2.768	1.6895E+6	2.768	1.6895E+6	
2.77	1.688E+6	2.77	1.688E+6	
2.772	1.68047E+6	2.772	1.68047E+6	
2.774	1.69047E+6	2.774	1.69047E+6	
2.776	1.65777E+6	2.776	1.65777E+6	
2.778	1.70307E+6	2.778	1.70307E+6	
2.78	1.7023E+6	2.78	1.7023E+6	
2.782	1.69877E+6	2.782	1.69877E+6	
2.784	1.69328E+6	2.784	1.69328E+6	
2.786	1.69243E+6	2.786	1.69243E+6	
2.788	1.70043E+6	2.788	1.70043E+6	
2.79	1.68765E+6	2.79	1.68765E+6	
2.792	1.69962E+6	2.792	1.69962E+6	
2.794	1.69827E+6	2.794	1.69827E+6	
2.796	1.70774E+6	2.796	1.70774E+6	
2.798	1.72072E+6	2.798	1.72072E+6	
2.8	1.71135E+6	2.8	1.71135E+6	
2.802	1.70842E+6	2.802	1.70842E+6	
2.804	1.70725E+6	2.804	1.70725E+6	
2.806	1.72709E+6	2.806	1.72709E+6	
