Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.5	1.71114E+6	2.5	1.71114E+6	
2.502	1.70496E+6	2.502	1.70496E+6	
2.504	1.74429E+6	2.504	1.74429E+6	
2.506	1.73102E+6	2.506	1.73102E+6	
2.508	1.72151E+6	2.508	1.72151E+6	
2.51	1.72371E+6	2.51	1.72371E+6	
2.512	1.73132E+6	2.512	1.73132E+6	
2.514	1.70743E+6	2.514	1.70743E+6	
2.516	1.71792E+6	2.516	1.71792E+6	
2.518	1.7135E+6	2.518	1.7135E+6	
2.52	1.7254E+6	2.52	1.7254E+6	
2.522	1.71571E+6	2.522	1.71571E+6	
2.524	1.69521E+6	2.524	1.69521E+6	
2.526	1.7108E+6	2.526	1.7108E+6	
2.528	1.71883E+6	2.528	1.71883E+6	
2.53	1.71261E+6	2.53	1.71261E+6	
2.532	1.71803E+6	2.532	1.71803E+6	
2.534	1.7314E+6	2.534	1.7314E+6	
2.536	1.72578E+6	2.536	1.72578E+6	
2.538	1.72421E+6	2.538	1.72421E+6	
2.54	1.71309E+6	2.54	1.71309E+6	
2.542	1.73484E+6	2.542	1.73484E+6	
2.544	1.72796E+6	2.544	1.72796E+6	
2.546	1.72576E+6	2.546	1.72576E+6	
2.548	1.70532E+6	2.548	1.70532E+6	
2.55	1.71742E+6	2.55	1.71742E+6	
2.552	1.70381E+6	2.552	1.70381E+6	
2.554	1.71339E+6	2.554	1.71339E+6	
2.556	1.72011E+6	2.556	1.72011E+6	
2.558	1.73258E+6	2.558	1.73258E+6	
2.56	1.71518E+6	2.56	1.71518E+6	
2.562	1.74458E+6	2.562	1.74458E+6	
2.564	1.71031E+6	2.564	1.71031E+6	
2.566	1.73382E+6	2.566	1.73382E+6	
2.568	1.71561E+6	2.568	1.71561E+6	
2.57	1.72727E+6	2.57	1.72727E+6	
2.572	1.71556E+6	2.572	1.71556E+6	
2.574	1.70054E+6	2.574	1.70054E+6	
2.576	1.71757E+6	2.576	1.71757E+6	
2.578	1.7057E+6	2.578	1.7057E+6	
2.58	1.72449E+6	2.58	1.72449E+6	
2.582	1.72197E+6	2.582	1.72197E+6	
2.584	1.71469E+6	2.584	1.71469E+6	
2.586	1.73029E+6	2.586	1.73029E+6	
2.588	1.73567E+6	2.588	1.73567E+6	
2.59	1.71805E+6	2.59	1.71805E+6	
2.592	1.72575E+6	2.592	1.72575E+6	
2.594	1.70525E+6	2.594	1.70525E+6	
2.596	1.70171E+6	2.596	1.70171E+6	
2.598	1.69741E+6	2.598	1.69741E+6	
2.6	1.69583E+6	2.6	1.69583E+6	
2.602	1.73062E+6	2.602	1.73062E+6	
2.604	1.72705E+6	2.604	1.72705E+6	
2.606	1.71078E+6	2.606	1.71078E+6	
2.608	1.69741E+6	2.608	1.69741E+6	
2.61	1.7214E+6	2.61	1.7214E+6	
2.612	1.70386E+6	2.612	1.70386E+6	
2.614	1.68667E+6	2.614	1.68667E+6	
2.616	1.69632E+6	2.616	1.69632E+6	
2.618	1.69888E+6	2.618	1.69888E+6	
2.62	1.6677E+6	2.62	1.6677E+6	
2.622	1.62562E+6	2.622	1.62562E+6	
2.624	1.60739E+6	2.624	1.60739E+6	
2.626	1.53832E+6	2.626	1.53832E+6	
2.628	1.50042E+6	2.628	1.50042E+6	
2.63	1.4672E+6	2.63	1.4672E+6	
2.632	1.50014E+6	2.632	1.50014E+6	
2.634	1.56945E+6	2.634	1.56945E+6	
2.636	1.61606E+6	2.636	1.61606E+6	
2.638	1.66248E+6	2.638	1.66248E+6	
2.64	1.6894E+6	2.64	1.6894E+6	
2.642	1.71087E+6	2.642	1.71087E+6	
2.644	1.71849E+6	2.644	1.71849E+6	
2.646	1.70612E+6	2.646	1.70612E+6	
2.648	1.69759E+6	2.648	1.69759E+6	
2.65	1.70052E+6	2.65	1.70052E+6	
2.652	1.69686E+6	2.652	1.69686E+6	
2.654	1.70601E+6	2.654	1.70601E+6	
2.656	1.69843E+6	2.656	1.69843E+6	
2.658	1.71315E+6	2.658	1.71315E+6	
2.66	1.72052E+6	2.66	1.72052E+6	
2.662	1.69769E+6	2.662	1.69769E+6	
2.664	1.70578E+6	2.664	1.70578E+6	
2.666	1.70983E+6	2.666	1.70983E+6	
2.668	1.70259E+6	2.668	1.70259E+6	
2.67	1.70658E+6	2.67	1.70658E+6	
2.672	1.70484E+6	2.672	1.70484E+6	
2.674	1.70479E+6	2.674	1.70479E+6	
2.676	1.72231E+6	2.676	1.72231E+6	
2.678	1.70156E+6	2.678	1.70156E+6	
2.68	1.70437E+6	2.68	1.70437E+6	
2.682	1.71854E+6	2.682	1.71854E+6	
2.684	1.72396E+6	2.684	1.72396E+6	
2.686	1.69284E+6	2.686	1.69284E+6	
2.688	1.72356E+6	2.688	1.72356E+6	
2.69	1.7058E+6	2.69	1.7058E+6	
2.692	1.70098E+6	2.692	1.70098E+6	
2.694	1.71378E+6	2.694	1.71378E+6	
2.696	1.69392E+6	2.696	1.69392E+6	
2.698	1.71989E+6	2.698	1.71989E+6	
2.7	1.71357E+6	2.7	1.71357E+6	
2.702	1.74621E+6	2.702	1.74621E+6	
2.704	1.72154E+6	2.704	1.72154E+6	
2.706	1.70991E+6	2.706	1.70991E+6	
2.708	1.701E+6	2.708	1.701E+6	
2.71	1.7338E+6	2.71	1.7338E+6	
2.712	1.73643E+6	2.712	1.73643E+6	
2.714	1.72713E+6	2.714	1.72713E+6	
2.716	1.72826E+6	2.716	1.72826E+6	
2.718	1.72225E+6	2.718	1.72225E+6	
2.72	1.70523E+6	2.72	1.70523E+6	
2.722	1.73693E+6	2.722	1.73693E+6	
2.724	1.73183E+6	2.724	1.73183E+6	
2.726	1.71527E+6	2.726	1.71527E+6	
2.728	1.72345E+6	2.728	1.72345E+6	
2.73	1.7248E+6	2.73	1.7248E+6	
2.732	1.73955E+6	2.732	1.73955E+6	
2.734	1.7288E+6	2.734	1.7288E+6	
2.736	1.71902E+6	2.736	1.71902E+6	
2.738	1.71855E+6	2.738	1.71855E+6	
2.74	1.738E+6	2.74	1.738E+6	
2.742	1.73937E+6	2.742	1.73937E+6	
2.744	1.72374E+6	2.744	1.72374E+6	
2.746	1.73902E+6	2.746	1.73902E+6	
2.748	1.7316E+6	2.748	1.7316E+6	
2.75	1.73442E+6	2.75	1.73442E+6	
2.752	1.73085E+6	2.752	1.73085E+6	
2.754	1.75871E+6	2.754	1.75871E+6	
2.756	1.77388E+6	2.756	1.77388E+6	
2.758	1.79146E+6	2.758	1.79146E+6	
2.76	1.85328E+6	2.76	1.85328E+6	
2.762	1.80895E+6	2.762	1.80895E+6	
2.764	1.66148E+6	2.764	1.66148E+6	
2.766	1.73919E+6	2.766	1.73919E+6	
2.768	1.85508E+6	2.768	1.85508E+6	
2.77	1.91986E+6	2.77	1.91986E+6	
2.772	1.93955E+6	2.772	1.93955E+6	
2.774	1.95112E+6	2.774	1.95112E+6	
2.776	1.9263E+6	2.776	1.9263E+6	
2.778	1.90233E+6	2.778	1.90233E+6	
2.78	1.85134E+6	2.78	1.85134E+6	
