Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.5	5.77196E+6	2.5	5.77196E+6	
2.502	5.77453E+6	2.502	5.77453E+6	
2.504	5.77227E+6	2.504	5.77227E+6	
2.506	5.77058E+6	2.506	5.77058E+6	
2.508	5.77031E+6	2.508	5.77031E+6	
2.51	5.77233E+6	2.51	5.77233E+6	
2.512	5.77176E+6	2.512	5.77176E+6	
2.514	5.77376E+6	2.514	5.77376E+6	
2.516	5.77016E+6	2.516	5.77016E+6	
2.518	5.76971E+6	2.518	5.76971E+6	
2.52	5.77569E+6	2.52	5.77569E+6	
2.522	5.77146E+6	2.522	5.77146E+6	
2.524	5.7729E+6	2.524	5.7729E+6	
2.526	5.77784E+6	2.526	5.77784E+6	
2.528	5.76692E+6	2.528	5.76692E+6	
2.53	5.77443E+6	2.53	5.77443E+6	
2.532	5.77665E+6	2.532	5.77665E+6	
2.534	5.77307E+6	2.534	5.77307E+6	
2.536	5.76956E+6	2.536	5.76956E+6	
2.538	5.77304E+6	2.538	5.77304E+6	
2.54	5.77111E+6	2.54	5.77111E+6	
2.542	5.77297E+6	2.542	5.77297E+6	
2.544	5.77672E+6	2.544	5.77672E+6	
2.546	5.77325E+6	2.546	5.77325E+6	
2.548	5.77329E+6	2.548	5.77329E+6	
2.55	5.77397E+6	2.55	5.77397E+6	
2.552	5.76984E+6	2.552	5.76984E+6	
2.554	5.77009E+6	2.554	5.77009E+6	
2.556	5.77745E+6	2.556	5.77745E+6	
2.558	5.77352E+6	2.558	5.77352E+6	
2.56	5.76993E+6	2.56	5.76993E+6	
2.562	5.76946E+6	2.562	5.76946E+6	
2.564	5.77719E+6	2.564	5.77719E+6	
2.566	5.76804E+6	2.566	5.76804E+6	
2.568	5.77133E+6	2.568	5.77133E+6	
2.57	5.76451E+6	2.57	5.76451E+6	
2.572	5.77007E+6	2.572	5.77007E+6	
2.574	5.77091E+6	2.574	5.77091E+6	
2.576	5.77195E+6	2.576	5.77195E+6	
2.578	5.76906E+6	2.578	5.76906E+6	
2.58	5.77203E+6	2.58	5.77203E+6	
2.582	5.77138E+6	2.582	5.77138E+6	
2.584	5.77061E+6	2.584	5.77061E+6	
2.586	5.77155E+6	2.586	5.77155E+6	
2.588	5.76103E+6	2.588	5.76103E+6	
2.59	5.76874E+6	2.59	5.76874E+6	
2.592	5.76715E+6	2.592	5.76715E+6	
2.594	5.76902E+6	2.594	5.76902E+6	
2.596	5.77084E+6	2.596	5.77084E+6	
2.598	5.77106E+6	2.598	5.77106E+6	
2.6	5.77202E+6	2.6	5.77202E+6	
2.602	5.76833E+6	2.602	5.76833E+6	
2.604	5.77591E+6	2.604	5.77591E+6	
2.606	5.76917E+6	2.606	5.76917E+6	
2.608	5.77232E+6	2.608	5.77232E+6	
2.61	5.77403E+6	2.61	5.77403E+6	
2.612	5.77422E+6	2.612	5.77422E+6	
2.614	5.77669E+6	2.614	5.77669E+6	
2.616	5.76521E+6	2.616	5.76521E+6	
2.618	5.7663E+6	2.618	5.7663E+6	
2.62	5.77002E+6	2.62	5.77002E+6	
2.622	5.76905E+6	2.622	5.76905E+6	
2.624	5.77259E+6	2.624	5.77259E+6	
2.626	5.77414E+6	2.626	5.77414E+6	
2.628	5.76992E+6	2.628	5.76992E+6	
2.63	5.76939E+6	2.63	5.76939E+6	
2.632	5.76965E+6	2.632	5.76965E+6	
2.634	5.7741E+6	2.634	5.7741E+6	
2.636	5.76737E+6	2.636	5.76737E+6	
2.638	5.77151E+6	2.638	5.77151E+6	
2.64	5.77071E+6	2.64	5.77071E+6	
2.642	5.77411E+6	2.642	5.77411E+6	
2.644	5.77096E+6	2.644	5.77096E+6	
2.646	5.77184E+6	2.646	5.77184E+6	
2.648	5.77015E+6	2.648	5.77015E+6	
2.65	5.7651E+6	2.65	5.7651E+6	
2.652	5.76716E+6	2.652	5.76716E+6	
2.654	5.77576E+6	2.654	5.77576E+6	
2.656	5.76445E+6	2.656	5.76445E+6	
2.658	5.77029E+6	2.658	5.77029E+6	
2.66	5.77237E+6	2.66	5.77237E+6	
2.662	5.77312E+6	2.662	5.77312E+6	
2.664	5.77124E+6	2.664	5.77124E+6	
2.666	5.76929E+6	2.666	5.76929E+6	
2.668	5.77113E+6	2.668	5.77113E+6	
2.67	5.77271E+6	2.67	5.77271E+6	
2.672	5.77989E+6	2.672	5.77989E+6	
2.674	5.77559E+6	2.674	5.77559E+6	
2.676	5.76891E+6	2.676	5.76891E+6	
2.678	5.77507E+6	2.678	5.77507E+6	
2.68	5.77055E+6	2.68	5.77055E+6	
2.682	5.77869E+6	2.682	5.77869E+6	
2.684	5.77483E+6	2.684	5.77483E+6	
2.686	5.77849E+6	2.686	5.77849E+6	
2.688	5.77268E+6	2.688	5.77268E+6	
2.69	5.76823E+6	2.69	5.76823E+6	
2.692	5.77629E+6	2.692	5.77629E+6	
2.694	5.77028E+6	2.694	5.77028E+6	
2.696	5.76812E+6	2.696	5.76812E+6	
2.698	5.75765E+6	2.698	5.75765E+6	
2.7	5.74019E+6	2.7	5.74019E+6	
2.702	5.73636E+6	2.702	5.73636E+6	
2.704	5.73964E+6	2.704	5.73964E+6	
2.706	5.73993E+6	2.706	5.73993E+6	
2.708	5.75215E+6	2.708	5.75215E+6	
2.71	5.75872E+6	2.71	5.75872E+6	
2.712	5.76046E+6	2.712	5.76046E+6	
2.714	5.75939E+6	2.714	5.75939E+6	
2.716	5.76081E+6	2.716	5.76081E+6	
2.718	5.7665E+6	2.718	5.7665E+6	
2.72	5.76626E+6	2.72	5.76626E+6	
2.722	5.76777E+6	2.722	5.76777E+6	
2.724	5.76786E+6	2.724	5.76786E+6	
2.726	5.77066E+6	2.726	5.77066E+6	
2.728	5.77373E+6	2.728	5.77373E+6	
