Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.4	6.11624E+6	2.4	6.11624E+6	
2.4016	6.13407E+6	2.4016	6.13407E+6	
2.40321	6.12488E+6	2.40321	6.12488E+6	
2.40481	6.13992E+6	2.40481	6.13992E+6	
2.40641	6.12002E+6	2.40641	6.12002E+6	
2.40802	6.12855E+6	2.40802	6.12855E+6	
2.40962	6.17004E+6	2.40962	6.17004E+6	
2.41122	6.15198E+6	2.41122	6.15198E+6	
2.41283	6.15607E+6	2.41283	6.15607E+6	
2.41443	6.14411E+6	2.41443	6.14411E+6	
2.41603	6.13909E+6	2.41603	6.13909E+6	
2.41764	6.16058E+6	2.41764	6.16058E+6	
2.41924	6.13035E+6	2.41924	6.13035E+6	
2.42084	6.15917E+6	2.42084	6.15917E+6	
2.42244	6.15114E+6	2.42244	6.15114E+6	
2.42405	6.15321E+6	2.42405	6.15321E+6	
2.42565	6.14995E+6	2.42565	6.14995E+6	
2.42725	6.15257E+6	2.42725	6.15257E+6	
2.42886	6.14548E+6	2.42886	6.14548E+6	
2.43046	6.16035E+6	2.43046	6.16035E+6	
2.43206	6.15482E+6	2.43206	6.15482E+6	
2.43367	6.13119E+6	2.43367	6.13119E+6	
2.43527	6.16184E+6	2.43527	6.16184E+6	
2.43687	6.16428E+6	2.43687	6.16428E+6	
2.43848	6.12468E+6	2.43848	6.12468E+6	
2.44008	6.13917E+6	2.44008	6.13917E+6	
2.44168	6.16465E+6	2.44168	6.16465E+6	
2.44329	6.15575E+6	2.44329	6.15575E+6	
2.44489	6.14134E+6	2.44489	6.14134E+6	
2.44649	6.11538E+6	2.44649	6.11538E+6	
2.4481	6.14631E+6	2.4481	6.14631E+6	
2.4497	6.15467E+6	2.4497	6.15467E+6	
2.4513	6.11552E+6	2.4513	6.11552E+6	
2.45291	6.17841E+6	2.45291	6.17841E+6	
2.45451	6.14621E+6	2.45451	6.14621E+6	
2.45611	6.15392E+6	2.45611	6.15392E+6	
2.45772	6.13095E+6	2.45772	6.13095E+6	
2.45932	6.16379E+6	2.45932	6.16379E+6	
2.46092	6.16438E+6	2.46092	6.16438E+6	
2.46253	6.16392E+6	2.46253	6.16392E+6	
2.46413	6.13117E+6	2.46413	6.13117E+6	
2.46573	6.12782E+6	2.46573	6.12782E+6	
2.46733	6.15631E+6	2.46733	6.15631E+6	
2.46894	6.15099E+6	2.46894	6.15099E+6	
2.47054	6.12852E+6	2.47054	6.12852E+6	
2.47214	6.12147E+6	2.47214	6.12147E+6	
2.47375	6.13671E+6	2.47375	6.13671E+6	
2.47535	6.16971E+6	2.47535	6.16971E+6	
2.47695	6.16791E+6	2.47695	6.16791E+6	
2.47856	6.11067E+6	2.47856	6.11067E+6	
2.48016	6.16099E+6	2.48016	6.16099E+6	
2.48176	6.18135E+6	2.48176	6.18135E+6	
2.48337	6.15634E+6	2.48337	6.15634E+6	
2.48497	6.14761E+6	2.48497	6.14761E+6	
2.48657	6.15938E+6	2.48657	6.15938E+6	
2.48818	6.15759E+6	2.48818	6.15759E+6	
2.48978	6.12777E+6	2.48978	6.12777E+6	
2.49138	6.15389E+6	2.49138	6.15389E+6	
2.49299	6.16505E+6	2.49299	6.16505E+6	
2.49459	6.16602E+6	2.49459	6.16602E+6	
2.49619	6.14561E+6	2.49619	6.14561E+6	
2.4978	6.13349E+6	2.4978	6.13349E+6	
2.4994	6.15422E+6	2.4994	6.15422E+6	
