Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.2	1.73577E+6	2.2	1.73577E+6	
2.202	1.74465E+6	2.202	1.74465E+6	
2.20401	1.74717E+6	2.20401	1.74717E+6	
2.20601	1.74746E+6	2.20601	1.74746E+6	
2.20802	1.74615E+6	2.20802	1.74615E+6	
2.21002	1.7515E+6	2.21002	1.7515E+6	
2.21202	1.75255E+6	2.21202	1.75255E+6	
2.21403	1.75186E+6	2.21403	1.75186E+6	
2.21603	1.7613E+6	2.21603	1.7613E+6	
2.21804	1.76464E+6	2.21804	1.76464E+6	
2.22004	1.76287E+6	2.22004	1.76287E+6	
2.22204	1.75452E+6	2.22204	1.75452E+6	
2.22405	1.75342E+6	2.22405	1.75342E+6	
2.22605	1.76499E+6	2.22605	1.76499E+6	
2.22806	1.75944E+6	2.22806	1.75944E+6	
2.23006	1.76039E+6	2.23006	1.76039E+6	
2.23206	1.75468E+6	2.23206	1.75468E+6	
2.23407	1.75532E+6	2.23407	1.75532E+6	
2.23607	1.76359E+6	2.23607	1.76359E+6	
2.23808	1.76796E+6	2.23808	1.76796E+6	
2.24008	1.7597E+6	2.24008	1.7597E+6	
2.24208	1.77211E+6	2.24208	1.77211E+6	
2.24409	1.76679E+6	2.24409	1.76679E+6	
2.24609	1.7563E+6	2.24609	1.7563E+6	
2.2481	1.75608E+6	2.2481	1.75608E+6	
2.2501	1.76419E+6	2.2501	1.76419E+6	
2.2521	1.76484E+6	2.2521	1.76484E+6	
2.25411	1.76323E+6	2.25411	1.76323E+6	
2.25611	1.75888E+6	2.25611	1.75888E+6	
2.25812	1.76926E+6	2.25812	1.76926E+6	
2.26012	1.76395E+6	2.26012	1.76395E+6	
2.26212	1.75199E+6	2.26212	1.75199E+6	
2.26413	1.76256E+6	2.26413	1.76256E+6	
2.26613	1.76706E+6	2.26613	1.76706E+6	
2.26814	1.76629E+6	2.26814	1.76629E+6	
2.27014	1.76142E+6	2.27014	1.76142E+6	
2.27214	1.75444E+6	2.27214	1.75444E+6	
2.27415	1.76248E+6	2.27415	1.76248E+6	
2.27615	1.76818E+6	2.27615	1.76818E+6	
2.27816	1.76177E+6	2.27816	1.76177E+6	
2.28016	1.76085E+6	2.28016	1.76085E+6	
2.28216	1.76463E+6	2.28216	1.76463E+6	
2.28417	1.76726E+6	2.28417	1.76726E+6	
2.28617	1.75483E+6	2.28617	1.75483E+6	
2.28818	1.76358E+6	2.28818	1.76358E+6	
2.29018	1.76503E+6	2.29018	1.76503E+6	
2.29218	1.76725E+6	2.29218	1.76725E+6	
2.29419	1.76106E+6	2.29419	1.76106E+6	
2.29619	1.75983E+6	2.29619	1.75983E+6	
2.2982	1.7599E+6	2.2982	1.7599E+6	
2.3002	1.7661E+6	2.3002	1.7661E+6	
2.3022	1.76064E+6	2.3022	1.76064E+6	
2.30421	1.76208E+6	2.30421	1.76208E+6	
2.30621	1.76752E+6	2.30621	1.76752E+6	
2.30822	1.76552E+6	2.30822	1.76552E+6	
2.31022	1.76345E+6	2.31022	1.76345E+6	
2.31222	1.75964E+6	2.31222	1.75964E+6	
2.31423	1.76801E+6	2.31423	1.76801E+6	
2.31623	1.76886E+6	2.31623	1.76886E+6	
2.31824	1.75695E+6	2.31824	1.75695E+6	
2.32024	1.75619E+6	2.32024	1.75619E+6	
2.32224	1.76768E+6	2.32224	1.76768E+6	
2.32425	1.76188E+6	2.32425	1.76188E+6	
2.32625	1.76151E+6	2.32625	1.76151E+6	
2.32826	1.75997E+6	2.32826	1.75997E+6	
2.33026	1.77135E+6	2.33026	1.77135E+6	
2.33226	1.77219E+6	2.33226	1.77219E+6	
2.33427	1.75962E+6	2.33427	1.75962E+6	
2.33627	1.75645E+6	2.33627	1.75645E+6	
2.33828	1.7659E+6	2.33828	1.7659E+6	
2.34028	1.76626E+6	2.34028	1.76626E+6	
2.34228	1.75273E+6	2.34228	1.75273E+6	
2.34429	1.7609E+6	2.34429	1.7609E+6	
2.34629	1.76575E+6	2.34629	1.76575E+6	
2.3483	1.76991E+6	2.3483	1.76991E+6	
2.3503	1.7623E+6	2.3503	1.7623E+6	
2.3523	1.76112E+6	2.3523	1.76112E+6	
2.35431	1.75678E+6	2.35431	1.75678E+6	
2.35631	1.76592E+6	2.35631	1.76592E+6	
2.35832	1.76445E+6	2.35832	1.76445E+6	
2.36032	1.76314E+6	2.36032	1.76314E+6	
2.36232	1.76288E+6	2.36232	1.76288E+6	
2.36433	1.76718E+6	2.36433	1.76718E+6	
2.36633	1.75361E+6	2.36633	1.75361E+6	
2.36834	1.75644E+6	2.36834	1.75644E+6	
2.37034	1.75526E+6	2.37034	1.75526E+6	
2.37234	1.76124E+6	2.37234	1.76124E+6	
2.37435	1.76257E+6	2.37435	1.76257E+6	
2.37635	1.76684E+6	2.37635	1.76684E+6	
2.37836	1.76642E+6	2.37836	1.76642E+6	
2.38036	1.76826E+6	2.38036	1.76826E+6	
2.38236	1.7577E+6	2.38236	1.7577E+6	
2.38437	1.7583E+6	2.38437	1.7583E+6	
2.38637	1.76121E+6	2.38637	1.76121E+6	
2.38838	1.76825E+6	2.38838	1.76825E+6	
2.39038	1.75498E+6	2.39038	1.75498E+6	
2.39238	1.76688E+6	2.39238	1.76688E+6	
2.39439	1.76551E+6	2.39439	1.76551E+6	
2.39639	1.75752E+6	2.39639	1.75752E+6	
