Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.4	6.23912E+6	2.4	6.23912E+6	
2.4016	6.23098E+6	2.4016	6.23098E+6	
2.40321	6.22495E+6	2.40321	6.22495E+6	
2.40481	6.2204E+6	2.40481	6.2204E+6	
2.40641	6.18654E+6	2.40641	6.18654E+6	
2.40802	6.19212E+6	2.40802	6.19212E+6	
2.40962	6.19951E+6	2.40962	6.19951E+6	
2.41122	6.20254E+6	2.41122	6.20254E+6	
2.41283	6.17259E+6	2.41283	6.17259E+6	
2.41443	6.17931E+6	2.41443	6.17931E+6	
2.41603	6.20178E+6	2.41603	6.20178E+6	
2.41764	6.20631E+6	2.41764	6.20631E+6	
2.41924	6.18888E+6	2.41924	6.18888E+6	
2.42084	6.18757E+6	2.42084	6.18757E+6	
2.42244	6.22604E+6	2.42244	6.22604E+6	
2.42405	6.19572E+6	2.42405	6.19572E+6	
2.42565	6.17044E+6	2.42565	6.17044E+6	
2.42725	6.20144E+6	2.42725	6.20144E+6	
2.42886	6.20592E+6	2.42886	6.20592E+6	
2.43046	6.21054E+6	2.43046	6.21054E+6	
2.43206	6.19304E+6	2.43206	6.19304E+6	
2.43367	6.17809E+6	2.43367	6.17809E+6	
2.43527	6.21647E+6	2.43527	6.21647E+6	
2.43687	6.19437E+6	2.43687	6.19437E+6	
2.43848	6.18551E+6	2.43848	6.18551E+6	
2.44008	6.18338E+6	2.44008	6.18338E+6	
2.44168	6.20485E+6	2.44168	6.20485E+6	
2.44329	6.1908E+6	2.44329	6.1908E+6	
2.44489	6.18927E+6	2.44489	6.18927E+6	
2.44649	6.18651E+6	2.44649	6.18651E+6	
2.4481	6.20501E+6	2.4481	6.20501E+6	
2.4497	6.20337E+6	2.4497	6.20337E+6	
2.4513	6.17478E+6	2.4513	6.17478E+6	
2.45291	6.19378E+6	2.45291	6.19378E+6	
2.45451	6.1934E+6	2.45451	6.1934E+6	
2.45611	6.20567E+6	2.45611	6.20567E+6	
2.45772	6.18012E+6	2.45772	6.18012E+6	
2.45932	6.16979E+6	2.45932	6.16979E+6	
2.46092	6.21282E+6	2.46092	6.21282E+6	
2.46253	6.18297E+6	2.46253	6.18297E+6	
2.46413	6.17221E+6	2.46413	6.17221E+6	
2.46573	6.21422E+6	2.46573	6.21422E+6	
2.46733	6.22537E+6	2.46733	6.22537E+6	
