Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.83	4.36135E+6	2.83	4.36135E+6	
2.83093	4.36178E+6	2.83093	4.36178E+6	
2.83187	4.36205E+6	2.83187	4.36205E+6	
2.8328	4.36356E+6	2.8328	4.36356E+6	
2.83373	4.36293E+6	2.83373	4.36293E+6	
2.83467	4.36245E+6	2.83467	4.36245E+6	
2.8356	4.3649E+6	2.8356	4.3649E+6	
2.83653	4.36262E+6	2.83653	4.36262E+6	
2.83747	4.36273E+6	2.83747	4.36273E+6	
2.8384	4.3644E+6	2.8384	4.3644E+6	
2.83933	4.36352E+6	2.83933	4.36352E+6	
2.84027	4.36381E+6	2.84027	4.36381E+6	
2.8412	4.36303E+6	2.8412	4.36303E+6	
2.84213	4.36257E+6	2.84213	4.36257E+6	
2.84307	4.36203E+6	2.84307	4.36203E+6	
2.844	4.36162E+6	2.844	4.36162E+6	
2.84493	4.36226E+6	2.84493	4.36226E+6	
2.84587	4.36316E+6	2.84587	4.36316E+6	
2.8468	4.36216E+6	2.8468	4.36216E+6	
2.84773	4.36143E+6	2.84773	4.36143E+6	
2.84867	4.3609E+6	2.84867	4.3609E+6	
2.8496	4.35886E+6	2.8496	4.35886E+6	
2.85053	4.36101E+6	2.85053	4.36101E+6	
2.85147	4.35608E+6	2.85147	4.35608E+6	
2.8524	4.35439E+6	2.8524	4.35439E+6	
2.85333	4.35252E+6	2.85333	4.35252E+6	
2.85427	4.35111E+6	2.85427	4.35111E+6	
2.8552	4.35463E+6	2.8552	4.35463E+6	
2.85613	4.35066E+6	2.85613	4.35066E+6	
2.85707	4.35235E+6	2.85707	4.35235E+6	
2.858	4.35281E+6	2.858	4.35281E+6	
2.85893	4.35101E+6	2.85893	4.35101E+6	
2.85987	4.35496E+6	2.85987	4.35496E+6	
2.8608	4.35292E+6	2.8608	4.35292E+6	
2.86173	4.35316E+6	2.86173	4.35316E+6	
2.86267	4.35337E+6	2.86267	4.35337E+6	
2.8636	4.35452E+6	2.8636	4.35452E+6	
2.86453	4.3552E+6	2.86453	4.3552E+6	
2.86547	4.35679E+6	2.86547	4.35679E+6	
2.8664	4.3592E+6	2.8664	4.3592E+6	
2.86733	4.35968E+6	2.86733	4.35968E+6	
2.86827	4.35907E+6	2.86827	4.35907E+6	
2.8692	4.35907E+6	2.8692	4.35907E+6	
2.87013	4.36049E+6	2.87013	4.36049E+6	
2.87107	4.35835E+6	2.87107	4.35835E+6	
2.872	4.35895E+6	2.872	4.35895E+6	
2.87293	4.35848E+6	2.87293	4.35848E+6	
2.87387	4.35673E+6	2.87387	4.35673E+6	
2.8748	4.35554E+6	2.8748	4.35554E+6	
2.87573	4.35343E+6	2.87573	4.35343E+6	
2.87667	4.34939E+6	2.87667	4.34939E+6	
2.8776	4.34738E+6	2.8776	4.34738E+6	
2.87853	4.34741E+6	2.87853	4.34741E+6	
2.87947	4.34505E+6	2.87947	4.34505E+6	
2.8804	4.34339E+6	2.8804	4.34339E+6	
2.88133	4.34436E+6	2.88133	4.34436E+6	
2.88227	4.34424E+6	2.88227	4.34424E+6	
2.8832	4.35059E+6	2.8832	4.35059E+6	
2.88413	4.35198E+6	2.88413	4.35198E+6	
2.88507	4.35764E+6	2.88507	4.35764E+6	
2.886	4.35477E+6	2.886	4.35477E+6	
2.88693	4.35867E+6	2.88693	4.35867E+6	
2.88787	4.35971E+6	2.88787	4.35971E+6	
2.8888	4.36054E+6	2.8888	4.36054E+6	
2.88973	4.36246E+6	2.88973	4.36246E+6	
2.89067	4.3622E+6	2.89067	4.3622E+6	
2.8916	4.3618E+6	2.8916	4.3618E+6	
2.89253	4.3627E+6	2.89253	4.3627E+6	
2.89347	4.36222E+6	2.89347	4.36222E+6	
2.8944	4.36392E+6	2.8944	4.36392E+6	
2.89533	4.36247E+6	2.89533	4.36247E+6	
2.89627	4.36293E+6	2.89627	4.36293E+6	
2.8972	4.36293E+6	2.8972	4.36293E+6	
2.89813	4.36239E+6	2.89813	4.36239E+6	
2.89907	4.36302E+6	2.89907	4.36302E+6	
2.9	4.36169E+6	2.9	4.36169E+6	
2.90093	4.36249E+6	2.90093	4.36249E+6	
2.90187	4.3626E+6	2.90187	4.3626E+6	
2.9028	4.36386E+6	2.9028	4.36386E+6	
2.90373	4.35974E+6	2.90373	4.35974E+6	
2.90467	4.36225E+6	2.90467	4.36225E+6	
2.9056	4.36377E+6	2.9056	4.36377E+6	
2.90653	4.35974E+6	2.90653	4.35974E+6	
2.90747	4.36148E+6	2.90747	4.36148E+6	
2.9084	4.3604E+6	2.9084	4.3604E+6	
2.90933	4.36432E+6	2.90933	4.36432E+6	
2.91027	4.3628E+6	2.91027	4.3628E+6	
2.9112	4.36165E+6	2.9112	4.36165E+6	
2.91213	4.36057E+6	2.91213	4.36057E+6	
2.91307	4.36279E+6	2.91307	4.36279E+6	
2.914	4.36365E+6	2.914	4.36365E+6	
2.91493	4.362E+6	2.91493	4.362E+6	
2.91587	4.36024E+6	2.91587	4.36024E+6	
2.9168	4.35853E+6	2.9168	4.35853E+6	
2.91773	4.35596E+6	2.91773	4.35596E+6	
2.91867	4.35556E+6	2.91867	4.35556E+6	
2.9196	4.34941E+6	2.9196	4.34941E+6	
2.92053	4.34834E+6	2.92053	4.34834E+6	
2.92147	4.34673E+6	2.92147	4.34673E+6	
2.9224	4.34716E+6	2.9224	4.34716E+6	
2.92333	4.34594E+6	2.92333	4.34594E+6	
2.92427	4.347E+6	2.92427	4.347E+6	
2.9252	4.35156E+6	2.9252	4.35156E+6	
2.92613	4.35225E+6	2.92613	4.35225E+6	
2.92707	4.35195E+6	2.92707	4.35195E+6	
2.928	4.35539E+6	2.928	4.35539E+6	
2.92893	4.35494E+6	2.92893	4.35494E+6	
2.92987	4.35451E+6	2.92987	4.35451E+6	
2.9308	4.35767E+6	2.9308	4.35767E+6	
2.93173	4.3581E+6	2.93173	4.3581E+6	
2.93267	4.35712E+6	2.93267	4.35712E+6	
2.9336	4.35573E+6	2.9336	4.35573E+6	
2.93453	4.35808E+6	2.93453	4.35808E+6	
