Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.8	3.65565E+6	2.8	3.65565E+6	
2.8003	3.65103E+6	2.8003	3.65103E+6	
2.8006	3.65427E+6	2.8006	3.65427E+6	
2.8009	3.65612E+6	2.8009	3.65612E+6	
2.8012	3.6564E+6	2.8012	3.6564E+6	
2.8015	3.6575E+6	2.8015	3.6575E+6	
2.8018	3.65866E+6	2.8018	3.65866E+6	
2.8021	3.65588E+6	2.8021	3.65588E+6	
2.8024	3.66085E+6	2.8024	3.66085E+6	
2.8027	3.65968E+6	2.8027	3.65968E+6	
2.803	3.65677E+6	2.803	3.65677E+6	
2.8033	3.65595E+6	2.8033	3.65595E+6	
2.8036	3.65561E+6	2.8036	3.65561E+6	
2.8039	3.65252E+6	2.8039	3.65252E+6	
2.8042	3.65728E+6	2.8042	3.65728E+6	
2.8045	3.65423E+6	2.8045	3.65423E+6	
2.8048	3.65506E+6	2.8048	3.65506E+6	
2.8051	3.65267E+6	2.8051	3.65267E+6	
2.8054	3.654E+6	2.8054	3.654E+6	
2.8057	3.65669E+6	2.8057	3.65669E+6	
2.806	3.65748E+6	2.806	3.65748E+6	
2.8063	3.65774E+6	2.8063	3.65774E+6	
2.8066	3.65143E+6	2.8066	3.65143E+6	
2.8069	3.65651E+6	2.8069	3.65651E+6	
2.8072	3.6526E+6	2.8072	3.6526E+6	
2.8075	3.65207E+6	2.8075	3.65207E+6	
2.8078	3.65888E+6	2.8078	3.65888E+6	
2.8081	3.65503E+6	2.8081	3.65503E+6	
2.8084	3.65448E+6	2.8084	3.65448E+6	
2.8087	3.65865E+6	2.8087	3.65865E+6	
2.809	3.65697E+6	2.809	3.65697E+6	
2.8093	3.65384E+6	2.8093	3.65384E+6	
2.8096	3.65699E+6	2.8096	3.65699E+6	
2.8099	3.65095E+6	2.8099	3.65095E+6	
2.8102	3.65148E+6	2.8102	3.65148E+6	
2.8105	3.65466E+6	2.8105	3.65466E+6	
2.8108	3.64836E+6	2.8108	3.64836E+6	
2.8111	3.65107E+6	2.8111	3.65107E+6	
2.8114	3.65002E+6	2.8114	3.65002E+6	
2.8117	3.6514E+6	2.8117	3.6514E+6	
2.812	3.65056E+6	2.812	3.65056E+6	
2.8123	3.64822E+6	2.8123	3.64822E+6	
2.8126	3.65048E+6	2.8126	3.65048E+6	
2.8129	3.64904E+6	2.8129	3.64904E+6	
2.8132	3.64608E+6	2.8132	3.64608E+6	
2.8135	3.64606E+6	2.8135	3.64606E+6	
2.8138	3.64356E+6	2.8138	3.64356E+6	
2.8141	3.64255E+6	2.8141	3.64255E+6	
2.8144	3.64188E+6	2.8144	3.64188E+6	
2.8147	3.63856E+6	2.8147	3.63856E+6	
2.815	3.6373E+6	2.815	3.6373E+6	
2.8153	3.63686E+6	2.8153	3.63686E+6	
2.8156	3.63731E+6	2.8156	3.63731E+6	
2.8159	3.63602E+6	2.8159	3.63602E+6	
2.8162	3.6308E+6	2.8162	3.6308E+6	
2.8165	3.63309E+6	2.8165	3.63309E+6	
2.8168	3.6359E+6	2.8168	3.6359E+6	
2.8171	3.63033E+6	2.8171	3.63033E+6	
2.8174	3.62944E+6	2.8174	3.62944E+6	
2.8177	3.63195E+6	2.8177	3.63195E+6	
2.818	3.63113E+6	2.818	3.63113E+6	
2.8183	3.6319E+6	2.8183	3.6319E+6	
2.8186	3.62632E+6	2.8186	3.62632E+6	
2.8189	3.63044E+6	2.8189	3.63044E+6	
2.8192	3.63099E+6	2.8192	3.63099E+6	
2.8195	3.63563E+6	2.8195	3.63563E+6	
2.8198	3.62654E+6	2.8198	3.62654E+6	
2.8201	3.63128E+6	2.8201	3.63128E+6	
2.8204	3.63383E+6	2.8204	3.63383E+6	
2.8207	3.62998E+6	2.8207	3.62998E+6	
2.821	3.63144E+6	2.821	3.63144E+6	
2.8213	3.636E+6	2.8213	3.636E+6	
2.8216	3.63128E+6	2.8216	3.63128E+6	
2.8219	3.63756E+6	2.8219	3.63756E+6	
2.8222	3.64014E+6	2.8222	3.64014E+6	
2.8225	3.63939E+6	2.8225	3.63939E+6	
2.8228	3.64011E+6	2.8228	3.64011E+6	
2.8231	3.6388E+6	2.8231	3.6388E+6	
2.8234	3.64199E+6	2.8234	3.64199E+6	
2.8237	3.651E+6	2.8237	3.651E+6	
2.824	3.64875E+6	2.824	3.64875E+6	
2.8243	3.64675E+6	2.8243	3.64675E+6	
2.8246	3.63863E+6	2.8246	3.63863E+6	
2.8249	3.64275E+6	2.8249	3.64275E+6	
2.8252	3.64755E+6	2.8252	3.64755E+6	
2.8255	3.64256E+6	2.8255	3.64256E+6	
2.8258	3.6444E+6	2.8258	3.6444E+6	
2.8261	3.64782E+6	2.8261	3.64782E+6	
2.8264	3.64176E+6	2.8264	3.64176E+6	
2.8267	3.64859E+6	2.8267	3.64859E+6	
2.827	3.64375E+6	2.827	3.64375E+6	
2.8273	3.64268E+6	2.8273	3.64268E+6	
2.8276	3.639E+6	2.8276	3.639E+6	
2.8279	3.64295E+6	2.8279	3.64295E+6	
2.8282	3.64083E+6	2.8282	3.64083E+6	
2.8285	3.64214E+6	2.8285	3.64214E+6	
2.8288	3.63578E+6	2.8288	3.63578E+6	
2.8291	3.6407E+6	2.8291	3.6407E+6	
2.8294	3.63629E+6	2.8294	3.63629E+6	
2.8297	3.63545E+6	2.8297	3.63545E+6	
2.83	3.63142E+6	2.83	3.63142E+6	
2.8303	3.63145E+6	2.8303	3.63145E+6	
2.8306	3.62169E+6	2.8306	3.62169E+6	
2.8309	3.6269E+6	2.8309	3.6269E+6	
2.8312	3.62671E+6	2.8312	3.62671E+6	
2.8315	3.6199E+6	2.8315	3.6199E+6	
2.8318	3.61555E+6	2.8318	3.61555E+6	
2.8321	3.62034E+6	2.8321	3.62034E+6	
2.8324	3.61899E+6	2.8324	3.61899E+6	
2.8327	3.618E+6	2.8327	3.618E+6	
2.833	3.62071E+6	2.833	3.62071E+6	
2.8333	3.61536E+6	2.8333	3.61536E+6	
2.8336	3.61644E+6	2.8336	3.61644E+6	
2.8339	3.61972E+6	2.8339	3.61972E+6	
2.8342	3.61773E+6	2.8342	3.61773E+6	
2.8345	3.62038E+6	2.8345	3.62038E+6	
2.8348	3.62165E+6	2.8348	3.62165E+6	
2.8351	3.62186E+6	2.8351	3.62186E+6	
2.8354	3.61939E+6	2.8354	3.61939E+6	
2.8357	3.62214E+6	2.8357	3.62214E+6	
2.836	3.62342E+6	2.836	3.62342E+6	
