Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	5.31563E+6	2.7	5.31563E+6	
2.7006	5.31301E+6	2.7006	5.31301E+6	
2.7012	5.31648E+6	2.7012	5.31648E+6	
2.7018	5.31593E+6	2.7018	5.31593E+6	
2.7024	5.31306E+6	2.7024	5.31306E+6	
2.703	5.31509E+6	2.703	5.31509E+6	
2.7036	5.31507E+6	2.7036	5.31507E+6	
2.7042	5.31242E+6	2.7042	5.31242E+6	
2.7048	5.3136E+6	2.7048	5.3136E+6	
2.7054	5.31718E+6	2.7054	5.31718E+6	
2.706	5.31422E+6	2.706	5.31422E+6	
2.7066	5.31163E+6	2.7066	5.31163E+6	
2.7072	5.31438E+6	2.7072	5.31438E+6	
2.7078	5.31415E+6	2.7078	5.31415E+6	
2.7084	5.3157E+6	2.7084	5.3157E+6	
2.709	5.31666E+6	2.709	5.31666E+6	
2.7096	5.31116E+6	2.7096	5.31116E+6	
2.7102	5.31383E+6	2.7102	5.31383E+6	
2.7108	5.31449E+6	2.7108	5.31449E+6	
2.7114	5.32055E+6	2.7114	5.32055E+6	
2.712	5.31413E+6	2.712	5.31413E+6	
2.7126	5.31397E+6	2.7126	5.31397E+6	
2.7132	5.31269E+6	2.7132	5.31269E+6	
2.7138	5.31181E+6	2.7138	5.31181E+6	
2.7144	5.31737E+6	2.7144	5.31737E+6	
2.715	5.31257E+6	2.715	5.31257E+6	
2.7156	5.31423E+6	2.7156	5.31423E+6	
2.7162	5.31882E+6	2.7162	5.31882E+6	
2.7168	5.30973E+6	2.7168	5.30973E+6	
2.7174	5.31207E+6	2.7174	5.31207E+6	
2.718	5.31452E+6	2.718	5.31452E+6	
2.7186	5.3187E+6	2.7186	5.3187E+6	
2.7192	5.31425E+6	2.7192	5.31425E+6	
2.7198	5.31287E+6	2.7198	5.31287E+6	
2.7204	5.31857E+6	2.7204	5.31857E+6	
2.721	5.31629E+6	2.721	5.31629E+6	
2.7216	5.31384E+6	2.7216	5.31384E+6	
2.7222	5.3137E+6	2.7222	5.3137E+6	
2.7228	5.31055E+6	2.7228	5.31055E+6	
2.7234	5.31838E+6	2.7234	5.31838E+6	
2.724	5.31371E+6	2.724	5.31371E+6	
2.7246	5.3137E+6	2.7246	5.3137E+6	
2.7252	5.31304E+6	2.7252	5.31304E+6	
2.7258	5.3122E+6	2.7258	5.3122E+6	
2.7264	5.31607E+6	2.7264	5.31607E+6	
2.727	5.31326E+6	2.727	5.31326E+6	
2.7276	5.31295E+6	2.7276	5.31295E+6	
2.7282	5.31772E+6	2.7282	5.31772E+6	
2.7288	5.3126E+6	2.7288	5.3126E+6	
2.7294	5.30889E+6	2.7294	5.30889E+6	
2.73	5.31722E+6	2.73	5.31722E+6	
2.7306	5.31202E+6	2.7306	5.31202E+6	
2.7312	5.31748E+6	2.7312	5.31748E+6	
2.7318	5.31447E+6	2.7318	5.31447E+6	
2.7324	5.31512E+6	2.7324	5.31512E+6	
2.733	5.31281E+6	2.733	5.31281E+6	
2.7336	5.31241E+6	2.7336	5.31241E+6	
2.7342	5.30948E+6	2.7342	5.30948E+6	
2.7348	5.31108E+6	2.7348	5.31108E+6	
2.7354	5.31111E+6	2.7354	5.31111E+6	
2.736	5.31307E+6	2.736	5.31307E+6	
2.7366	5.31737E+6	2.7366	5.31737E+6	
2.7372	5.3146E+6	2.7372	5.3146E+6	
2.7378	5.31192E+6	2.7378	5.31192E+6	
2.7384	5.31513E+6	2.7384	5.31513E+6	
2.739	5.31332E+6	2.739	5.31332E+6	
2.7396	5.31428E+6	2.7396	5.31428E+6	
2.7402	5.31217E+6	2.7402	5.31217E+6	
2.7408	5.31685E+6	2.7408	5.31685E+6	
2.7414	5.31289E+6	2.7414	5.31289E+6	
2.742	5.31401E+6	2.742	5.31401E+6	
2.7426	5.31015E+6	2.7426	5.31015E+6	
2.7432	5.31054E+6	2.7432	5.31054E+6	
2.7438	5.31097E+6	2.7438	5.31097E+6	
2.7444	5.31821E+6	2.7444	5.31821E+6	
2.745	5.31326E+6	2.745	5.31326E+6	
2.7456	5.31324E+6	2.7456	5.31324E+6	
2.7462	5.31243E+6	2.7462	5.31243E+6	
2.7468	5.31233E+6	2.7468	5.31233E+6	
2.7474	5.31796E+6	2.7474	5.31796E+6	
2.748	5.31198E+6	2.748	5.31198E+6	
2.7486	5.31129E+6	2.7486	5.31129E+6	
2.7492	5.3139E+6	2.7492	5.3139E+6	
2.7498	5.31296E+6	2.7498	5.31296E+6	
2.7504	5.31406E+6	2.7504	5.31406E+6	
2.751	5.31058E+6	2.751	5.31058E+6	
2.7516	5.31258E+6	2.7516	5.31258E+6	
2.7522	5.30954E+6	2.7522	5.30954E+6	
2.7528	5.31421E+6	2.7528	5.31421E+6	
2.7534	5.31194E+6	2.7534	5.31194E+6	
2.754	5.30873E+6	2.754	5.30873E+6	
2.7546	5.3182E+6	2.7546	5.3182E+6	
2.7552	5.31481E+6	2.7552	5.31481E+6	
2.7558	5.31576E+6	2.7558	5.31576E+6	
2.7564	5.3165E+6	2.7564	5.3165E+6	
2.757	5.31415E+6	2.757	5.31415E+6	
2.7576	5.31008E+6	2.7576	5.31008E+6	
2.7582	5.31094E+6	2.7582	5.31094E+6	
2.7588	5.31397E+6	2.7588	5.31397E+6	
2.7594	5.31083E+6	2.7594	5.31083E+6	
2.76	5.31483E+6	2.76	5.31483E+6	
2.7606	5.31387E+6	2.7606	5.31387E+6	
2.7612	5.3154E+6	2.7612	5.3154E+6	
2.7618	5.31055E+6	2.7618	5.31055E+6	
2.7624	5.31668E+6	2.7624	5.31668E+6	
2.763	5.31177E+6	2.763	5.31177E+6	
2.7636	5.30826E+6	2.7636	5.30826E+6	
2.7642	5.31218E+6	2.7642	5.31218E+6	
2.7648	5.3109E+6	2.7648	5.3109E+6	
2.7654	5.31177E+6	2.7654	5.31177E+6	
2.766	5.31299E+6	2.766	5.31299E+6	
2.7666	5.31045E+6	2.7666	5.31045E+6	
