Temps - Tracé 0	Amplitude - Tracé 0	Temps - Tracé 1	Amplitude - Tracé 1	
2.7	5.32687E+6	2.7	5.32687E+6	
2.7006	5.32736E+6	2.7006	5.32736E+6	
2.7012	5.3314E+6	2.7012	5.3314E+6	
2.7018	5.32875E+6	2.7018	5.32875E+6	
2.7024	5.33188E+6	2.7024	5.33188E+6	
2.703	5.32681E+6	2.703	5.32681E+6	
2.7036	5.32904E+6	2.7036	5.32904E+6	
2.7042	5.32893E+6	2.7042	5.32893E+6	
2.7048	5.32641E+6	2.7048	5.32641E+6	
2.7054	5.32835E+6	2.7054	5.32835E+6	
2.706	5.32668E+6	2.706	5.32668E+6	
2.7066	5.32493E+6	2.7066	5.32493E+6	
2.7072	5.32662E+6	2.7072	5.32662E+6	
2.7078	5.33037E+6	2.7078	5.33037E+6	
2.7084	5.3301E+6	2.7084	5.3301E+6	
2.709	5.33249E+6	2.709	5.33249E+6	
2.7096	5.33052E+6	2.7096	5.33052E+6	
2.7102	5.3285E+6	2.7102	5.3285E+6	
2.7108	5.32922E+6	2.7108	5.32922E+6	
2.7114	5.32671E+6	2.7114	5.32671E+6	
2.712	5.32596E+6	2.712	5.32596E+6	
2.7126	5.32695E+6	2.7126	5.32695E+6	
2.7132	5.32748E+6	2.7132	5.32748E+6	
2.7138	5.32855E+6	2.7138	5.32855E+6	
2.7144	5.33163E+6	2.7144	5.33163E+6	
2.715	5.33109E+6	2.715	5.33109E+6	
2.7156	5.32658E+6	2.7156	5.32658E+6	
2.7162	5.33009E+6	2.7162	5.33009E+6	
2.7168	5.32859E+6	2.7168	5.32859E+6	
2.7174	5.32713E+6	2.7174	5.32713E+6	
2.718	5.32396E+6	2.718	5.32396E+6	
2.7186	5.33022E+6	2.7186	5.33022E+6	
2.7192	5.32973E+6	2.7192	5.32973E+6	
2.7198	5.32745E+6	2.7198	5.32745E+6	
2.7204	5.32956E+6	2.7204	5.32956E+6	
2.721	5.3279E+6	2.721	5.3279E+6	
2.7216	5.32998E+6	2.7216	5.32998E+6	
2.7222	5.32723E+6	2.7222	5.32723E+6	
2.7228	5.32914E+6	2.7228	5.32914E+6	
2.7234	5.32827E+6	2.7234	5.32827E+6	
2.724	5.33049E+6	2.724	5.33049E+6	
2.7246	5.3316E+6	2.7246	5.3316E+6	
2.7252	5.32786E+6	2.7252	5.32786E+6	
2.7258	5.32527E+6	2.7258	5.32527E+6	
2.7264	5.32914E+6	2.7264	5.32914E+6	
2.727	5.32826E+6	2.727	5.32826E+6	
2.7276	5.32696E+6	2.7276	5.32696E+6	
2.7282	5.33031E+6	2.7282	5.33031E+6	
2.7288	5.32871E+6	2.7288	5.32871E+6	
2.7294	5.33036E+6	2.7294	5.33036E+6	
2.73	5.33006E+6	2.73	5.33006E+6	
2.7306	5.32767E+6	2.7306	5.32767E+6	
2.7312	5.32891E+6	2.7312	5.32891E+6	
2.7318	5.32589E+6	2.7318	5.32589E+6	
2.7324	5.33113E+6	2.7324	5.33113E+6	
2.733	5.32608E+6	2.733	5.32608E+6	
2.7336	5.32751E+6	2.7336	5.32751E+6	
2.7342	5.32484E+6	2.7342	5.32484E+6	
2.7348	5.33113E+6	2.7348	5.33113E+6	
2.7354	5.33199E+6	2.7354	5.33199E+6	
2.736	5.33067E+6	2.736	5.33067E+6	
2.7366	5.3227E+6	2.7366	5.3227E+6	
2.7372	5.33038E+6	2.7372	5.33038E+6	
2.7378	5.32778E+6	2.7378	5.32778E+6	
2.7384	5.33069E+6	2.7384	5.33069E+6	
2.739	5.33153E+6	2.739	5.33153E+6	
2.7396	5.33277E+6	2.7396	5.33277E+6	
2.7402	5.3313E+6	2.7402	5.3313E+6	
2.7408	5.32599E+6	2.7408	5.32599E+6	
2.7414	5.32739E+6	2.7414	5.32739E+6	
2.742	5.32635E+6	2.742	5.32635E+6	
2.7426	5.33255E+6	2.7426	5.33255E+6	
2.7432	5.32751E+6	2.7432	5.32751E+6	
2.7438	5.32761E+6	2.7438	5.32761E+6	
2.7444	5.32842E+6	2.7444	5.32842E+6	
2.745	5.32585E+6	2.745	5.32585E+6	
2.7456	5.32843E+6	2.7456	5.32843E+6	
2.7462	5.3268E+6	2.7462	5.3268E+6	
2.7468	5.33125E+6	2.7468	5.33125E+6	
2.7474	5.33217E+6	2.7474	5.33217E+6	
2.748	5.32753E+6	2.748	5.32753E+6	
2.7486	5.32699E+6	2.7486	5.32699E+6	
2.7492	5.32939E+6	2.7492	5.32939E+6	
2.7498	5.32862E+6	2.7498	5.32862E+6	
2.7504	5.32872E+6	2.7504	5.32872E+6	
2.751	5.32416E+6	2.751	5.32416E+6	
2.7516	5.32777E+6	2.7516	5.32777E+6	
2.7522	5.32939E+6	2.7522	5.32939E+6	
2.7528	5.32679E+6	2.7528	5.32679E+6	
2.7534	5.33131E+6	2.7534	5.33131E+6	
2.754	5.32779E+6	2.754	5.32779E+6	
2.7546	5.32609E+6	2.7546	5.32609E+6	
2.7552	5.32889E+6	2.7552	5.32889E+6	
2.7558	5.32913E+6	2.7558	5.32913E+6	
2.7564	5.33283E+6	2.7564	5.33283E+6	
2.757	5.33118E+6	2.757	5.33118E+6	
2.7576	5.32858E+6	2.7576	5.32858E+6	
2.7582	5.33035E+6	2.7582	5.33035E+6	
2.7588	5.32736E+6	2.7588	5.32736E+6	
2.7594	5.32741E+6	2.7594	5.32741E+6	
2.76	5.32776E+6	2.76	5.32776E+6	
2.7606	5.3279E+6	2.7606	5.3279E+6	
2.7612	5.32581E+6	2.7612	5.32581E+6	
2.7618	5.32831E+6	2.7618	5.32831E+6	
2.7624	5.32737E+6	2.7624	5.32737E+6	
2.763	5.32855E+6	2.763	5.32855E+6	
2.7636	5.32605E+6	2.7636	5.32605E+6	
2.7642	5.32734E+6	2.7642	5.32734E+6	
2.7648	5.32804E+6	2.7648	5.32804E+6	
2.7654	5.33069E+6	2.7654	5.33069E+6	
2.766	5.32472E+6	2.766	5.32472E+6	
2.7666	5.32681E+6	2.7666	5.32681E+6	
2.7672	5.32662E+6	2.7672	5.32662E+6	
2.7678	5.32952E+6	2.7678	5.32952E+6	
2.7684	5.32883E+6	2.7684	5.32883E+6	
2.769	5.33106E+6	2.769	5.33106E+6	
2.7696	5.32921E+6	2.7696	5.32921E+6	
2.7702	5.32987E+6	2.7702	5.32987E+6	
2.7708	5.3279E+6	2.7708	5.3279E+6	
2.7714	5.33094E+6	2.7714	5.33094E+6	
